Query	Statistic	P-value	FDR (BH)	Event_SD	Event_TD
A1BG	0.130388631590501	0.248990061271654	0.350864308963421	80	80
A1CF	0.219912854043955	0.0499876221709472	0.0942005879219151	80	78
A2BP1	0.432383351239108	6.194511438801e-05	0.000307430726291572	80	62
A2LD1	-0.0783143874249127	0.489878244721881	0.59757568844426	80	80
A2ML1	-0.295826828368774	0.00771656128199893	0.0192657929684219	80	70
A2M	0.755053118103256	5.93805968770951e-16	8.06545204388266e-14	80	80
A4GALT	-0.0378223537846719	0.73906756008374	0.810645043050576	80	80
A4GNT	0.174806665668173	0.120930834541122	0.196289310604963	80	78
AAA1	-0.0859244654007196	0.448547162785521	0.558264967032899	80	53
AAAS	-0.242544469275534	0.0301799550144317	0.0616947426480272	80	80
AACSL	-0.117331271746055	0.299963600534624	0.407411557781192	80	48
AACS	-0.0400901805081309	0.724031470632214	0.798226229304745	80	80
AADACL2	0.0423246796461455	0.709317749835436	0.786081130320771	80	17
AADACL3	0.384498075995576	0.000429394134674901	0.001616965706605	80	5
AADACL4	0.384166622695405	0.000434755983574166	0.00163401081528192	80	25
AADAC	0.0144865888763923	0.898513503294138	0.930285618068394	80	78
AADAT	0.0521388651690891	0.646006366603327	0.735032039775583	80	80
AAGAB	-0.384715689904201	0.000425906832563559	0.00160582777861578	80	80
AAK1	0.54473844888759	1.75301457360236e-07	1.8891025920159e-06	80	80
AAMP	-0.481055980271912	6.27768565692068e-06	4.16927856583061e-05	80	80
AANAT	-0.0632068389681895	0.577528129985387	0.676926511319241	80	57
AARS2	-0.0885706585957304	0.434644190370329	0.54487922826902	80	80
AARSD1	-0.240026214535687	0.0319905947542533	0.0647793811780144	80	80
AARS	0.0319824408296772	0.778227590267017	0.841842455507582	80	80
AASDHPPT	0.333894889170826	0.00247141966440723	0.00728166133066328	80	80
AASDH	0.422595624653594	9.42539860138277e-05	0.000439664610647378	80	80
AASS	0.575620751973583	2.32830027924904e-08	3.26680237889756e-07	80	80
AATF	-0.480555222955127	6.43900930911084e-06	4.26194866588491e-05	80	80
AATK	-0.197780180481747	0.0786498129942475	0.137693491975876	80	80
ABAT	0.429617097769219	6.98384565983552e-05	0.000340386337554755	80	80
ABCA10	0.535626494248368	3.06201625946161e-07	3.07917614492594e-06	80	80
ABCA11P	0.080084645377495	0.480088162407935	0.588164382620533	80	80
ABCA12	-0.172945883692081	0.125001442681955	0.201558385607284	80	79
ABCA13	-0.136700577938455	0.226613093906158	0.325509675402963	80	79
ABCA17P	0.0134371655507117	0.905830406414836	0.935434895410125	80	80
ABCA1	0.564978190578396	4.77874134188316e-08	6.07720428516858e-07	80	80
ABCA2	-0.0358094764529091	0.752495949667626	0.821274944453384	80	80
ABCA3	0.365122537030756	0.000868079764436498	0.00295129012908282	80	80
ABCA4	-0.0466606560302358	0.681071670005729	0.7640863137342	80	80
ABCA5	0.197082741733894	0.0797311202896993	0.139386930796052	80	80
ABCA6	0.815787149298543	3.09917062029541e-20	1.89427119257368e-17	80	80
ABCA7	-0.401908017031107	0.000219625361737738	0.00091338559435008	80	80
ABCA8	0.878109436138519	1.08969006405497e-26	1.06566239814256e-22	80	80
ABCA9	0.834250998708007	7.31713399307965e-22	6.5052647168475e-19	80	80
ABCB10	0.0691875228108323	0.54197842803659	0.6456365859791	80	80
ABCB11	0.251172187849322	0.0246174601825756	0.0519017897715852	80	76
ABCB1	0.627783751324895	4.59190114646445e-10	1.01713470581765e-08	80	80
ABCB4	0.343621338351782	0.00180432844623048	0.00555699868502243	80	80
ABCB5	0.557429890109009	7.83830751174609e-08	9.43268177563137e-07	80	77
ABCB6	-0.298883181052916	0.00707963682255534	0.0178948845454071	80	80
ABCB7	0.206970451745555	0.0654656223325109	0.118307503206281	80	80
ABCB8	-0.305385247353847	0.00587651592183654	0.0152438693521486	80	80
ABCB9	-0.439567569758746	4.5144755709877e-05	0.000233656066930268	80	80
ABCC10	-0.334313621406439	0.00243867184228996	0.00720065660436638	80	80
ABCC11	-0.10080703230624	0.373613973947436	0.484035616893315	80	75
ABCC12	-0.0393603182938789	0.728859517565344	0.802147383753126	80	17
ABCC13	-0.229655009861232	0.0404381473116402	0.0789351021225918	80	38
ABCC1	-0.204130246749521	0.0693340737802651	0.124060483859501	80	80
ABCC2	0.0897376435263603	0.428591327704424	0.538914675575109	80	80
ABCC3	-0.220936185342767	0.048904589585021	0.092408933213547	80	80
ABCC4	0.601873218107452	3.52561405324839e-09	6.07554936277404e-08	80	80
ABCC5	0.075160117692862	0.507580087816969	0.614566757703214	80	80
ABCC6P1	-0.046512592681192	0.682029276214492	0.764722002607157	80	76
ABCC6P2	-0.0620501504461977	0.584525781914275	0.682510881049568	80	80
ABCC6	0.178915045751443	0.112304277419952	0.184724527967105	80	80
ABCC8	0.274409088280116	0.0137686305861443	0.0317421788819421	80	80
ABCC9	0.761531707429298	2.39048888539367e-16	3.7107596912234e-14	80	80
ABCD1	-0.164062337785385	0.145891754286174	0.228243226850366	80	80
ABCD2	0.808685260619505	1.17284169023119e-19	5.71996527875184e-17	80	80
ABCD3	0.010316945862994	0.927629537118553	0.950220284723043	80	80
ABCD4	-0.10127711087138	0.371378289597236	0.481619676848716	80	80
ABCE1	0.127110545933271	0.261190130378487	0.364500540064034	80	80
