Query	Statistic	P-value	FDR (BH)	Event_SD	Event_TD
A1BG	0.367678611974169	0.000195719405530519	0.000649163078184573	98	98
A1CF	0.153580449850051	0.131085690327727	0.193180920660932	98	98
A2BP1	-0.120260712256127	0.238186518296787	0.320487269813177	98	74
A2LD1	-0.285638565769953	0.00435751402811647	0.0100961008910101	98	98
A2ML1	-0.0736852846141033	0.470867105061959	0.561773073029372	98	82
A2M	0.565532258820145	1.30012311777652e-09	1.58958908205253e-08	98	98
A4GALT	-0.12061227566675	0.236807063396226	0.318981555704648	98	98
A4GNT	-0.0495887204675393	0.627745005870737	0.706186107798219	98	91
AAA1	-0.00262305049161276	0.979549470279321	0.986090198161406	98	70
AAAS	-0.148225563213515	0.145229466779716	0.210919030708829	98	98
AACSL	0.162612528904432	0.109644062653213	0.166440846578741	98	57
AACS	-0.000643058887665184	0.994985903885802	0.996613110352013	98	98
AADACL2	-0.000203687754239817	0.998411784753455	0.998768505991373	98	15
AADACL3	0.0863832644799702	0.397686039491932	0.489342584630987	98	10
AADACL4	0.226774336041964	0.0247368636564066	0.0461819194896088	98	17
AADAC	-0.284230905567023	0.00456268977594871	0.0105229650410472	98	97
AADAT	0.509559573075407	8.3866563769667e-08	6.46617145287846e-07	98	98
AAGAB	-0.162589369531849	0.109695317976313	0.166479676089342	98	98
AAK1	0.634394892808053	2.32640600377703e-12	5.72804412914899e-11	98	98
AAMP	-0.499439907424419	1.64902645893399e-07	1.18039698935892e-06	98	98
AANAT	0.0555444250577679	0.586973963490227	0.669842744422088	98	64
AARS2	-0.00877079124912908	0.93169376745183	0.950115310280889	98	98
AARSD1	-0.0701022944772911	0.492764994036678	0.582912911523711	98	98
AARS	0.113556372232793	0.265565479938975	0.351225982949184	98	98
AASDHPPT	0.578126343379318	4.55810623072752e-10	6.26467910350832e-09	98	98
AASDH	0.486749072921678	3.73533341030587e-07	2.43137826332065e-06	98	98
AASS	0.388193168718096	7.8259540379247e-05	0.000287985116765464	98	98
AATF	-0.415656074914649	2.07905655437863e-05	8.84851887280495e-05	98	98
AATK	0.198207966581013	0.0504133372724942	0.0852355932715332	98	98
ABAT	0.557327172950408	2.51438261645621e-09	2.85016685366832e-08	98	98
ABCA10	0.336329343989598	0.000709255446668733	0.00203107795138231	98	98
ABCA11P	0.52094084822678	3.81737774876444e-08	3.21102087974396e-07	98	98
ABCA12	-0.100255690875477	0.32598950093572	0.416415839720991	98	94
ABCA13	-0.139207759659957	0.171602948580381	0.243220002113602	98	95
ABCA17P	-0.102382380519599	0.315779475080963	0.405721633907342	98	97
ABCA1	0.539103176341761	1.02236383743767e-08	9.91945982670344e-08	98	98
ABCA2	0.322185184473492	0.001215259188698	0.00328160165876165	98	98
ABCA3	0.326368192556303	0.00103910273769435	0.00285109541594171	98	98
ABCA4	0.0261080388341695	0.798581186228764	0.84845192545658	98	95
ABCA5	0.34459821729844	0.000511535614773028	0.00152133331015729	98	98
ABCA6	0.580757992715305	3.64090700482237e-10	5.16339626537725e-09	98	98
ABCA7	-0.24812198449266	0.0137618973305734	0.0276266952557521	98	98
ABCA8	0.656280983047525	2.20349102242687e-13	7.42234165320922e-12	98	98
ABCA9	0.66565735975637	7.55674035327761e-14	2.944424536459e-12	98	98
ABCB10	0.300512811694602	0.00264209296556811	0.00650859477528524	98	98
ABCB11	-0.220430444785503	0.0291793795894202	0.0531435888319919	98	88
ABCB1	0.595289004560177	1.01498420355138e-10	1.63322458172442e-09	98	98
ABCB4	0.549399292848398	4.67647943178999e-09	4.88302186380671e-08	98	98
ABCB5	0.43142890706414	9.19959926829916e-06	4.24942130707979e-05	98	90
ABCB6	-0.29474880021551	0.00321732372255733	0.00773602351102947	98	98
ABCB7	-0.000621495680347264	0.99515403570834	0.996679643612231	98	98
ABCB8	-0.211240191619583	0.036801118023202	0.0649320410638041	98	98
ABCB9	-0.17765374619794	0.0801067499336754	0.127075045888313	98	98
ABCC10	-0.121911213999967	0.231758571549778	0.3132792774539	98	98
ABCC11	-0.197764383652316	0.0509414207349857	0.0859726948234723	98	93
ABCC12	0.00832182884608816	0.93518246590907	0.952731112867858	98	20
ABCC13	-0.212361703320251	0.0357897384167705	0.0634216169285972	98	53
ABCC1	-0.324067688652033	0.00113287110735271	0.003079919660564	98	98
ABCC2	0.129674968234042	0.203150496898627	0.280410352047059	98	98
