geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
GO:0002250	adaptive immune response	http://amigo.geneontology.org/amigo/term/GO:0002250	0.5117472790007728	2.281587370997494	0	0	361	./Project_1612860827_GSEA/GO_0002250.png	183	4208;730;114548;5788;940;10666;5579;5027;3554;729230;90865;3575;387357;3702;8320;10462;30835;202309;920;6693;5294;912;2534;8832;716;83700;917;4068;5532;151888;7099;50852;925;695;715;1378;54440;959;11024;23075;54900;10859;916;7454;6504;23411;4063;10990;6095;919;7133;84174;64092;89857;962;56253;1880;5452;30009;3572;1235;6774;220972;51311;27240;942;8809;911;8995;3903;3662;3004;89790;5293;23180;4049;3570;7462;50856;923;5551;939;10148;6885;3569;8807;6363;718;5588;10892;974;338339;7128;9173;170482;915;7535;51744;814;50943;64005;2213;3717;2208;7294;339390;913;54941;23495;11006;713;714;114836;3586;3119;10673;9655;973;910;712;84868;10384;57823;1493;255231;55824;23705;1191;710;639;926;3553;2207;56940;2210;660;608;3718;11119;1380;5873;720;3594;10563;57379;4734;54542;246;924;115650;4092;29126;4292;383;10068;84695;3558;214;8417;3133;717;972;3593;11118;55183;1178;941;729;51176;11026;727;3077;384;9466;10747;83953;7292;56832;3635;6375;27040;3383;4683	AICDA;ALCAM;ALOX15;ARG1;ARG2;BMX;BTK;BTLA;BTN3A1;BTN3A2;BTN3A3;C1QA;C1QB;C1QC;C1R;C1S;C2;C3;C4A;C5;C6;C7;CADM1;CAMK4;CCL19;CCR2;CCR6;CD1B;CD1C;CD1D;CD1E;CD209;CD226;CD244;CD247;CD27;CD274;CD28;CD3D;CD3E;CD3G;CD4;CD40LG;CD48;CD6;CD7;CD74;CD79A;CD79B;CD80;CD84;CD86;CD8A;CD8B;CLC;CLEC10A;CLEC4A;CLEC4C;CLEC4D;CLEC4G;CLU;CR1;CR2;CRTAM;CTLA4;CXCL13;DUSP22;EBI3;EOMES;FCAMR;FCER1G;FCER2;FCGR1B;FCGR2B;FOXP3;FYN;GAPT;GPR183;GZMM;HAVCR2;HFE;HLA-DQB1;HLA-E;ICAM1;IFNK;IL10;IL12B;IL12RB1;IL18BP;IL18R1;IL18RAP;IL1B;IL1R1;IL1RL1;IL2;IL27RA;IL33;IL6;IL6R;IL6ST;IL7R;INPP5D;IRF4;ITK;JAK2;JAK3;JAM3;KLHL6;LAIR1;LAT;LAT2;LAX1;LEF1;LILRA1;LILRA3;LILRB1;LILRB4;LILRB5;LOXL3;LTA;LY9;MALT1;MAP3K7;MARCH8;MASP2;MCOLN2;MEF2C;MLH1;MYO1G;NBN;NEDD4;NLRP3;P2RX7;PAG1;PIK3CD;PIK3CG;POU2F2;PPP3CB;PRDM1;PRF1;PRKCB;PRKCQ;PTPRC;RAB27A;RC3H2;RFTN1;RIF1;RNF125;RORA;SAMSN1;SASH3;SERPING1;SH2D1A;SIGLEC10;SIRT1;SIT1;SLA2;SLAMF1;SLAMF6;SLAMF7;SMAD7;SOCS5;SPN;STAT3;STX7;SWAP70;TBX21;THEMIS;TLR4;TLR8;TNFAIP3;TNFRSF13B;TNFRSF13C;TNFRSF17;TNFRSF1B;TNFSF13B;TNFSF18;TNFSF4;TRAT1;TXK;WAS;XCL1;ZAP70
GO:0150076	neuroinflammatory response	http://amigo.geneontology.org/amigo/term/GO:0150076	0.6280781608112258	2.2503144323967574	0	0	48	./Project_1612860827_GSEA/GO_0150076.png	25	5788;120892;51284;90865;131450;4345;135;7133;472;51311;4035;3569;199;26228;1191;3553;2358;3689;10333;6608;3684;107;6622;3596;4137	ADCY1;ADORA2A;AIF1;ATM;CD200;CD200R1;CLU;FPR2;IL13;IL1B;IL33;IL6;ITGAM;ITGB2;LRP1;LRRK2;MAPT;PTPRC;SMO;SNCA;STAP1;TLR6;TLR7;TLR8;TNFRSF1B
GO:0032623	interleukin-2 production	http://amigo.geneontology.org/amigo/term/GO:0032623	0.5894345749699785	2.2146240571998765	0	0	63	./Project_1612860827_GSEA/GO_0032623.png	27	89795;5788;940;5142;947;729230;57678;920;54440;6777;916;919;30009;942;9308;3662;11326;6885;5588;10892;25;7128;5621;50943;84868;3553;2207	ABL1;CCR2;CD247;CD28;CD34;CD3E;CD4;CD83;CD86;FCER1G;FOXP3;GPAM;HAVCR2;IL1B;IRF4;MALT1;MAP3K7;NAV3;PDE4B;PRKCQ;PRNP;PTPRC;SASH3;STAT5B;TBX21;TNFAIP3;VSIG4
GO:0032609	interferon-gamma production	http://amigo.geneontology.org/amigo/term/GO:0032609	0.5440852802031486	2.196743671128037	0	0	102	./Project_1612860827_GSEA/GO_0032609.png	57	5142;10666;3554;729230;51284;90865;3702;8320;6693;1236;7099;64343;54440;10225;10859;916;3113;51311;914;3595;8809;3115;4049;3570;10148;80380;8807;25;9173;5621;51744;50943;7294;114836;3586;140885;84868;929;3553;11119;3394;3594;115650;29126;54106;5144;3558;3624;26191;3593;11118;8993;9466;3670;7292;6375;558	ABL1;AXL;AZI2;BTN3A1;BTN3A2;CCR2;CCR7;CD14;CD2;CD226;CD244;CD274;CD3E;CD96;EBI3;EOMES;FOXP3;HAVCR2;HLA-DPA1;HLA-DPB1;IL10;IL12B;IL12RB1;IL12RB2;IL18R1;IL18RAP;IL1B;IL1R1;IL1RL1;IL2;IL27RA;IL33;IL6R;INHBA;IRF8;ISL1;ITK;LILRB1;LTA;PDCD1LG2;PDE4B;PDE4D;PGLYRP1;PRNP;PTPN22;SASH3;SIRPA;SLAMF6;SPN;TLR4;TLR7;TLR8;TLR9;TNFRSF13C;TNFSF4;TXK;XCL1
GO:0050867	positive regulation of cell activation	http://amigo.geneontology.org/amigo/term/GO:0050867	0.49182916338630966	2.1722764825272405	0	0	298	./Project_1612860827_GSEA/GO_0050867.png	127	4208;596;3479;2255;114548;5788;940;10666;5295;9402;120892;729230;90865;3575;7057;921;3952;6403;57678;30835;920;912;2534;3071;1236;151888;7099;5341;695;81704;7048;54440;959;6777;10859;916;29851;286410;1880;3113;30009;4773;3572;115352;6708;914;942;9308;1540;3115;11151;64926;2268;3570;923;939;10148;6352;55423;80380;3569;6363;160365;5588;10892;338339;199;9173;7704;5159;952;7535;353514;50943;11027;8013;26228;6366;10326;3717;8546;6347;11006;3707;3109;10451;3586;140885;10673;9655;2624;5133;6845;57178;84868;7070;5063;1493;864;2737;55012;3553;8808;3689;10333;2207;1326;8740;3718;146850;9846;1960;5290;3929;3594;3559;3684;683;9760;5724;115650;29126;3596;4292;54106;5781;10385	AIF1;AP3B1;ATP11C;BCL2;BST1;BTK;BTLA;BTN2A2;CCL19;CCL2;CCL21;CCL5;CCR2;CCR7;CD1D;CD2;CD209;CD226;CD27;CD274;CD28;CD38;CD3E;CD4;CD40LG;CD5;CD6;CD83;CD86;CLEC4D;CLECL1;CORO1A;CTLA4;CYLD;DOCK8;EBI3;EGR3;FCER1G;FCRL3;FGF10;FGR;FOXP3;FYN;GAB2;GATA2;GLI3;GPAM;GPR183;GRAP2;HAVCR2;HLA-DMB;HLA-DPA1;HLA-DPB1;ICOS;IGF1;IL10;IL12RB1;IL13;IL1B;IL1RL1;IL1RL2;IL2RA;IL33;IL6;IL6R;IL6ST;IL7R;ITGAM;ITGB2;ITPKB;JAK2;JAK3;LBP;LEP;LILRA2;LILRA5;LILRB1;LILRB4;LRRK2;MALT1;MAP3K8;MEF2C;MLH1;NCKAP1L;NFATC2;NLRP3;NR4A3;PAK3;PDCD1;PDCD1LG2;PDGFRB;PIK3CA;PIK3R1;PIK3R6;PLEK;PPP2R3C;PRKCQ;PTAFR;PTPN11;PTPRC;RASAL3;RUNX3;SASH3;SELP;SIRPA;SIRPB1;SIRPG;SOCS5;SPTA1;STAP1;STAT5B;TBX21;TGFBR2;THBS1;THY1;TLR4;TLR6;TLR9;TNFRSF13C;TNFSF13B;TNFSF14;TOX;VAMP7;VAV3;ZAP70;ZBTB16;ZMIZ1
GO:0035637	multicellular organismal signaling	http://amigo.geneontology.org/amigo/term/GO:0035637	0.5052424899522264	2.159706436827962	0	0	165	./Project_1612860827_GSEA/GO_0035637.png	92	1901;6330;3708;6332;6327;287;6328;23704;4915;4881;552;83700;3709;6547;10345;11280;6329;482;4916;477;781;5350;5048;30845;6546;4842;8506;3737;6262;125111;23114;3752;6263;3270;7220;2702;4882;54112;845;3741;783;491;51738;55800;490;2257;10052;2697;8911;4205;3736;1133;5023;3777;3753;149461;3762;4897;7143;10768;492;2741;6543;6335;29119;2693;5144;6326;27091;10242;8913;3759;10699;6324;844;57731;817;857;146183;4544;2316;3751;8912;478;775;776;801;9607;10142;2898;3760;1134	AHCYL1;AKAP9;ANK2;ATP1A2;ATP1A3;ATP1B2;ATP2B1;ATP2B2;ATP2B3;AVPR1A;CACNA1C;CACNA1D;CACNA1G;CACNA1H;CACNA1I;CACNA2D1;CACNB2;CACNG5;CALM1;CAMK2D;CARTPT;CASQ1;CASQ2;CAV1;CHRM5;CHRNA1;CLDN19;CNTNAP1;CORIN;CTNNA3;EHD3;FGF12;FLNA;GHRL;GHSR;GJA1;GJA5;GJC1;GJD3;GLRA1;GPR88;GRIK2;HRC;ITPR1;ITPR2;JAM3;KCNA1;KCNA2;KCNA5;KCND2;KCND3;KCNE1;KCNE4;KCNJ2;KCNJ3;KCNJ5;KCNK3;KCNMB2;MEF2A;MTNR1B;NFASC;NOS1;NPR1;NPR2;NRCAM;NTRK2;NTRK3;OTOA;P2RX1;PAFAH1B1;PDE4D;PLN;RYR2;RYR3;S1PR1;SCN11A;SCN1B;SCN2A;SCN2B;SCN3A;SCN3B;SCN4A;SCN4B;SCN7A;SCN9A;SLC8A1;SLC8A2;SLC8A3;SPTBN4;TNR;TRDN;TRPC1
GO:0060326	cell chemotaxis	http://amigo.geneontology.org/amigo/term/GO:0060326	0.48716308098252514	2.154557550978362	0	0	261	./Project_1612860827_GSEA/GO_0060326.png	108	9353;1901;6387;1910;3082;57580;3680;1233;1240;5142;2350;729230;2260;3603;7057;1234;3791;6358;1902;5156;5294;8829;3071;83700;1236;1230;9037;51411;3815;7060;1130;9732;23075;185;1435;10663;719;2829;1880;7074;1235;409;2549;6283;11151;5293;2841;7852;9420;3570;3672;1269;728;1588;6352;3569;8817;6363;5588;4354;643;199;5159;1237;64094;6360;9023;5587;26228;6366;6355;1524;3579;80310;6347;5800;63916;10451;1441;3586;8291;1843;6367;57118;1398;7226;2321;79647;56833;6846;3553;2358;3689;2207;6361;8740;6368;1960;158747;3929;7424;7857;10563;6348;6356;683;5054;4283	AGTR1;AIF1;AKIRIN1;ARRB2;BIN2;BST1;C3AR1;C5AR1;CAMK1D;CCL11;CCL14;CCL16;CCL17;CCL19;CCL2;CCL21;CCL22;CCL23;CCL3;CCL5;CCL8;CCR1;CCR2;CCR4;CCR5;CCR6;CCR7;CCR8;CH25H;CMKLR1;CNR2;CORO1A;CRK;CSF1;CSF3R;CX3CR1;CXCL12;CXCL13;CXCL9;CXCR2;CXCR4;CXCR5;CXCR6;CYP19A1;CYP7B1;DOCK4;DUSP1;DYSF;EDNRB;EGR3;ELMO2;FCER1G;FGF18;FGFR1;FLT1;FOLR2;FPR2;GAB1;GPR18;GPR183;HGF;IL10;IL16;IL1B;IL6;IL6R;ITGA1;ITGA9;ITGB2;JAM3;KDR;KIT;LBP;LPAR1;LYST;MOSPD2;MPP1;NCKAP1L;NRP1;PDE4B;PDGFD;PDGFRA;PDGFRB;PIK3CD;PIK3CG;PREX1;PRKCQ;PRKD1;PTPRO;S100A12;S1PR1;SCG2;SEMA5A;SERPINE1;SLAMF8;SLIT2;SMOC2;STAP1;SWAP70;THBS1;THBS4;TIAM1;TNFSF14;TRPM2;VAV3;VEGFC;XCL2;XCR1
GO:0035587	purinergic receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0035587	0.6399584306880313	2.1505567794169047	0	0	33	./Project_1612860827_GSEA/GO_0035587.png	18	2857;9934;64805;5027;286530;27334;29909;6900;53829;135;111;5028;140;5026;5023;5724;54550;196527	ADCY5;ADORA2A;ADORA3;ANO6;CNTN2;GPR171;GPR34;NECAB2;P2RX1;P2RX5;P2RX7;P2RY1;P2RY10;P2RY12;P2RY13;P2RY14;P2RY8;PTAFR
GO:0070661	leukocyte proliferation	http://amigo.geneontology.org/amigo/term/GO:0070661	0.48698438837097197	2.1448534490931954	0	0	267	./Project_1612860827_GSEA/GO_0070661.png	128	4208;596;3479;2255;5788;940;5027;1794;729230;90865;3575;3952;57678;30835;22806;202309;920;6693;5294;912;2534;3071;4332;5532;7099;695;64343;81704;3815;7048;54440;959;6777;1435;10859;916;2322;7133;56253;1880;3113;472;4773;3572;115352;6708;942;4064;8995;3115;11151;64926;3570;923;10457;10148;8654;11326;6352;80380;3569;933;6363;160365;5588;10892;26279;199;25;7128;5621;952;931;7535;50943;6355;2213;339390;5573;23495;3109;10451;3586;7940;10673;23228;6304;973;2615;84868;1493;23705;1191;3553;11314;5169;8740;3718;11119;6654;1380;3594;3559;683;54542;115650;29126;3596;383;54106;10385;3558;975;1141;3133;4478;26191;972;3593;1178;941;51176;384;26585;7292;56832;3635;6375	ABL1;AIF1;ARG1;ARG2;ATM;AZI2;BCL2;BST1;BTK;BTN2A2;BTN3A1;CADM1;CCL19;CCL5;CCL8;CCR2;CD180;CD1D;CD209;CD22;CD274;CD28;CD300A;CD38;CD3E;CD4;CD40LG;CD6;CD74;CD79A;CD80;CD81;CD86;CHRNB2;CLC;CLEC4G;CLECL1;CLU;CORO1A;CR2;CRTAM;CSF1;CTLA4;DOCK2;DOCK8;EBI3;ENPP3;FCGR2B;FCRL3;FGF10;FLT3;FOXP3;FYN;GAPT;GPAM;GPNMB;GPR183;GREM1;HAVCR2;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-E;IFNK;IGF1;IKZF3;IL10;IL12B;IL12RB1;IL13;IL1B;IL2;IL2RA;IL33;IL6;IL6R;IL6ST;IL7R;INPP5D;JAK3;KIT;LEF1;LEP;LILRB1;LRRC32;LST1;MALT1;MEF2C;MNDA;MS4A1;MSN;NCKAP1L;NFATC2;P2RX7;PDCD1LG2;PDE5A;PIK3CG;PLA2G2D;PLCL2;PPP3CB;PRKAR1A;PRKCQ;PRNP;PTPN22;PTPRC;RASAL3;RC3H2;SASH3;SATB1;SOS1;SPN;SPTA1;STAT5B;TGFBR2;TLR4;TLR9;TNFAIP3;TNFRSF13B;TNFRSF13C;TNFRSF1B;TNFSF13B;TNFSF14;TNFSF18;TNFSF4;VAV3;VSIG4;XCL1;ZAP70
GO:1990868	response to chemokine	http://amigo.geneontology.org/amigo/term/GO:1990868	0.5398391874744114	2.1175652952273545	0	0	86	./Project_1612860827_GSEA/GO_1990868.png	38	6586;9353;6387;1233;1240;729230;6091;1234;6358;1236;81704;1230;10663;2829;1235;7852;6352;6363;643;1237;6360;6366;6355;1524;3579;6347;1843;6367;6846;6361;7066;6368;10563;6348;6356;4283;10936;1232	CCL11;CCL14;CCL16;CCL17;CCL19;CCL2;CCL21;CCL22;CCL23;CCL3;CCL5;CCL8;CCR1;CCR2;CCR3;CCR4;CCR5;CCR6;CCR7;CCR8;CMKLR1;CX3CR1;CXCL12;CXCL13;CXCL9;CXCR2;CXCR4;CXCR5;CXCR6;DOCK8;DUSP1;GPR75;ROBO1;SLIT2;SLIT3;THPO;XCL2;XCR1
