geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
Kinase_LYN	LYN proto-oncogene, Src family tyrosine kinase	https://www.ncbi.nlm.nih.gov/gene/?term=LYN	0.6176093261093502	2.2474079878016475	0	0	50	./Project_1614286884_GSEA/Kinase_LYN.png	28	5295;1794;3059;23533;5294;1439;695;5728;2206;7454;6504;9103;9844;23643;5293;7462;25;2212;2213;8503;5336;930;2207;2209;5335;9846;5290;6004	ABL1;BTK;CD19;CSF2RB;DOCK2;ELMO1;FCER1G;FCGR1A;FCGR2A;FCGR2B;FCGR2C;GAB2;HCLS1;LAT2;LY96;MS4A2;PIK3CA;PIK3CD;PIK3CG;PIK3R1;PIK3R3;PIK3R5;PLCG1;PLCG2;PTEN;RGS16;SLAMF1;WAS
Kinase_SYK	spleen associated tyrosine kinase	https://www.ncbi.nlm.nih.gov/gene/?term=SYK	0.6135235554008326	2.0824293629351693	0	5.751245365823445e-4	35	./Project_1614286884_GSEA/Kinase_SYK.png	26	10320;5295;3937;3059;23533;5294;695;9103;5293;7462;2212;8503;5336;10451;5335;5290;6622;4137;867;397;6776;27040;1845;6850;7409;6521	ARHGDIB;BTK;CBL;DUSP3;FCGR2A;FCGR2C;HCLS1;IKZF1;LAT;LAT2;LCP2;MAPT;PIK3CA;PIK3CD;PIK3CG;PIK3R1;PIK3R3;PIK3R5;PLCG1;PLCG2;SLC4A1;SNCA;STAT5A;SYK;VAV1;VAV3
Kinase_HCK	HCK proto-oncogene, Src family tyrosine kinase	https://www.ncbi.nlm.nih.gov/gene/?term=HCK	0.6777221423697413	2.098198845213246	0	8.626868048735168e-4	23	./Project_1614286884_GSEA/Kinase_HCK.png	16	5295;1794;23533;5294;6777;9844;5293;3055;25;2889;2212;8503;2209;9846;5290;2214	ABL1;DOCK2;ELMO1;FCGR1A;FCGR2A;FCGR3A;GAB2;HCK;PIK3CA;PIK3CD;PIK3CG;PIK3R1;PIK3R3;PIK3R5;RAPGEF1;STAT5B
Kinase_LCK	LCK proto-oncogene, Src family tyrosine kinase	https://www.ncbi.nlm.nih.gov/gene/?term=LCK	0.5662534813739503	2.002916731024765	0	0.002156717012183792	43	./Project_1614286884_GSEA/Kinase_LCK.png	29	2099;387357;3937;921;3702;5175;5728;7454;6504;919;3560;89790;945;5588;7535;50943;5336;9021;3689;7305;867;4792;1124;6776;3932;152137;7409;6773;9047	CBL;CCDC50;CD247;CD33;CD5;CHN2;ESR1;FOXP3;IL2RB;ITGB2;ITK;LCK;LCP2;NFKBIA;PECAM1;PLCG2;PRKCQ;PTEN;SH2D2A;SIGLEC10;SLAMF1;SOCS3;STAT2;STAT5A;THEMIS;TYROBP;VAV1;WAS;ZAP70
Kinase_RPS6KA4	ribosomal protein S6 kinase A4	https://www.ncbi.nlm.nih.gov/gene/?term=RPS6KA4	-0.6369796079333504	-2.2417010121383742	0	0.002722133035527326	19	./Project_1614286884_GSEA/Kinase_RPS6KA4.png	13	468;8357;8354;8352;3020;8358;8356;3150;653604;3021;126961;5970;8986	ATF4;H3F3A;H3F3B;HIST1H3B;HIST1H3C;HIST1H3H;HIST1H3I;HIST1H3J;HIST2H3C;HIST2H3D;HMGN1;RELA;RPS6KA4
Kinase_ITK	IL2 inducible T-cell kinase	https://www.ncbi.nlm.nih.gov/gene/?term=ITK	0.8446608491714506	1.9655162818263678	0	0.0031056724975446603	8	./Project_1614286884_GSEA/Kinase_ITK.png	7	3937;3702;695;89790;84868;660;5335	BMX;BTK;HAVCR2;ITK;LCP2;PLCG1;SIGLEC10
Kinase_FGR	FGR proto-oncogene, Src family tyrosine kinase	https://www.ncbi.nlm.nih.gov/gene/?term=FGR	0.742611843063451	1.9370817823296815	0	0.004025871756076412	12	./Project_1614286884_GSEA/Kinase_FGR.png	8	5295;1794;23533;5294;9844;5293;8503;5290	DOCK2;ELMO1;PIK3CA;PIK3CD;PIK3CG;PIK3R1;PIK3R3;PIK3R5
Kinase_FYN	FYN proto-oncogene, Src family tyrosine kinase	https://www.ncbi.nlm.nih.gov/gene/?term=FYN	0.4960135252792426	1.8591751165935109	0	0.014049470822225846	66	./Project_1614286884_GSEA/Kinase_FYN.png	34	3708;10666;921;2534;124599;5175;916;6504;119;919;89790;399694;25;51744;2212;2213;5336;11122;2207;9846;6622;4133;7305;4137;5781;116986;867;146722;53405;1742;1124;857;6197;2887	ABL1;ADD2;AGAP2;CAV1;CBL;CD226;CD244;CD247;CD300LB;CD300LF;CD3E;CD5;CHN2;CLIC5;DLG4;FCER1G;FCGR2A;FCGR2B;FYN;GAB2;GRB10;ITPR1;MAP2;MAPT;PECAM1;PLCG2;PTPN11;PTPRT;RPS6KA3;SHC4;SIGLEC10;SLAMF1;SNCA;TYROBP
Kinase_AURKB	aurora kinase B	https://www.ncbi.nlm.nih.gov/gene/?term=AURKB	-0.3999901252569965	-2.00648460471533	0	0.058525860263837506	87	./Project_1614286884_GSEA/Kinase_AURKB.png	38	10403;4926;3619;29127;4008;8357;8354;23286;63898;157313;8352;54888;3020;8358;4288;8356;29101;653604;9493;3021;51203;92421;126961;10726;6132;103910;9212;24137;11004;332;1058;113130;5339;3856;55143;5347;54961;79016	AURKB;BIRC5;CDCA2;CDCA5;CDCA8;CENPA;CHMP4C;DDA1;H3F3A;H3F3B;HIST1H3B;HIST1H3C;HIST1H3H;HIST1H3I;HIST1H3J;HIST2H3C;HIST2H3D;INCENP;KIF23;KIF2C;KIF4A;KRT8;LMO7;MKI67;MYL12B;NDC80;NSUN2;NUDC;NUMA1;NUSAP1;PLEC;PLK1;RACGAP1;RPL8;SH2D4A;SSH3;SSU72;WWC1
Kinase_BUB1	BUB1 mitotic checkpoint serine/threonine kinase	https://www.ncbi.nlm.nih.gov/gene/?term=BUB1	-0.860340720399364	-1.9028973098527835	0	0.10707056606407482	5	./Project_1614286884_GSEA/Kinase_BUB1.png	4	699;9184;991;51529	ANAPC11;BUB1;BUB3;CDC20
