userId	geneSymbol	geneName	entrezgene	score	gLink
A1BG	A1BG	alpha-1-B glycoprotein	1	0.1303886315905	https://www.ncbi.nlm.nih.gov/gene/?term=1
A1CF	A1CF	APOBEC1 complementation factor	29974	0.21991285404395	https://www.ncbi.nlm.nih.gov/gene/?term=29974
A2M	A2M	alpha-2-macroglobulin	2	0.75505311810326	https://www.ncbi.nlm.nih.gov/gene/?term=2
A2ML1	A2ML1	alpha-2-macroglobulin like 1	144568	-0.29582682836877	https://www.ncbi.nlm.nih.gov/gene/?term=144568
A4GALT	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	53947	-0.037822353784672	https://www.ncbi.nlm.nih.gov/gene/?term=53947
A4GNT	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	51146	0.17480666566817	https://www.ncbi.nlm.nih.gov/gene/?term=51146
AAA1	AAA1	aortic aneurysm, familial abdominal 1	100329167	-0.08592446540072	https://www.ncbi.nlm.nih.gov/gene/?term=100329167
AAAS	AAAS	aladin WD repeat nucleoporin	8086	-0.24254446927553	https://www.ncbi.nlm.nih.gov/gene/?term=8086
AACS	AACS	acetoacetyl-CoA synthetase	65985	-0.040090180508131	https://www.ncbi.nlm.nih.gov/gene/?term=65985
AADAC	AADAC	arylacetamide deacetylase	13	0.014486588876392	https://www.ncbi.nlm.nih.gov/gene/?term=13
AADACL2	AADACL2	arylacetamide deacetylase like 2	344752	0.042324679646146	https://www.ncbi.nlm.nih.gov/gene/?term=344752
AADACL3	AADACL3	arylacetamide deacetylase like 3	126767	0.38449807599558	https://www.ncbi.nlm.nih.gov/gene/?term=126767
AADACL4	AADACL4	arylacetamide deacetylase like 4	343066	0.38416662269541	https://www.ncbi.nlm.nih.gov/gene/?term=343066
AADAT	AADAT	aminoadipate aminotransferase	51166	0.052138865169089	https://www.ncbi.nlm.nih.gov/gene/?term=51166
AAGAB	AAGAB	alpha and gamma adaptin binding protein	79719	-0.3847156899042	https://www.ncbi.nlm.nih.gov/gene/?term=79719
AAK1	AAK1	AP2 associated kinase 1	22848	0.54473844888759	https://www.ncbi.nlm.nih.gov/gene/?term=22848
AAMP	AAMP	angio associated migratory cell protein	14	-0.48105598027191	https://www.ncbi.nlm.nih.gov/gene/?term=14
AANAT	AANAT	aralkylamine N-acetyltransferase	15	-0.06320683896819	https://www.ncbi.nlm.nih.gov/gene/?term=15
AARS	AARS	alanyl-tRNA synthetase	16	0.031982440829677	https://www.ncbi.nlm.nih.gov/gene/?term=16
AARS2	AARS2	alanyl-tRNA synthetase 2, mitochondrial	57505	-0.08857065859573	https://www.ncbi.nlm.nih.gov/gene/?term=57505
AARSD1	AARSD1	alanyl-tRNA synthetase domain containing 1	80755	-0.24002621453569	https://www.ncbi.nlm.nih.gov/gene/?term=80755
AASDH	AASDH	aminoadipate-semialdehyde dehydrogenase	132949	0.42259562465359	https://www.ncbi.nlm.nih.gov/gene/?term=132949
AASDHPPT	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	60496	0.33389488917083	https://www.ncbi.nlm.nih.gov/gene/?term=60496
AASS	AASS	aminoadipate-semialdehyde synthase	10157	0.57562075197358	https://www.ncbi.nlm.nih.gov/gene/?term=10157
AATF	AATF	apoptosis antagonizing transcription factor	26574	-0.48055522295513	https://www.ncbi.nlm.nih.gov/gene/?term=26574
AATK	AATK	apoptosis associated tyrosine kinase	9625	-0.19778018048175	https://www.ncbi.nlm.nih.gov/gene/?term=9625
ABAT	ABAT	4-aminobutyrate aminotransferase	18	0.42961709776922	https://www.ncbi.nlm.nih.gov/gene/?term=18
ABCA1	ABCA1	ATP binding cassette subfamily A member 1	19	0.5649781905784	https://www.ncbi.nlm.nih.gov/gene/?term=19
ABCA10	ABCA10	ATP binding cassette subfamily A member 10	10349	0.53562649424837006	https://www.ncbi.nlm.nih.gov/gene/?term=10349
ABCA11P	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	79963	0.080084645377495	https://www.ncbi.nlm.nih.gov/gene/?term=79963
ABCA12	ABCA12	ATP binding cassette subfamily A member 12	26154	-0.17294588369208	https://www.ncbi.nlm.nih.gov/gene/?term=26154
ABCA13	ABCA13	ATP binding cassette subfamily A member 13	154664	-0.13670057793845	https://www.ncbi.nlm.nih.gov/gene/?term=154664
ABCA17P	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	650655	0.013437165550712	https://www.ncbi.nlm.nih.gov/gene/?term=650655
ABCA2	ABCA2	ATP binding cassette subfamily A member 2	20	-0.035809476452909	https://www.ncbi.nlm.nih.gov/gene/?term=20
ABCA3	ABCA3	ATP binding cassette subfamily A member 3	21	0.36512253703076	https://www.ncbi.nlm.nih.gov/gene/?term=21
