geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
GO:0097060	synaptic membrane	http://amigo.geneontology.org/amigo/term/GO:0097060	0.47178904449351655	2.33930861189811	0	0	409	./Project_1604390574_GSEA/GO_0097060.png	199	287;440073;22866;23345;57502;8777;64506;64084;6546;322;53826;57692;1740;4355;107;3745;1742;9751;1949;26045;23208;7074;6547;27253;9378;56899;22829;66000;3736;64101;3752;5138;2911;22871;2917;1272;23390;135;2054;115207;6532;2743;2892;85358;7402;9867;53616;1141;8867;5064;50944;23025;3778;9699;3738;84966;4897;9746;729956;1363;2894;23229;490;2901;2891;1008;57555;1133;401190;8516;1006;5802;491;58512;57689;26052;80059;2566;254263;23413;94030;11178;1759;23426;134957;8001;145581;8745;3737;80315;53942;6855;57622;1630;3746;1268;869;80863;5786;8787;2900;27255;5728;1756;1000;2914;320;3760;2893;8825;2898;57863;3356;776;2741;57120;375323;2565;8829;2572;160622;116443;55879;149111;9066;26059;6616;23237;2890;1496;23085;85445;27091;10142;23285;54413;4916;1132;22986;57406;3747;8506;1399;2823;9162;55361;4593;10369;1136;399694;93145;79870;3756;2560;5028;5100;2554;4985;388336;386617;2562;114798;2149;6900;57528;1135;409;2903;815;22849;3312;1145;27020;1813;8973;200959;2918;22854;140730;2916;2899;2558;9456;80725;3748;27092;10059;23109;57497;11346;8676;57554;148281;55333;2570;5800;11141;10505;6812	ABHD6;ADAM22;ADAM23;ADCY1;ADORA2A;AKAP9;ANK2;ANKS1B;APBA1;APBB1;ARC;ARHGEF9;ARRB2;ATP2B1;ATP2B2;BAALC;CACNA1D;CACNG2;CACNG4;CACNG5;CADM3;CAMK2A;CBLN1;CDH10;CDH2;CDH8;CHRM4;CHRM5;CHRNA2;CHRNA3;CHRNA6;CHRNB2;CHRNE;CLSTN2;CLSTN3;CNIH2;CNIH3;CNKSR2;CNR1;CNTN1;CNTN2;CNTN5;CNTN6;CNTNAP1;CNTNAP4;CPE;CPEB1;CPEB3;CPEB4;CRKL;CTNNA2;DCC;DDN;DGKI;DLG2;DLG4;DLGAP3;DMD;DNM1;DNM1L;DNM3;DRD2;EFNB3;ERC1;ERC2;F2R;FXYD6;GABRA1;GABRA5;GABRB1;GABRB3;GABRG1;GABRG2;GABRQ;GABRR2;GABRR3;GAD2;GLRA1;GLRA3;GLRB;GOPC;GPM6A;GRASP;GRIA1;GRIA2;GRIA3;GRIA4;GRID1;GRIK2;GRIK3;GRIK4;GRIK5;GRIN2A;GRIN3A;GRIP1;GRM1;GRM4;GRM6;GRM7;GRM8;HOMER1;HSPA8;HTR2A;IGSF21;IL1RAPL1;IQSEC3;ITGA8;KCNA1;KCNA2;KCNA3;KCNB1;KCNC1;KCNC2;KCNC3;KCND3;KCNH1;KCNJ3;KCNMA1;KCTD12;KCTD16;KCTD8;KIAA1107;LHFPL4;LIN7A;LRFN1;LRFN2;LRFN5;LRRC4;LRRC4B;LRRC4C;LRRC7;LRRTM2;LRRTM4;LZTS1;MAGEE1;MPDZ;MPP2;MUSK;NCS1;NLGN1;NLGN2;NLGN3;NLGN4X;NLGN4Y;NPTN;NRCAM;NRP1;NRXN1;NTNG1;NTRK3;OLFM2;OPRD1;P2RY1;PALM;PCDH17;PCDH8;PDE2A;PI4K2A;PJA2;PRRT1;PTEN;PTPRA;PTPRO;PTPRS;RGS7BP;RGS9;RIMS2;RIMS4;SEMA4F;SHANK1;SHANK3;SHC4;SHISA6;SHISA7;SLC6A4;SLC8A1;SLC8A3;SLITRK1;SNAP25;SNPH;SORCS3;SRCIN1;STX11;STX2;STXBP1;STXBP5;SYNE1;SYNJ1;SYNJ2BP;SYNPO;SYP;SYT11;SYT6;SYT7;TIAM1;TMEM108;UNC13A;UTRN;ZDHHC17
GO:0098982	GABA-ergic synapse	http://amigo.geneontology.org/amigo/term/GO:0098982	0.5579775146343046	2.2767743785711105	0	0	74	./Project_1604390574_GSEA/GO_0098982.png	43	440073;57502;9900;26045;27253;9378;22829;8927;3752;84631;2743;388662;9746;23229;490;1008;57555;491;492;2566;266727;145581;53942;1268;9066;23236;26059;85445;54413;2596;57406;140679;2560;2554;2562;114798;793;27020;1813;3084;2558;2570;5800	ABHD6;ARHGEF9;ATP2B1;ATP2B2;ATP2B3;BSN;CALB1;CDH10;CLSTN3;CNR1;CNTN5;CNTNAP4;DRD2;ERC2;GABRA1;GABRA5;GABRB1;GABRB3;GABRG2;GABRR2;GAP43;GLRB;IQSEC3;KCND3;LRFN5;LRRTM2;MDGA1;NLGN2;NLGN3;NLGN4X;NLGN4Y;NPTN;NRG1;NRXN1;PCDH17;PLCB1;PTPRO;SLC32A1;SLC6A17;SLITRK1;SLITRK2;SV2A;SYT7
GO:0005759	mitochondrial matrix	http://amigo.geneontology.org/amigo/term/GO:0005759	-0.374112216709601	-2.322843476351141	0	0	413	./Project_1604390574_GSEA/GO_0005759.png	173	51218;131118;189;6647;1763;5163;3158;3028;6041;65080;2647;2806;2617;5442;292;64087;54936;9093;374291;5106;2108;55052;162417;84769;27349;5428;79586;2109;7157;63931;64979;124995;51258;10797;3418;2232;441282;10587;25824;92170;26024;51067;197322;7923;26995;56945;2746;51264;644096;84545;51263;26073;81889;670;51110;57129;3329;5160;5018;4701;219927;64960;90480;84971;55699;285367;51069;8192;35;80221;25996;84266;6188;64216;60488;80273;29088;6472;116540;6464;80222;4706;598;11222;84532;54948;64968;51116;4728;10105;4720;7818;3735;51021;6742;28998;2271;728294;211;64951;4705;79587;51642;51102;84706;9997;51073;7298;10573;6182;3421;118487;3336;64975;65003;3155;65005;79590;4722;55157;10922;23597;4191;10884;64969;55379;10295;1892;1716;622;51657;29920;10131;128308;27068;7417;5831;55168;51253;80324;55902;7284;51373;891;55210;5888;5859;80347;6183;63875;65993;8801;116447;7015;2876;64928;4521;6150;92399;983;80308;4350;7416;51205;7263;51022;1841;122704;373156;2356;4357;23474;9238	ACADS;ACOT9;ACP6;ACSF2;ACSF3;ACSS1;ACSS2;ADPRHL2;AGXT;AKR1B15;ALAS1;ALKBH7;ATAD3A;ATG4D;BCKDK;BCL2L1;BDH1;BLOC1S1;BPHL;CARS2;CCNB1;CDK1;CHCHD1;CHPF;CLPP;COASY;D2HGDH;DAP3;DARS2;DGUOK;DNA2;DNAJA3;DNAJC19;DTYMK;ECHS1;ETFA;ETFB;ETHE1;FAHD1;FASTK;FDXR;FH;FLAD1;FPGS;GADD45GIP1;GARS;GLRX2;GLRX5;GLUD1;GOT2;GPT2;GPX1;GRPEL1;GSTK1;HMGCL;HMGCS2;HSD17B10;HSD17B8;HSPD1;HSPE1;IARS2;IDH2;IDH3G;KARS;LACTB2;LRRC59;MCAT;MCCC2;MDH2;MECR;MPG;MPST;MPV17L2;MRPL10;MRPL11;MRPL12;MRPL13;MRPL14;MRPL15;MRPL16;MRPL17;MRPL2;MRPL20;MRPL21;MRPL23;MRPL24;MRPL27;MRPL28;MRPL3;MRPL30;MRPL36;MRPL37;MRPL4;MRPL41;MRPL43;MRPL44;MRPL47;MRPL48;MRPL51;MRPL52;MRPL53;MRPL55;MRPL9;MRPS12;MRPS14;MRPS15;MRPS16;MRPS17;MRPS18A;MRPS2;MRPS22;MRPS24;MRPS30;MRPS34;MRPS35;MRPS5;MRPS6;MRRF;MTG1;MTHFD2;NAGS;NDUFA10;NDUFA7;NDUFAB1;NDUFS2;NDUFS3;NDUFS7;NDUFS8;NUDT1;OXA1L;PCK2;PDHA1;PDK1;POLDIP2;POLG;POLRMT;PPA2;PPIF;PRDX5;PTCD1;PUS1;PYCR1;PYCR2;QARS;RAD51;REXO2;RNASEL;RPS3;RPUSD3;SCO2;SDHAF1;SHC1;SHMT2;SLC25A5;SOD1;SSBP1;STYXL1;SUCLG2;TARS2;TBRG4;TERT;TFB2M;TOP1MT;TP53;TRAP1;TRUB2;TST;TUFM;TXNRD2;TYMS;VDAC1;VDAC2;YARS2
GO:0044815	DNA packaging complex	http://amigo.geneontology.org/amigo/term/GO:0044815	-0.5016121050207383	-2.335350411465802	0	0	63	./Project_1604390574_GSEA/GO_0044815.png	38	8290;8349;8342;8369;29781;9918;54892;3008;8338;8341;85235;8971;8331;3018;474382;128312;3012;440689;8334;8348;8970;126961;3015;317772;8345;3009;8340;3006;3007;3017;23397;85236;3020;64151;92815;1058;3005;3014	CENPA;H1F0;H1FX;H2AFB1;H2AFX;H2AFZ;H3F3A;HIST1H1B;HIST1H1C;HIST1H1D;HIST1H1E;HIST1H2AC;HIST1H2AE;HIST1H2AH;HIST1H2AJ;HIST1H2BB;HIST1H2BD;HIST1H2BH;HIST1H2BJ;HIST1H2BK;HIST1H2BL;HIST1H2BM;HIST1H2BN;HIST1H2BO;HIST1H4G;HIST2H2AB;HIST2H2AC;HIST2H2BE;HIST2H2BF;HIST2H3C;HIST3H2A;HIST3H2BB;HIST3H3;NCAPD2;NCAPG;NCAPG2;NCAPH;NCAPH2
GO:0005732	small nucleolar ribonucleoprotein complex	http://amigo.geneontology.org/amigo/term/GO:0005732	-0.6586635784058766	-2.39309204233617	0	0	20	./Project_1604390574_GSEA/GO_0005732.png	12	9221;51367;6636;2091;1736;55651;10248;55505;51602;54433;9136;54913	DKC1;FBL;GAR1;NHP2;NOLC1;NOP10;NOP58;POP5;POP7;RPP25;RRP9;SNRPF
GO:1990204	oxidoreductase complex	http://amigo.geneontology.org/amigo/term/GO:1990204	-0.4712189792395131	-2.4342980219945716	0	0	93	./Project_1604390574_GSEA/GO_1990204.png	54	4702;4700;4704;51079;7386;92259;126328;6390;6240;4695;4696;27035;5163;4718;5033;4717;374291;55572;29796;5034;7385;2648;2820;4715;617;5160;6391;4701;4713;4694;4726;1535;54539;27089;4723;4725;4706;4728;4710;4720;7388;440567;4705;4709;1537;4729;4722;6389;4716;10295;124056;10811;4697;7384	BCKDK;BCS1L;CYBA;CYC1;FOXRED1;GPD2;KAT2A;MRPS36;NDUFA1;NDUFA10;NDUFA11;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFB10;NDUFB11;NDUFB3;NDUFB4;NDUFB7;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NOX1;NOXA1;NOXO1;P4HA1;P4HB;PDHA1;PDK1;RRM1;SDHA;SDHB;SDHC;UQCR10;UQCRC1;UQCRC2;UQCRFS1;UQCRH;UQCRHL;UQCRQ
GO:0070069	cytochrome complex	http://amigo.geneontology.org/amigo/term/GO:0070069	-0.6452701079410257	-2.527403919281715	0	0	29	./Project_1604390574_GSEA/GO_0070069.png	19	1350;29796;7385;1355;617;1351;54658;1337;27089;7388;1327;440567;1537;1340;4697;1329;1349;7384;9377	BCS1L;COX15;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX7B;COX7C;COX8A;CYC1;NDUFA4;UGT1A1;UQCR10;UQCRC1;UQCRC2;UQCRH;UQCRHL;UQCRQ
GO:0030964	NADH dehydrogenase complex	http://amigo.geneontology.org/amigo/term/GO:0030964	-0.5893499137215278	-2.54849687702102	0	0	43	./Project_1604390574_GSEA/GO_0030964.png	32	4707;4711;4708;4702;4700;4704;51079;126328;4695;4696;4718;4717;374291;55572;4715;4701;4713;4694;4726;54539;4723;4725;4706;4728;4710;4720;4705;4709;4729;4722;4716;4697	FOXRED1;NDUFA1;NDUFA10;NDUFA11;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB7;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2
GO:0005743	mitochondrial inner membrane	http://amigo.geneontology.org/amigo/term/GO:0005743	-0.4445273997448642	-2.7330473670671105	0	0	368	./Project_1604390574_GSEA/GO_0005743.png	217	29103;4711;55349;23203;293;64965;64949;4708;114789;8834;399512;1347;51650;9512;203427;51522;23408;55735;54460;4702;10165;4700;80219;137994;64981;115209;4704;63904;55173;51079;37;7386;150209;92259;126328;6390;64978;10939;26520;4067;114971;11331;10469;5625;64983;92609;4695;6834;79085;4696;11194;51241;10975;131118;8034;115286;4718;65080;2806;292;4717;1350;23464;374291;55052;84769;55572;9131;26519;5321;63931;64979;29796;124995;26521;51258;54927;7385;1355;2232;80775;23788;92170;28976;54205;2537;5498;56945;2820;51264;4715;192286;84545;51263;617;1351;125965;3954;123096;30968;26517;10166;57129;3329;6391;5018;1337;4701;219927;4713;64960;55486;4694;51069;4726;1345;25915;1159;3052;2021;6188;5832;54539;60488;83884;80273;27089;51117;29088;4723;4725;6472;116540;376497;4706;598;11222;54948;64968;51116;4728;4710;64432;79751;197257;10105;4720;7818;5245;7388;51021;1678;1327;28998;440567;119559;64951;4705;51312;51642;5663;10452;9997;83985;4709;51073;7298;57017;10573;6182;6576;1537;118487;10245;10440;64975;1723;65003;4729;65005;79590;4722;6389;54998;140823;83858;400916;4716;10884;64969;622;10131;128308;1340;55168;51253;51373;54675;55210;4697;1329;6183;1349;63875;65993;64928;6150;7384;9377;51629;6901;112724;122704;2356;6714;3958;1468	ABCB8;ACAD9;ACADVL;AFG3L2;AIFM1;AIFM3;ALDH18A1;ATAD3A;ATAD3B;AURKAIP1;BCL2L1;BCS1L;BDH1;CHCHD1;CHCHD10;CHCHD3;CHDH;CKMT1B;COQ10B;COQ4;COQ9;COX15;COX16;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6B2;COX6C;COX7A2;COX7B;COX7C;COX8A;CRLS1;CYC1;CYCS;DAP3;DHODH;DNAJC11;DNAJC15;DNAJC19;DUSP21;ENDOG;FDXR;FOXRED1;FPGS;GCAT;GOT2;GPD2;GRPEL1;HCCS;HIGD2A;HSPD1;IFI6;LDHD;LETM1;LETM2;LGALS3;LYN;MPV17L2;MRPL10;MRPL11;MRPL12;MRPL13;MRPL14;MRPL15;MRPL16;MRPL17;MRPL2;MRPL20;MRPL21;MRPL23;MRPL24;MRPL27;MRPL28;MRPL3;MRPL30;MRPL32;MRPL34;MRPL36;MRPL37;MRPL38;MRPL4;MRPL41;MRPL43;MRPL44;MRPL47;MRPL48;MRPL51;MRPL52;MRPL53;MRPL55;MRPL9;MRPS10;MRPS12;MRPS14;MRPS15;MRPS16;MRPS17;MRPS18A;MRPS2;MRPS21;MRPS22;MRPS24;MRPS25;MRPS26;MRPS30;MRPS33;MRPS34;MRPS35;MRPS36;MRPS5;MRPS6;MRPS9;MTCH2;MTG1;NDUFA1;NDUFA10;NDUFA11;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFAF3;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB7;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;OMA1;OXA1L;PARL;PHB;PHB2;PLA2G4A;PMPCA;PMPCB;PPIF;PPOX;PRODH;PSEN1;PTPMT1;RDH13;ROMO1;RPS3;SCO2;SDHA;SDHB;SDHC;SFXN4;SHMT2;SIRT5;SLC25A1;SLC25A10;SLC25A13;SLC25A15;SLC25A16;SLC25A2;SLC25A22;SLC25A23;SLC25A25;SLC25A26;SLC25A29;SLC25A35;SLC25A37;SLC25A39;SLC25A43;SLC25A5;SLC25A6;SLC27A1;SPNS1;SRC;STOML2;SURF1;TAZ;TIMM10;TIMM13;TIMM17A;TIMM17B;TIMM44;TIMM50;TIMM8A;TIMM8B;TIMM9;TMEM11;TMEM14C;TMEM177;TOMM40;TRAP1;TYMS;UQCR10;UQCR11;UQCRC1;UQCRC2;UQCRFS1;UQCRH;UQCRHL;UQCRQ
GO:0070469	respiratory chain	http://amigo.geneontology.org/amigo/term/GO:0070469	-0.5600033548065636	-2.8141357598113115	0	0	84	./Project_1604390574_GSEA/GO_0070469.png	57	1347;9512;4702;4700;4704;51079;7386;126328;6390;4695;6834;4696;10975;4718;4717;1350;374291;55572;29796;7385;1355;54205;4715;192286;617;1351;6391;5018;1337;4701;4713;4694;4726;54539;27089;4723;4725;4706;4728;4710;4720;7388;1327;440567;4705;4709;1537;4729;4722;6389;4716;1340;4697;1329;1349;7384;9377	BCS1L;COX15;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX7A2;COX7B;COX7C;COX8A;CYC1;CYCS;FOXRED1;HIGD2A;NDUFA1;NDUFA10;NDUFA11;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFB10;NDUFB11;NDUFB3;NDUFB4;NDUFB7;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;OXA1L;PMPCB;SDHA;SDHB;SDHC;SURF1;UQCR10;UQCR11;UQCRC1;UQCRC2;UQCRFS1;UQCRH;UQCRHL;UQCRQ
