geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
GO:0019843	rRNA binding	http://amigo.geneontology.org/amigo/term/GO:0019843	-0.5337611924019957	-2.491435035679527	0	0	60	./Project_1604390579_GSEA/GO_0019843.png	34	84154;6135;6208;6143;9349;6041;6203;55052;6205;6193;23212;6222;6147;6207;6191;2971;79159;5935;6175;6188;6136;56342;54948;64968;55272;10436;6132;6167;65003;55168;51373;92856;7263;283	ANG;EMG1;GTF3A;IMP3;IMP4;MRPL11;MRPL16;MRPL20;MRPS17;MRPS18A;MRPS6;NOL12;PPAN;RBM3;RNASEL;RPF2;RPL11;RPL12;RPL19;RPL23;RPL23A;RPL37;RPL8;RPLP0;RPS11;RPS13;RPS14;RPS18;RPS3;RPS4X;RPS5;RPS9;RRS1;TST
GO:0003735	structural constituent of ribosome	http://amigo.geneontology.org/amigo/term/GO:0003735	-0.6316670782540829	-3.450186045400564	0	0	154	./Project_1604390579_GSEA/GO_0003735.png	107	92259;6171;6155;4736;6201;6202;6206;6135;6208;64983;6143;6166;6169;9349;7311;6204;6235;6168;6203;6165;6218;55052;6224;6164;6205;63931;6193;64979;124995;51258;6222;6147;6207;6191;6156;56945;6217;6210;51264;3921;84545;51263;6152;140801;57129;4701;219927;64960;6134;51069;6175;6142;6188;60488;6161;29088;11224;6136;6160;51065;11222;54948;64968;200916;51116;6229;64432;7818;51021;28998;6141;6137;64951;6227;25873;6209;6173;9045;51073;6170;10573;6182;6132;64975;6167;65003;6159;65005;79590;10884;64969;6223;6181;6157;6187;6158;128308;55168;6176;51253;51373;6183;63875;65993;64928;6150;122704	DAP3;MRPL10;MRPL11;MRPL12;MRPL13;MRPL14;MRPL15;MRPL16;MRPL17;MRPL2;MRPL20;MRPL21;MRPL23;MRPL24;MRPL27;MRPL28;MRPL3;MRPL30;MRPL32;MRPL36;MRPL37;MRPL4;MRPL41;MRPL43;MRPL47;MRPL51;MRPL52;MRPL55;MRPL9;MRPS12;MRPS14;MRPS15;MRPS16;MRPS17;MRPS18A;MRPS2;MRPS22;MRPS24;MRPS25;MRPS30;MRPS34;MRPS35;MRPS36;MRPS5;MRPS6;NDUFA7;RPL10;RPL10A;RPL10L;RPL11;RPL12;RPL13;RPL14;RPL18;RPL18A;RPL19;RPL22L1;RPL23;RPL23A;RPL24;RPL27;RPL27A;RPL28;RPL29;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL36AL;RPL37;RPL37A;RPL38;RPL39;RPL41;RPL8;RPLP0;RPLP1;RPLP2;RPS10;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS24;RPS27L;RPS29;RPS3;RPS4X;RPS5;RPS7;RPS8;RPS9;RPSA;UBA52
GO:0070003	threonine-type peptidase activity	http://amigo.geneontology.org/amigo/term/GO:0070003	-0.5957207051111337	-2.182568320181263	0	0.0049496782709123905	21	./Project_1604390579_GSEA/GO_0070003.png	13	5685;5687;5690;5695;5683;5684;5691;5688;5698;5692;5686;5696;5699	PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB10;PSMB2;PSMB3;PSMB4;PSMB7;PSMB8;PSMB9
GO:0009055	electron transfer activity	http://amigo.geneontology.org/amigo/term/GO:0009055	-0.40551490655047295	-2.125585014899795	0	0.005568388054776439	104	./Project_1604390579_GSEA/GO_0009055.png	44	1350;2108;2109;29796;26227;1355;10587;54205;6715;1351;80142;6391;1337;4726;1345;1535;444;27089;10327;4720;7388;84883;1327;440567;1537;4729;4722;6389;22977;9249;7498;10539;1340;2877;4697;1329;1349;7384;9377;5447;51022;1728;83442;7264	AIFM2;AKR1A1;AKR7A3;ASPH;COX15;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6C;COX7B;COX7C;COX8A;CYBA;CYC1;CYCS;DHRS3;ETFA;ETFB;GLRX2;GLRX3;GPX2;NDUFA4;NDUFS2;NDUFS3;NDUFS6;NDUFV2;NQO1;PHGDH;POR;PTGES2;SDHA;SDHC;SH3BGRL3;SRD5A1;TSTA3;TXNRD2;UQCR10;UQCRC1;UQCRH;UQCRHL;UQCRQ;XDH
GO:0000049	tRNA binding	http://amigo.geneontology.org/amigo/term/GO:0000049	-0.44720967435587594	-2.0139029430338704	0	0.006682065665731727	50	./Project_1604390579_GSEA/GO_0000049.png	23	124454;83939;3028;6165;348180;26024;51067;9255;5917;2193;4234;55621;8565;55699;54888;60678;3735;833;55157;90353;146857;80324;7015	AIMP1;CARS;CTU1;CTU2;DARS2;EARS2;EEFSEC;EIF2A;FARSA;HSD17B10;IARS2;KARS;METTL1;NSUN2;PTCD1;PUS1;RARS;RPL35A;SLFN13;TERT;TRMT1;YARS;YARS2
GO:0016229	steroid dehydrogenase activity	http://amigo.geneontology.org/amigo/term/GO:0016229	-0.5057747837187293	-2.029862982650999	0.003021148027126441	0.006788130200108422	31	./Project_1604390579_GSEA/GO_0016229.png	15	51170;3028;1646;79154;441282;6715;7923;10170;3294;51478;80270;8644;50814;3291;79644	AKR1B15;AKR1C2;AKR1C3;DHRS11;DHRS9;HSD11B2;HSD17B10;HSD17B11;HSD17B2;HSD17B7;HSD17B8;HSD3B7;NSDHL;SRD5A1;SRD5A3
GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	http://amigo.geneontology.org/amigo/term/GO:0016627	-0.45002871336775935	-2.069185140057771	0	0.00772149810262333	55	./Project_1604390579_GSEA/GO_0016627.png	30	56931;11062;37;6390;3930;56898;1371;7108;1646;1355;28976;6715;5498;6916;8310;6391;35;51102;64118;1723;6389;54884;30;8644;645;9524;79644;26063;1717;1718	ACAA1;ACAD9;ACADS;ACADVL;ACOX3;AKR1C2;AKR1C3;BDH2;BLVRB;COX15;CPOX;DECR2;DHCR24;DHCR7;DHODH;DUS1L;DUS3L;DUS4L;LBR;MECR;PPOX;RETSAT;SDHA;SDHB;SDHC;SRD5A1;SRD5A3;TBXAS1;TECR;TM7SF2
GO:0030515	snoRNA binding	http://amigo.geneontology.org/amigo/term/GO:0030515	-0.5223796426613808	-2.03682643889122	0.0033333333222222224	0.007919485233459825	28	./Project_1604390579_GSEA/GO_0030515.png	13	9790;1736;11164;3669;55651;55272;55505;51602;54433;10607;4521;9136;92856	BMS1;DKC1;GAR1;IMP3;IMP4;ISG20;NHP2;NOP10;NOP58;NUDT1;NUDT5;RRP9;TBL3
GO:0016651	oxidoreductase activity, acting on NAD(P)H	http://amigo.geneontology.org/amigo/term/GO:0016651	-0.3818333955714547	-1.9561184392552315	0	0.008579442336248144	95	./Project_1604390579_GSEA/GO_0016651.png	44	4702;4700;4835;4704;51079;53905;4695;4696;27035;51181;4718;4717;374291;9131;1646;1355;10587;4715;4701;4713;4694;4726;1535;4723;4725;4706;5230;4728;4710;4720;873;4705;4709;9540;4729;4722;4716;51700;84817;8644;4697;5447;27158;1728	AIFM1;AKR1C2;AKR1C3;CBR1;COX15;CYB5R2;CYBA;DCXR;DUOX1;NDOR1;NDUFA1;NDUFA10;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFB10;NDUFB3;NDUFB4;NDUFB7;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NOX1;NQO1;NQO2;PGK1;POR;TP53I3;TXNDC17;TXNRD2
GO:0016675	oxidoreductase activity, acting on a heme group of donors	http://amigo.geneontology.org/amigo/term/GO:0016675	-0.49756789177775756	-1.9147162445282802	0.0032362459442192688	0.01113677610955288	25	./Project_1604390579_GSEA/GO_0016675.png	13	6834;1350;1355;1351;1337;1345;1327;1340;4697;1329;1349;9377;5447	COX15;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6C;COX7B;COX7C;COX8A;NDUFA4;POR;SURF1
