geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
Kinase_RPS6KA4	ribosomal protein S6 kinase A4	https://www.ncbi.nlm.nih.gov/gene/?term=RPS6KA4	-0.6426954001400719	-2.309931412812	0	0	19	./Project_1614286862_GSEA/Kinase_RPS6KA4.png	16	3013;468;8353;8352;8354;653604;8968;8356;126961;8358;8357;8355;3150;3020;8986;5970	ATF4;H3F3A;HIST1H2AD;HIST1H3B;HIST1H3C;HIST1H3E;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;HIST1H3J;HIST2H3C;HIST2H3D;HMGN1;RELA;RPS6KA4
Kinase_AURKB	aurora kinase B	https://www.ncbi.nlm.nih.gov/gene/?term=AURKB	-0.4939677353773472	-2.401941674613607	0	0	87	./Project_1614286862_GSEA/Kinase_AURKB.png	47	6204;8353;7157;11186;8352;8354;653604;8968;1730;3619;3018;5935;29101;8356;79980;29127;54888;79801;126961;10726;8358;8357;10403;8355;6132;9493;4008;56288;51203;157313;3020;79016;332;24137;103910;1058;63898;11004;4288;92421;113130;55143;5339;9212;54961;3856;5347	AURKB;BIRC5;CDCA2;CDCA5;CDCA8;CENPA;CHMP4C;DDA1;DIAPH2;DSN1;H3F3A;HIST1H2BB;HIST1H3B;HIST1H3C;HIST1H3E;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;HIST1H3J;HIST2H3C;HIST2H3D;INCENP;KIF23;KIF2C;KIF4A;KRT8;LMO7;MKI67;MYL12B;NDC80;NSUN2;NUDC;NUSAP1;PARD3;PLEC;PLK1;RACGAP1;RASSF1;RBM3;RPL8;RPS10;SH2D4A;SHCBP1;SSH3;SSU72;TP53
Kinase_CHEK2	checkpoint kinase 2	https://www.ncbi.nlm.nih.gov/gene/?term=CHEK2	-0.5292502495856709	-2.163306158937	0	0.0031191335740072207	27	./Project_1614286862_GSEA/Kinase_CHEK2.png	13	993;984;5371;6478;3006;994;26574;10155;7272;11200;2305;1869;995	AATF;CDC25A;CDC25B;CDC25C;CDK11B;CHEK2;E2F1;FOXM1;HIST1H1C;PML;SIAH2;TRIM28;TTK
Kinase_PRKCI	protein kinase C iota	https://www.ncbi.nlm.nih.gov/gene/?term=PRKCI	-0.608547543338939	-2.2183071917831985	0	0.0031191335740072207	21	./Project_1614286862_GSEA/Kinase_PRKCI.png	11	56288;1894;572;84823;7430;1022;6199;2017;4000;2011;1999	BAD;CDK7;CTTN;ECT2;ELF3;EZR;LMNA;LMNB2;MARK2;PARD3;RPS6KB2
Kinase_CHUK	conserved helix-loop-helix ubiquitous kinase	https://www.ncbi.nlm.nih.gov/gene/?term=CHUK	-0.5230618898634982	-1.9500401349141583	0	0.037429602888086645	27	./Project_1614286862_GSEA/Kinase_CHUK.png	9	595;3665;4793;4794;5971;5970;4791;27113;9618	BBC3;CCND1;IRF7;NFKB2;NFKBIB;NFKBIE;RELA;RELB;TRAF4
Kinase_WEE1	WEE1 G2 checkpoint kinase	https://www.ncbi.nlm.nih.gov/gene/?term=WEE1	-0.8649002324237017	-1.883687880309774	0	0.05614440433212997	5	./Project_1614286862_GSEA/Kinase_WEE1.png	4	1017;891;9133;983	CCNB1;CCNB2;CDK1;CDK2
Kinase_PLK1	polo like kinase 1	https://www.ncbi.nlm.nih.gov/gene/?term=PLK1	-0.3853716719180892	-1.8604196716094092	0	0.05881794739556473	90	./Project_1614286862_GSEA/Kinase_PLK1.png	32	8607;29127;993;598;10726;5605;286151;701;6491;994;990;7153;11078;11200;6717;9055;55200;7161;51512;8379;3297;8772;332;2305;891;5888;9700;11004;54821;55165;9088;995	BCL2L1;BIRC5;BUB1B;CCNB1;CDC25A;CDC25B;CDC25C;CDC6;CEP55;CHEK2;ERCC6L;ESPL1;FADD;FBXO43;FOXM1;GTSE1;HSF1;KIF2C;MAD1L1;MAP2K2;NUDC;PKMYT1;PLEKHG6;PRC1;RACGAP1;RAD51;RUVBL1;SRI;STIL;TOP2A;TP73;TRIOBP
Kinase_PRKD2	protein kinase D2	https://www.ncbi.nlm.nih.gov/gene/?term=PRKD2	-0.61067400910412994	-1.7875223533649298	0.010416666612413195	0.09253429602888087	11	./Project_1614286862_GSEA/Kinase_PRKD2.png	6	9610;25865;2011;3691;7408;10519	CIB1;ITGB4;MARK2;PRKD2;RIN1;VASP
Kinase_CDK1	cyclin dependent kinase 1	https://www.ncbi.nlm.nih.gov/gene/?term=CDK1	-0.3087440227303216	-1.7931075351329095	0	0.09669314079422384	258	./Project_1614286862_GSEA/Kinase_CDK1.png	75	6188;4001;51529;54820;9185;993;3621;1460;8878;5052;10801;286151;701;5371;8833;5905;1729;1936;841;5984;994;11054;28985;3157;7153;1978;699;1894;3939;572;55872;4176;9055;51203;1785;29920;84823;51514;7161;29128;9787;64151;5883;10615;332;2305;3835;891;6241;9700;1022;4831;7329;2017;1058;11004;1869;4288;29924;54821;113130;3832;5595;4000;22974;55165;1104;991;2146;7083;3159;5499;995;3856;79180	ANAPC11;BAD;BIRC5;BUB1;BUB1B;CASP8;CCNB1;CDC20;CDC25A;CDC25B;CDC25C;CDCA5;CDK7;CENPA;CEP55;CSNK2B;CTTN;DIAPH1;DLGAP5;DNM2;DTL;E2F1;ECT2;EEF1D;EFHD2;EIF4EBP1;EPN1;ERCC6L;ESPL1;EZH2;FBXO43;FOXM1;GMPS;HMGA1;HMGCS1;ING1;KIF11;KIF22;KIF2C;KRT8;LDHA;LMNA;LMNB1;LMNB2;MAPK3;MCM7;MCTS1;MKI67;NCAPG;NDE1;NME2;NUSAP1;OGFR;PBK;PML;PPP1CA;PRC1;PRDX1;PYCR2;RAD9A;RANGAP1;RCC1;REPS2;RFC4;RPS3;RRM2;SEPT9;SPAG5;SQSTM1;TK1;TOP2A;TP73;TPX2;UBE2I;UHRF1
Kinase_RPS6KA6	ribosomal protein S6 kinase A6	https://www.ncbi.nlm.nih.gov/gene/?term=RPS6KA6	-0.7068234977954494	-1.7696031748343655	0.004854368908473937	0.09794079422382672	7	./Project_1614286862_GSEA/Kinase_RPS6KA6.png	6	3845;468;7249;3265;699;9088	ATF4;BUB1;HRAS;KRAS;PKMYT1;TSC2
