geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
P00024	Glycolysis	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00024	-0.6579162072696773	-2.1710551933546354	0	0.0015781111715342864	16	./Project_1604390589_GSEA/P00024.png	10	2821;5230;2023;7167;5211;2597;80201;3098;3099;226	ALDOA;ENO1;GAPDH;GPI;HK1;HK2;HKDC1;PFKL;PGK1;TPI1
P02744	Fructose galactose metabolism	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02744	-0.7688509294092354	-2.2367494446548926	0	0.00236716675730143	11	./Project_1604390589_GSEA/P02744.png	6	80201;2584;3098;3099;226;2582	ALDOA;GALE;GALK1;HK1;HK2;HKDC1
P02762	Pentose phosphate pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02762	-0.8600827182433489	-2.2375789122915535	0	0.00473433351460286	8	./Project_1604390589_GSEA/P02762.png	7	2821;22934;7086;80201;6888;3098;3099	GPI;HK1;HK2;HKDC1;RPIA;TALDO1;TKT
P04373	5HT1 type receptor mediated signaling pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04373	0.5416444195978055	1.9866728065194474	0	0.005104152296868533	44	./Project_1604390589_GSEA/P04373.png	19	54331;2775;5577;108;5566;6532;6571;2791;6844;2788;2786;5567;2770;3777;10681;59345;3355;113;6616	ADCY2;ADCY7;GNAI1;GNAO1;GNB4;GNB5;GNG11;GNG2;GNG4;GNG7;HTR1F;KCNK3;PRKACA;PRKACB;PRKAR2B;SLC18A2;SLC6A4;SNAP25;VAMP2
P05731	GABA-B receptor II signaling	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P05731	0.5618142314913092	2.0038847849640304	0	0.006496193832378133	35	./Project_1604390589_GSEA/P05731.png	22	2775;107;5577;108;5566;5573;774;2791;773;2788;2786;5567;2770;8913;59345;3760;113;111;115;5576;2793;2784	ADCY1;ADCY2;ADCY5;ADCY7;ADCY9;CACNA1A;CACNA1B;CACNA1G;GNAI1;GNAO1;GNB3;GNB4;GNG11;GNG4;GNG7;GNGT2;KCNJ3;PRKACA;PRKACB;PRKAR1A;PRKAR2A;PRKAR2B
P00014	Cholesterol biosynthesis	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00014	-0.6428826912492709	-1.9535076110520804	0.006269592456835133	0.014498896388471258	12	./Project_1604390589_GSEA/P00014.png	9	3156;9453;4598;6713;2222;10654;3157;2224;4597	FDFT1;FDPS;GGPS1;HMGCR;HMGCS1;MVD;MVK;PMVK;SQLE
P05913	Enkephalin release	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P05913	0.5411838674586547	1.8803551018693268	0	0.0167044984261152	33	./Project_1604390589_GSEA/P05913.png	20	54331;2775;5577;108;5566;2774;2788;2786;5567;2770;1390;10681;59345;113;4985;5179;5576;2793;1385;2784	ADCY2;ADCY7;CREB1;CREM;GNAI1;GNAL;GNAO1;GNB3;GNB4;GNB5;GNG2;GNG4;GNG7;GNGT2;OPRD1;PENK;PRKACA;PRKACB;PRKAR2A;PRKAR2B
P00027	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00027	0.4122605927332866	1.785742717502369	0	0.019604584958426867	116	./Project_1604390589_GSEA/P00027.png	52	54331;3708;2775;51277;5999;2911;2917;6752;135;6753;5581;84253;774;1133;773;5579;2788;2786;2868;3763;8787;115727;59345;26575;2914;3760;5588;8490;64407;5583;23236;1132;10235;8786;8218;11250;140;4987;25780;4985;6754;3762;1813;2918;5997;26086;10125;2916;1816;6000;2793;1213	ADORA2A;ADORA3;CACNA1A;CACNA1B;CHRM4;CHRM5;CLTC;CLTCL1;DNAJC27;DRD2;DRD5;GARNL3;GNAO1;GNB4;GNG2;GNG4;GNG7;GNGT2;GPR45;GPSM1;GRK4;GRM1;GRM4;GRM6;GRM7;GRM8;ITPR1;KCNJ3;KCNJ5;KCNJ6;OPRD1;OPRL1;PLCB1;PRKCB;PRKCE;PRKCH;PRKCQ;RASGRP1;RASGRP2;RASGRP3;RASGRP4;RGS11;RGS17;RGS18;RGS2;RGS4;RGS5;RGS7;RGS9;SSTR2;SSTR3;SSTR4
P05734	Synaptic vesicle trafficking	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P05734	0.5606402004511704	1.7868454668282072	0.004511278188704845	0.02214008918381935	23	./Project_1604390589_GSEA/P05734.png	15	23208;2054;84258;6855;4905;6861;6853;9066;6616;5864;83849;148281;6812;22999;6857	NSF;RAB3A;RIMS1;SNAP25;STX2;STXBP1;SYN1;SYP;SYT1;SYT11;SYT15;SYT3;SYT5;SYT6;SYT7
P00012	Cadherin signaling pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00012	0.39790067376073096	1.8176901109575738	0	0.0222726645681536	152	./Project_1604390589_GSEA/P00012.png	85	2534;8322;1003;56132;56142;26167;5101;57575;56113;1008;1006;8642;7482;56131;56145;26025;51294;29930;7484;56129;56143;56112;57526;1000;56109;56100;64072;70;56130;56110;1501;1952;56108;8641;56140;56147;1002;1496;120114;7473;56134;56124;56139;11167;9752;7976;8321;5100;56146;56121;1016;56135;28513;56105;56141;54510;1004;56099;54361;56144;83259;27328;56137;11211;7471;56098;57717;1010;5098;56128;56123;83439;2066;28316;7480;64405;8325;5770;56133;92211;64881;56138;58;51384;9708	ACTA1;ACTC1;CDH10;CDH12;CDH18;CDH19;CDH2;CDH20;CDH22;CDH23;CDH4;CDH5;CDH6;CDH8;CDHR1;CELSR2;CTNNA2;CTNND2;DCHS1;ERBB4;FAT3;FSTL1;FYN;FZD1;FZD10;FZD3;FZD4;FZD8;PCDH10;PCDH11X;PCDH11Y;PCDH12;PCDH18;PCDH19;PCDH20;PCDH8;PCDH9;PCDHA1;PCDHA10;PCDHA11;PCDHA12;PCDHA2;PCDHA3;PCDHA4;PCDHA5;PCDHA6;PCDHA7;PCDHA8;PCDHA9;PCDHAC1;PCDHAC2;PCDHB1;PCDHB12;PCDHB13;PCDHB15;PCDHB16;PCDHB2;PCDHB3;PCDHB4;PCDHB5;PCDHB6;PCDHB7;PCDHB8;PCDHGA11;PCDHGA12;PCDHGA2;PCDHGA3;PCDHGA5;PCDHGA6;PCDHGA7;PCDHGA8;PCDHGB4;PCDHGB6;PCDHGB7;PCDHGC3;PCDHGC4;PTPN1;TCF7L1;WNT1;WNT10B;WNT16;WNT2B;WNT3;WNT4;WNT9B
P00039	Metabotropic glutamate receptor group III pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00039	0.4501330477626487	1.7936625270912354	0.0012499999984375001	0.024438062512279642	65	./Project_1604390589_GSEA/P00039.png	34	5577;2911;2917;5566;5573;2892;774;2901;2891;773;6844;2788;2786;5567;2770;10681;2900;59345;2914;2893;2898;116443;6616;2890;57030;2903;2918;5576;2916;2899;2793;2784;6507;6506	CACNA1A;CACNA1B;GNAI1;GNB3;GNB4;GNB5;GNG4;GNG7;GNGT2;GRIA1;GRIA2;GRIA3;GRIA4;GRIK2;GRIK3;GRIK4;GRIK5;GRIN2A;GRIN3A;GRM1;GRM4;GRM6;GRM7;GRM8;PRKACA;PRKACB;PRKAR1A;PRKAR2A;PRKAR2B;SLC17A7;SLC1A2;SLC1A3;SNAP25;VAMP2
P00037	Ionotropic glutamate receptor pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00037	0.46353182350327354	1.748373281162994	0.001335113482863667	0.024438062512279646	45	./Project_1604390589_GSEA/P00037.png	25	2892;85358;50944;774;2901;2891;773;6844;816;2900;4905;2893;2898;116443;6616;2890;27091;10369;2903;815;2899;8676;6507;6506;57084	CACNA1A;CACNA1B;CACNG2;CACNG5;CAMK2A;CAMK2B;GRIA1;GRIA2;GRIA3;GRIA4;GRIK2;GRIK3;GRIK4;GRIK5;GRIN2A;GRIN3A;NSF;SHANK1;SHANK3;SLC17A6;SLC1A2;SLC1A3;SNAP25;STX11;VAMP2
P00026	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00026	0.3855467583581204	1.7366635563584	0.0011299435015480865	0.0250567476391728	149	./Project_1604390589_GSEA/P00026.png	62	54331;107;5577;5999;108;2911;2917;6752;5566;135;6753;5573;3274;2774;1133;109;2788;2786;2868;5567;64764;2770;1390;3763;8787;26575;2914;3760;3355;3356;4544;5837;8490;64407;113;1132;154;8786;8218;140;4987;4985;155;2033;111;409;6754;3762;1813;115;2918;5997;26086;5576;2916;1816;6000;2793;1385;1213;3360;11255	ADCY1;ADCY2;ADCY3;ADCY5;ADCY7;ADCY9;ADORA2A;ADORA3;ADRB2;ADRB3;ARRB2;CHRM4;CHRM5;CLTC;CLTCL1;CREB1;CREB3L2;CREM;DRD2;DRD5;EP300;GNAI1;GNAL;GNG2;GNG4;GNG7;GNGT2;GPSM1;GRK4;GRM1;GRM4;GRM6;GRM7;GRM8;HRH2;HRH3;HTR1F;HTR2A;HTR4;KCNJ3;KCNJ5;KCNJ6;MTNR1B;OPRD1;OPRL1;PRKACA;PRKACB;PRKAR1A;PRKAR2A;PRKAR2B;PYGM;RGS11;RGS17;RGS18;RGS2;RGS4;RGS5;RGS7;RGS9;SSTR2;SSTR3;SSTR4
P04386	Histamine H2 receptor mediated signaling pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04386	0.5659612330776913	1.8240978444705875	0.002898550720436883	0.025984775329512533	24	./Project_1604390589_GSEA/P04386.png	12	54331;5577;108;5566;3274;2774;2788;2786;5567;10681;59345;113	ADCY2;ADCY7;GNAL;GNB4;GNB5;GNG2;GNG4;GNG7;HRH2;PRKACA;PRKACB;PRKAR2B
P02775	Salvage pyrimidine ribonucleotides	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02775	-0.5618561647805249	-1.6908454272989077	0.017543859597824972	0.035234366733678975	12	./Project_1604390589_GSEA/P02775.png	8	134637;978;54963;4832;7378;654364;4831;7371	ADAT2;CDA;NME1-NME2;NME2;NME3;UCK2;UCKL1;UPP1
P02738	De novo purine biosynthesis	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02738	-0.47174806335643815	-1.8155576536634286	0.006644518250350438	0.03598093471098173	26	./Project_1604390589_GSEA/P02738.png	13	2618;4830;4832;204;10201;654364;159;8833;3615;6241;4831;2987;471	ADSS;AK2;ATIC;GART;GMPS;GUK1;IMPDH2;NME1;NME1-NME2;NME2;NME3;NME6;RRM2
P02723	Adenine and hypoxanthine salvage pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02723	-0.7486929205541996	-1.7716023156531502	0.019047619002267573	0.03669108473817216	6	./Project_1604390589_GSEA/P02723.png	4	3251;7498;4860;353	APRT;HPRT1;PNP;XDH
P00059	p53 pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00059	-0.3357576878299192	-1.6952614097684595	0	0.036888348634613946	75	./Project_1604390589_GSEA/P00059.png	24	207;1017;5291;7341;84883;898;9219;5371;581;8797;5287;11200;7161;51512;64065;8795;891;6241;3065;5268;7186;983;2810;995	AIFM2;AKT1;BAX;CCNB1;CCNE1;CDC25C;CDK1;CDK2;CHEK2;GTSE1;HDAC1;MTA2;PERP;PIK3C2B;PIK3CB;PML;RRM2;SERPINB5;SFN;SUMO1;TNFRSF10A;TNFRSF10B;TP73;TRAF2
P00013	Cell cycle	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00013	-0.49847520200914386	-1.7033483499963173	0.028169014005157707	0.03765947113888638	16	./Project_1604390589_GSEA/P00013.png	7	5709;51550;898;5713;6119;5719;5710	CCNE1;CINP;PSMD13;PSMD3;PSMD4;PSMD7;RPA3
P00020	FAS signaling pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00020	-0.43192745281775335	-1.7070734680850312	0.01718213052514732	0.04000511819839417	31	./Project_1604390589_GSEA/P00020.png	12	4001;143;840;841;10039;1537;84823;843;8772;4000;822;839	CAPG;CASP10;CASP6;CASP7;CASP8;CYC1;FADD;LMNA;LMNB1;LMNB2;PARP3;PARP4
P02752	Mannose metabolism	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02752	-0.7678869125747856	-1.7810559345516401	0.007792207771968291	0.040636362667007875	6	./Project_1604390589_GSEA/P02752.png	4	29925;29926;2762;5373	GMDS;GMPPA;GMPPB;PMM2
P05730	Endogenous cannabinoid signaling	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P05730	0.5276894491527022	1.6836467197313136	0.0014947683086774764	0.04074885222128102	23	./Project_1604390589_GSEA/P05730.png	12	2775;2911;774;2791;773;2788;2786;2770;8913;1268;59345;23236	CACNA1A;CACNA1B;CACNA1G;CNR1;GNAI1;GNAO1;GNB4;GNG11;GNG4;GNG7;GRM1;PLCB1
P00040	Metabotropic glutamate receptor group II pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00040	0.45210578580998434	1.6562896255712674	0.005326231683986376	0.04222525991045786	43	./Project_1604390589_GSEA/P00040.png	14	2775;5577;5566;5573;774;2791;773;6844;2788;2786;5567;2770;10681;59345	CACNA1A;CACNA1B;GNAI1;GNAO1;GNB4;GNB5;GNG11;GNG4;GNG7;PRKACA;PRKACB;PRKAR1A;PRKAR2B;VAMP2
P02740	De novo pyrimidine ribonucleotides biosythesis	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02740	-0.5933644494170275	-1.726153427609613	0.016901408403094623	0.04379258501007645	10	./Project_1604390589_GSEA/P02740.png	6	4830;4832;654364;56474;1723;4831	CTPS2;DHODH;NME1;NME1-NME2;NME2;NME3
P02728	Arginine biosynthesis	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02728	-0.7126293302718387	-1.7098583867296209	0.02010050246205904	0.043924094274370974	6	./Project_1604390589_GSEA/P02728.png	3	162417;445;435	ASL;ASS1;NAGS
P00019	Endothelin signaling pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00019	0.4043961223982771	1.658968905885396	0.0037267080699047105	0.04461671588171795	75	./Project_1604390589_GSEA/P00019.png	28	3708;107;10000;5577;108;5566;5581;5573;1910;2774;109;8503;5579;2778;5295;5567;5289;5588;9427;5594;2977;5583;113;23236;23533;5293;5294;5122	ADCY1;ADCY2;ADCY3;ADCY7;AKT3;ECEL1;EDNRB;GNAL;GNAS;GUCY1A2;ITPR1;MAPK1;PCSK1;PIK3C3;PIK3CD;PIK3CG;PIK3R1;PIK3R3;PIK3R5;PLCB1;PRKACA;PRKACB;PRKAR1A;PRKAR2B;PRKCB;PRKCE;PRKCH;PRKCQ
