geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
GO:0098552	side of membrane	http://amigo.geneontology.org/amigo/term/GO:0098552	0.49048169638594663	2.2204852859744677	0	0	459	./Project_1612860835_GSEA/GO_0098552.png	210	2690;948;1901;57493;6387;5311;3953;5788;1233;940;2674;2675;10979;10666;7049;3977;2350;64805;5027;947;3554;120892;729230;5239;57477;3575;131450;7057;1234;921;6403;30835;920;5156;54331;2774;2534;917;1236;969;7099;925;5175;1230;3815;7048;959;10663;5728;10859;55068;2206;2829;916;2022;338328;9332;7881;3560;2791;29851;3113;3572;5270;7074;1235;6708;51311;914;942;8514;9308;3595;2028;1540;2669;3115;6402;64926;2268;23466;7852;161198;945;3570;3672;923;939;3055;1269;10148;356;3824;80380;19;2219;460;785;3568;974;3122;643;112574;343413;2793;9173;5621;1237;1837;915;10495;931;2044;22871;1438;51744;30820;2775;9630;3563;1524;2213;3579;2208;640;5778;9265;1271;55576;1441;3119;2760;5064;3117;5133;973;3092;10384;85358;7070;490;1493;4162;930;2676;929;3689;2785;2207;5169;4684;5996;3590;6517;2788;3604;284297;387837;2159;2811;11119;5023;2035;3594;3762;3559;3684;57124;3127;4897;84966;4145;5997;5770;2741;4283;246;8029;153579;115650;2214;361;29126;3596;6338;3118;1232;2770;10385;23344;1147;3123;214;6710;1141;7018;3133;2768;6616;26191;972;3593;11118;1742;3685;10672;84168;2891;80274;941	ABCA1;ALCAM;ALOX15;ANTXR1;AQP4;ASTN1;ATP2B1;BLK;BTN2A2;BTN3A1;BTN3A2;BTN3A3;BTNL9;CACNB4;CBX6;CCR1;CCR2;CCR3;CCR4;CCR5;CCR6;CCR7;CCR8;CD14;CD163;CD19;CD2;CD200R1;CD209;CD226;CD244;CD248;CD27;CD274;CD28;CD33;CD34;CD36;CD3D;CD3E;CD3G;CD4;CD40LG;CD5;CD6;CD69;CD74;CD79A;CD79B;CD80;CD83;CD86;CD8A;CHRNB2;CHUK;CLEC12B;CLEC14A;CNR2;CNTFR;CSF2RA;CSF3R;CTLA4;CUBN;CX3CR1;CXCL12;CXCL9;CXCR2;CXCR4;CXCR5;CXCR6;CYLD;CYTH3;DLG4;DTNA;EBI3;ENG;ENOX1;ENOX2;ENPEP;ENPP3;EPB41;EPHA5;ESYT1;F10;FASLG;FCER1G;FCER2;FCGR2B;FCGR3A;FCN1;FCRL6;FERMT2;FGR;FOLR2;FYN;GEM;GFRA1;GFRA2;GFRA3;GHR;GLRA1;GM2A;GNA12;GNA13;GNA14;GNAI1;GNAL;GNAO1;GNG11;GNG2;GNG3;GNG7;GNGT2;GP1BA;GPIHBP1;GRIA2;HCK;HEG1;HIP1;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-E;ICOS;IGSF21;IL11RA;IL12B;IL12RB1;IL12RB2;IL13;IL1R1;IL1RL1;IL2RA;IL2RB;IL3RA;IL5RA;IL6R;IL6ST;IL7R;ITGA1;ITGAM;ITGAV;ITGB2;KCNAB1;KCNAB2;KCNIP1;KCNJ5;KIT;KLRD1;LEPR;LIFR;LILRB1;LRRK2;MATK;MCAM;MS4A1;MS4A2;NCAM1;NLGN1;NRCAM;P2RX1;P2RX7;P2RY12;PALM;PDCD1;PDCD1LG2;PDGFRA;PECAM1;PGM5;PKD2;PRNP;PTEN;PTPN1;PTPN22;PTPN7;PTPRC;RASAL3;RGS1;RGS2;S1PR1;SCNN1B;SCUBE1;SELL;SELP;SERPINE2;SHANK3;SHROOM4;SLC2A4;SNAP25;SNX18;SPTA1;SPTB;SSC5D;STAB2;TF;TGFBR2;TGFBR3;THBS1;THY1;TIAM1;TLR4;TLR8;TNFRSF13C;TNFRSF9;XCR1
GO:0043235	receptor complex	http://amigo.geneontology.org/amigo/term/GO:0043235	0.4750192504241165	2.140192565244083	0	0	390	./Project_1612860835_GSEA/GO_0043235.png	189	2690;7010;1740;948;10203;3676;3953;3680;2674;2675;7049;3977;51284;2260;131450;9429;2042;10461;1436;4915;3791;920;5156;94;4881;8829;917;3709;91584;1439;4593;3683;7099;50852;925;3815;4921;7048;2917;54518;154;916;2022;10580;4916;2322;919;2899;7133;5787;8516;7253;3572;7075;3595;10154;4035;4919;23643;3570;3672;8737;923;388336;10148;3824;3569;8807;3679;3568;974;7220;5159;915;2044;22871;7535;1438;10266;26050;2890;57125;3563;130399;5979;10268;8973;2324;2565;1271;1441;134957;83416;7096;973;117;51555;85358;659;155;2066;386617;9358;57528;799;2321;2676;2892;2566;4914;929;926;2893;22908;3689;10333;4920;3681;3590;9865;116443;5745;1380;139760;81491;3594;3684;683;3821;92;8029;7436;126129;118427;658;2895;375567;2562;50939;27091;1147;4306;1136;4853;5786;285220;10077;2554;214;3687;23129;1141;7018;53353;3690;2901;50944;972;7097;3593;1742;3685;238;3645;2891;2557;53831;2900;1379;2911;729956;2047;1135;3077;9466;2897;57406;11117;1145;3682;22953;3695;9244;558;7046;2560;2555;2570;4973	ABCG2;ABHD6;ACVR1C;ACVR2A;ACVRL1;ADCYAP1R1;ADRB2;ADRB3;ALCAM;ALK;APBB1IP;AXL;BMPR1B;BMPR2;BST1;CACNG5;CALCR;CALCRL;CD14;CD200R1;CD247;CD36;CD3D;CD3E;CD3G;CD4;CD6;CD74;CD79A;CD79B;CD8A;CD8B;CHRNA2;CHRNA3;CHRNA6;CHRNB2;CHRNE;CHUK;CNTFR;CPT1C;CR1L;CR2;CRLF1;CSF1R;CSF2RA;CSF2RB;CSF3R;CUBN;DDR2;DLG2;DLG4;EBI3;EMILIN1;ENG;EPHA3;EPHA5;EPHA6;EPHB1;ERBB4;FCRL5;FGFR1;FLT1;FLT3;FLT4;GABRA1;GABRA2;GABRA4;GABRB1;GABRB3;GABRG1;GABRG2;GABRR2;GFRA1;GFRA2;GFRA3;GHR;GPR119;GPR63;GPR84;GRIA1;GRIA2;GRIA3;GRIA4;GRID2;GRIK1;GRIK3;GRIK4;GRIK5;GRIN3A;GRM1;GRM7;HFE;IL11RA;IL12B;IL12RB1;IL12RB2;IL18RAP;IL27RA;IL3RA;IL5RA;IL6;IL6R;IL6ST;IMPG2;INSRR;ITGA1;ITGA4;ITGA7;ITGA8;ITGA9;ITGAD;ITGAE;ITGAL;ITGAM;ITGAV;ITGAX;ITGB2;ITGB3;ITGB7;ITGBL1;ITPR2;KCTD16;KCTD8;KDR;KIT;KLRC1;KLRD1;LEPR;LIFR;LRP1;LRP1B;LY96;MERTK;MUSK;NLGN1;NOTCH2;NPR1;NR3C2;NRP1;NTRK1;NTRK2;NTRK3;OLFM3;OLR1;P2RX2;PDGFRA;PDGFRB;PEX5L;PLXDC1;PLXNA4;PLXNC1;PLXND1;PTH1R;PTPRA;PTPRB;RAMP2;RAMP3;RET;RIPK1;ROR1;ROR2;SACM1L;SHANK1;SHANK3;SHISA6;SHISA7;SLITRK5;SORBS1;STXBP5;TEK;TF;TGFBR1;TGFBR2;TGFBR3;TIE1;TLR1;TLR2;TLR4;TLR6;TLR7;TNFRSF1B;TRAT1;TRIL;TRPC1;TSHR;TSPAN32;VLDLR;VWC2;ZAP70
GO:0005581	collagen trimer	http://amigo.geneontology.org/amigo/term/GO:0005581	0.5253313752071088	2.106350164827079	0	0	84	./Project_1612860835_GSEA/GO_0005581.png	61	7373;1634;9370;81578;1306;114905;114898;81035;2220;338872;1310;84570;2219;4060;1286;51435;4481;713;714;84034;712;1295;4015;1285;1293;1282;342035;1288;1896;147372;131873;1281;78989;8547;1284;91522;114897;1287;1290;1278;11117;389941;653509;1307;114899;387911;1296;1292;1277;1289;129080;255631;1291;1305;10882;1300;8292;1303;4153;115908;55339	ADIPOQ;C1QA;C1QB;C1QC;C1QL1;C1QL3;C1QTNF1;C1QTNF2;C1QTNF3;C1QTNF7;C1QTNF9;C1QTNF9B;CCBE1;COL10A1;COL12A1;COL13A1;COL14A1;COL15A1;COL16A1;COL19A1;COL1A1;COL1A2;COL21A1;COL23A1;COL24A1;COL25A1;COL3A1;COL4A1;COL4A2;COL4A3;COL4A4;COL4A5;COL4A6;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;COL6A6;COL8A1;COL8A2;COLEC11;COLEC12;COLQ;CTHRC1;DCN;EDA;EMID1;EMILIN1;EMILIN2;FCN1;FCN2;FCN3;GLDN;LOX;LUM;MBL2;MSR1;SCARA3;SFTPA1;WDR33
GO:0000793	condensed chromosome	http://amigo.geneontology.org/amigo/term/GO:0000793	-0.38575202475780485	-2.216301496742727	0	0	190	./Project_1612860835_GSEA/GO_0000793.png	74	10051;10403;55839;286053;1062;84516;57405;3619;10270;7153;54892;26039;197370;7756;23481;92822;387103;23397;57820;79023;100130958;699;79172;9735;4288;54821;64946;2177;10428;8940;80152;64105;29781;1063;64151;9184;222229;11335;220134;79902;6790;1663;9212;701;5888;7329;4751;11004;8379;332;55355;1111;1058;113130;79019;4085;83540;221150;147841;891;9555;201161;8815;6002;5347;11130;5883;81620;7283;3297;5905;10615;5119;3014	AKAP8;AURKA;AURKB;BANF1;BIRC5;BUB1;BUB1B;BUB3;CBX3;CCNB1;CCNB1IP1;CDCA5;CDT1;CENPA;CENPE;CENPF;CENPH;CENPK;CENPM;CENPN;CENPO;CENPT;CENPV;CENPW;CFDP1;CHEK1;CHMP1A;DCTN5;DDX11;ERCC6L;FANCD2;H2AFX;H2AFY;HJURP;HSF1;INCENP;KIF2C;KNTC1;LRWD1;MAD1L1;MAD2L1;MKI67;NCAPG;NCAPG2;NCAPH;NCAPH2;NDC80;NEK2;NSMCE1;NSMCE2;NUF2;NUP37;NUP85;PES1;PLK1;RAD51;RAD9A;RANGAP1;RGS12;SKA1;SKA3;SMC4;SPAG5;SPC24;SPC25;SS18L1;SYCE1L;TOP2A;TOP3B;TUBG1;UBE2I;ZNF207;ZNF276;ZWINT
GO:0005732	small nucleolar ribonucleoprotein complex	http://amigo.geneontology.org/amigo/term/GO:0005732	-0.6375959422865096	-2.2355584987681314	0	0	20	./Project_1612860835_GSEA/GO_0005732.png	12	10775;2091;1736;51367;54913;51602;54433;6636;9136;55505;55651;10248	DKC1;FBL;GAR1;NHP2;NOP10;NOP58;POP4;POP5;POP7;RPP25;RRP9;SNRPF
GO:0044815	DNA packaging complex	http://amigo.geneontology.org/amigo/term/GO:0044815	-0.5020594960772132	-2.326418050126108	0	0	65	./Project_1612860835_GSEA/GO_0044815.png	41	55506;7141;8290;3013;9918;3010;85236;3012;8341;3007;474382;317772;10051;440093;8342;54892;8331;128312;8334;23397;3020;3008;440689;29781;8970;64151;8349;126961;8348;3017;3006;3009;1058;92815;8971;9555;55766;8338;3015;3005;3014	CENPA;H1F0;H1FX;H2AFB1;H2AFJ;H2AFX;H2AFY;H2AFY2;H2AFZ;H3F3A;H3F3C;HIST1H1B;HIST1H1C;HIST1H1D;HIST1H1E;HIST1H1T;HIST1H2AC;HIST1H2AD;HIST1H2AE;HIST1H2AJ;HIST1H2BD;HIST1H2BJ;HIST1H2BK;HIST1H2BM;HIST1H2BN;HIST1H2BO;HIST2H2AB;HIST2H2AC;HIST2H2BE;HIST2H2BF;HIST2H3C;HIST3H2A;HIST3H2BB;HIST3H3;NCAPD2;NCAPG;NCAPG2;NCAPH;NCAPH2;SMC4;TNP1
GO:0005759	mitochondrial matrix	http://amigo.geneontology.org/amigo/term/GO:0005759	-0.3958138752254298	-2.4449139592584963	0	0	412	./Project_1612860835_GSEA/GO_0005759.png	169	5160;6647;51650;25828;4705;3420;56945;35;197322;51218;63931;64976;7818;2617;23590;3712;2647;131118;79586;2271;2108;37;80324;65080;124995;7923;80273;3028;7417;51022;51258;122961;64963;2876;29920;5303;23410;5859;1763;4714;189;25961;4720;9361;10295;11222;64981;26589;10587;63970;54936;9093;64983;79922;64968;29088;162417;51116;55052;27068;26024;55168;26995;84266;740;373156;3329;116447;2653;84971;10469;2806;81889;51102;92170;644096;7263;9997;64949;51081;6742;622;64979;5428;84545;10588;54938;285367;4704;51253;60488;4521;374291;116540;51264;5888;3735;57129;51069;1892;983;51657;28998;79590;51067;54948;7298;29093;27349;64960;65003;51373;5442;65005;10884;79587;26073;23438;4191;55210;728294;3421;51642;8192;26284;2109;51021;2232;51073;2356;92399;4706;90480;4701;128308;51205;891;64951;10922;64975;23474;4722;80308;54460;7416;64928;64978;219927;3336;6150;4357;598;118487;6183;63875;10573;4728;25824;1841;4350;64969;6182;122704;1716;10131;65993;7284;9238;80347	ACADS;ACADVL;ACP6;ACSF3;ADPRHL2;AGXT;ALKBH7;ATAD3A;ATG4D;BCKDK;BCL2L1;BDH1;BLOC1S1;CARS2;CCNB1;CDK1;CHCHD1;CHPF;CLPP;COASY;D2HGDH;DAP3;DGUOK;DNA2;DNAJA3;DNAJC19;DTYMK;ECHS1;ERAL1;ETFA;ETFB;ETHE1;FAHD1;FASTK;FDXR;FH;FLAD1;FPGS;GADD45GIP1;GARS;GCSH;GLRX2;GLRX5;GOT2;GPX1;GRPEL1;GSTK1;HARS2;HSD17B10;HSD17B8;HSPD1;HSPE1;IDH3B;IDH3G;ISCA2;IVD;KARS;LONP1;MCAT;MDH2;MECR;MPG;MPST;MRM1;MRPL10;MRPL11;MRPL12;MRPL13;MRPL14;MRPL15;MRPL16;MRPL17;MRPL2;MRPL20;MRPL21;MRPL22;MRPL23;MRPL24;MRPL27;MRPL28;MRPL3;MRPL32;MRPL34;MRPL36;MRPL37;MRPL38;MRPL4;MRPL40;MRPL41;MRPL43;MRPL44;MRPL46;MRPL47;MRPL48;MRPL49;MRPL51;MRPL52;MRPL53;MRPL55;MRPL9;MRPS11;MRPS12;MRPS14;MRPS15;MRPS16;MRPS17;MRPS18A;MRPS2;MRPS21;MRPS22;MRPS24;MRPS26;MRPS30;MRPS33;MRPS34;MRPS35;MRPS5;MRPS6;MRPS7;MRRF;MTG1;MTHFS;NAGS;NDUFA10;NDUFA7;NDUFA9;NDUFAB1;NDUFB8;NDUFS2;NDUFS3;NDUFS7;NDUFS8;NUDT1;NUDT13;PDHA1;PDSS1;PIN4;POLDIP2;POLG;POLRMT;PPA2;PRDX5;PTCD1;PUS1;PYCR2;QARS;RAD51;RPUSD3;SARS2;SCO2;SDHAF1;SIRT3;SOD1;SSBP1;STYXL1;TBRG4;TIMM44;TOP1MT;TP53AIP1;TRAP1;TRUB2;TST;TUFM;TXN2;TXNRD2;TYMS;VDAC1;VDAC2;YARS2
GO:1990204	oxidoreductase complex	http://amigo.geneontology.org/amigo/term/GO:1990204	-0.4935293599835354	-2.5395359172682825	0	0	93	./Project_1612860835_GSEA/GO_1990204.png	39	55967;4714;4720;10295;4696;440567;1535;6389;2653;4715;124056;29796;27089;4709;55572;4704;126328;374291;4695;4725;4718;4716;4723;7388;2648;54539;4729;4717;4713;4726;4706;4701;4710;617;1537;4722;7384;10811;4728	BCKDK;BCS1L;CYBA;CYC1;FOXRED1;GCSH;KAT2A;NDUFA11;NDUFA12;NDUFA2;NDUFA3;NDUFA7;NDUFA9;NDUFAB1;NDUFB10;NDUFB11;NDUFB3;NDUFB4;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;NOXA1;NOXO1;SDHA;UQCR10;UQCRC1;UQCRH;UQCRHL;UQCRQ
GO:0070069	cytochrome complex	http://amigo.geneontology.org/amigo/term/GO:0070069	-0.6409212985941738	-2.548636188198288	0	0	29	./Project_1612860835_GSEA/GO_0070069.png	15	84419;440567;29796;27089;1327;7388;1349;9377;617;1340;1537;1337;7384;1351;1329	BCS1L;C15orf48;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX7B;COX8A;CYC1;UQCR10;UQCRC1;UQCRH;UQCRHL;UQCRQ
GO:0120114	Sm-like protein family complex	http://amigo.geneontology.org/amigo/term/GO:0120114	-0.536243372516272	-2.6195920228044516	0	0	68	./Project_1612860835_GSEA/GO_0120114.png	29	55692;84844;10992;25766;10713;9129;6631;10421;79833;23658;1207;24148;6635;10465;6636;9092;6633;6625;6634;6632;6627;79760;6637;6628;26121;51690;8175;6626;25804	CD2BP2;CLNS1A;GEMIN6;GEMIN7;LSM4;LSM5;LSM7;LUC7L;PHF5A;PPIH;PRPF3;PRPF31;PRPF40B;PRPF6;SART1;SF3A2;SF3B2;SNRNP70;SNRPA;SNRPA1;SNRPB;SNRPC;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;USP39
