geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
GO:0004896	cytokine receptor activity	http://amigo.geneontology.org/amigo/term/GO:0004896	0.6078986984392251	2.42257739211537	0	0	88	./Project_1612860839_GSEA/GO_0004896.png	56	2690;3953;1233;2674;3587;2675;1240;3977;3554;729230;3575;1234;920;1236;1439;1230;10663;2829;2322;3560;3572;1235;3595;8809;7852;3570;10148;8807;3568;643;9173;1237;1438;3563;1524;3579;50615;1271;1441;8808;3590;3594;3454;3559;10936;1232;54756;3581;3459;972;3593;23765;3577;9466;2840;9244	CCR1;CCR2;CCR3;CCR4;CCR5;CCR6;CCR7;CCR8;CD4;CD74;CMKLR1;CNTFR;CRLF1;CSF2RA;CSF2RB;CSF3R;CX3CR1;CXCR1;CXCR2;CXCR4;CXCR5;CXCR6;EBI3;FLT3;GFRA1;GFRA2;GHR;GPR17;GPR75;IFNAR1;IFNGR1;IL10RA;IL11RA;IL12B;IL12RB1;IL12RB2;IL17RA;IL17RD;IL18R1;IL18RAP;IL1R1;IL1RL1;IL1RL2;IL21R;IL27RA;IL2RA;IL2RB;IL3RA;IL5RA;IL6R;IL6ST;IL7R;IL9R;LEPR;LIFR;XCR1
GO:0015026	coreceptor activity	http://amigo.geneontology.org/amigo/term/GO:0015026	0.6750389201326069	2.3818334443674254	0	0	39	./Project_1612860839_GSEA/GO_0015026.png	29	8434;3676;940;7049;1234;920;8829;925;4804;10663;942;4919;23643;115350;7852;23547;1237;10266;285704;10268;926;4920;10082;92;56963;3690;3685;941;2838	ACVR2A;CCR5;CCR8;CD28;CD4;CD80;CD86;CD8A;CD8B;CXCR4;CXCR6;FCRL1;GPC6;GPR15;ITGA4;ITGAV;ITGB3;LILRA4;LY96;NGFR;NRP1;RAMP2;RAMP3;RECK;RGMA;RGMB;ROR1;ROR2;TGFBR3
GO:0019955	cytokine binding	http://amigo.geneontology.org/amigo/term/GO:0019955	0.5771789245032545	2.376264136271463	0	0	118	./Project_1612860839_GSEA/GO_0019955.png	64	2690;8322;948;3676;3953;2;1233;3587;7049;3977;3554;729230;7057;1234;1436;920;94;8829;1236;1230;3815;7048;10663;2829;2022;3560;7043;7133;3572;1235;8646;3595;8809;7852;3570;10148;3568;643;64388;1237;1438;3563;1524;3579;1271;1441;2615;659;27252;3590;124857;3594;3454;3559;4052;1232;10068;11141;7837;3459;3690;972;3593;3685	A2M;ACVRL1;BMPR2;CCR1;CCR2;CCR3;CCR4;CCR5;CCR6;CCR7;CCR8;CD36;CD4;CD74;CHRD;CNTFR;CSF1R;CSF2RA;CSF3R;CX3CR1;CXCR2;CXCR4;CXCR5;CXCR6;EBI3;ENG;FZD4;GHR;GREM2;IFNAR1;IFNGR1;IL10RA;IL11RA;IL12B;IL12RB1;IL12RB2;IL18BP;IL18R1;IL1R1;IL1RAPL1;IL2RA;IL2RB;IL3RA;IL5RA;IL6R;IL6ST;ITGA4;ITGAV;ITGB3;KIT;KLHL20;LEPR;LIFR;LRRC32;LTBP1;NRP1;PXDN;TGFB3;TGFBR2;TGFBR3;THBS1;TNFRSF1B;WFIKKN2;XCR1
GO:0019865	immunoglobulin binding	http://amigo.geneontology.org/amigo/term/GO:0019865	0.7200746066146115	2.2254862849954806	0	0	22	./Project_1612860839_GSEA/GO_0019865.png	16	7450;920;2206;9103;2205;933;11027;2212;2213;2208;2207;2209;2210;2215;2204;2214	CD22;CD4;FCAR;FCER1A;FCER1G;FCER2;FCGR1A;FCGR1B;FCGR2A;FCGR2B;FCGR2C;FCGR3A;FCGR3B;LILRA2;MS4A2;VWF
GO:0005201	extracellular matrix structural constituent	http://amigo.geneontology.org/amigo/term/GO:0005201	0.5182778739461826	2.1843605400042048	0	0	151	./Project_1612860839_GSEA/GO_0005201.png	88	10516;4969;7373;25890;10875;127435;3908;79812;1634;7148;2202;4239;7450;9370;7057;81578;1805;4256;920;2200;22915;2006;2192;1306;10418;8483;5549;54829;4811;3490;2199;83872;3912;1310;2331;84570;4053;7007;4060;1286;10216;22795;84034;1295;3910;10085;6678;90187;8076;1285;1293;1282;3915;1288;4052;131873;1462;3339;1281;50939;4147;1284;7837;91522;5118;1287;1290;79875;1278;30008;4148;11117;3913;633;2201;284217;7058;10117;1307;3371;7980;1296;1292;4240;1116;1277;8425;176	ABI3BP;ACAN;ADIPOQ;ASPN;BGN;CD4;CHI3L1;CILP;COL14A1;COL15A1;COL16A1;COL19A1;COL1A1;COL1A2;COL21A1;COL23A1;COL25A1;COL3A1;COL4A1;COL4A2;COL4A3;COL4A4;COL4A5;COL4A6;COL5A2;COL6A2;COL6A3;COL6A6;COL8A1;COL8A2;DCN;DPT;EDIL3;EFEMP1;EFEMP2;ELN;EMILIN1;EMILIN2;EMILIN3;ENAM;FBLN1;FBLN2;FBLN5;FBN1;FBN2;FGL2;FMOD;HMCN1;HSPG2;IGFBP7;IMPG2;LAMA1;LAMA2;LAMA4;LAMB1;LAMB2;LAMC1;LTBP1;LTBP2;LTBP4;LUM;MATN2;MATN3;MFAP4;MFAP5;MFGE8;MGP;MMRN1;MMRN2;NID1;NID2;OGN;PCOLCE;PODN;PRELP;PRG4;PXDN;SPARC;SPON1;TECTA;TFPI2;THBS1;THBS2;THSD4;TNC;TNXB;VCAN;VWF
GO:0001653	peptide receptor activity	http://amigo.geneontology.org/amigo/term/GO:0001653	0.5099880561388178	2.1348106968497795	0	0	142	./Project_1612860839_GSEA/GO_0001653.png	85	10203;1910;10800;1233;1240;729230;1234;186;4881;552;22986;1236;1230;9340;185;10663;6869;2829;2357;2149;2359;7253;7434;1235;57105;10316;7852;643;1237;10266;10268;1524;3579;4882;4889;114815;117;79627;799;4987;59350;2358;4985;4160;2834;2811;5745;6753;624;23620;1909;2151;10936;1232;57537;4988;9002;2587;6752;53831;680;553;6754;3577;10887;4887;10886;2840;4829;2740;2642;4886;554;10803;51289;2862;3062;171389;887;3973;3061;128674;623;51083;4159	ADCYAP1R1;AGTR1;AGTR2;AVPR1A;AVPR1B;AVPR2;BDKRB1;BDKRB2;BRS3;CALCR;CALCRL;CCKBR;CCR1;CCR2;CCR3;CCR4;CCR5;CCR6;CCR7;CCR8;CCR9;CMKLR1;CX3CR1;CXCR1;CXCR2;CXCR4;CXCR5;CXCR6;CYSLTR1;CYSLTR2;EDNRA;EDNRB;F2R;F2RL2;F2RL3;FPR1;FPR2;FPR3;GAL;GALR1;GCGR;GLP1R;GLP2R;GP1BA;GPR17;GPR75;GPR84;HCRTR1;HCRTR2;LHCGR;MC3R;MC4R;MLNR;NLRP6;NMBR;NMUR1;NPFFR2;NPR1;NPR2;NPY1R;NPY2R;NPY5R;NTSR2;OGFRL1;OPRD1;OPRL1;OPRM1;PRLHR;PROKR1;PROKR2;PTH1R;RAMP2;RAMP3;RXFP1;RXFP3;SORCS1;SORCS2;SORCS3;SSTR2;SSTR3;SSTR4;TACR1;TSHR;VIPR2;XCR1
GO:0070003	threonine-type peptidase activity	http://amigo.geneontology.org/amigo/term/GO:0070003	-0.6742131306520678	-2.404812616561702	0	0	21	./Project_1612860839_GSEA/GO_0070003.png	17	29122;5689;5696;5694;5687;5684;5695;5693;5699;5682;5685;5688;5683;5690;5686;5692;5691	PRSS50;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8
GO:0003735	structural constituent of ribosome	http://amigo.geneontology.org/amigo/term/GO:0003735	-0.5605077675838627	-3.1685507898503698	0	0	153	./Project_1612860839_GSEA/GO_0003735.png	85	65008;6156;6136;6229;51023;9045;6152;6173;6169;6175;6170;51065;200916;6143;6167;6159;6187;6181;11224;6217;51650;56945;63931;6157;7818;116832;124995;6137;6227;25873;51258;51649;64963;51121;64432;6209;11222;6223;64981;26589;64983;64968;29088;51116;55052;55168;740;51081;64979;84545;6141;51253;60488;6132;51264;6176;57129;51069;28998;79590;6158;54948;29093;64960;65003;51373;65005;10884;51021;51073;4701;128308;64951;64975;54460;64928;219927;6150;6183;63875;10573;64969;6182;122704;65993	DAP3;MRPL1;MRPL10;MRPL11;MRPL12;MRPL13;MRPL14;MRPL15;MRPL16;MRPL17;MRPL2;MRPL20;MRPL21;MRPL22;MRPL23;MRPL24;MRPL27;MRPL28;MRPL3;MRPL32;MRPL34;MRPL36;MRPL37;MRPL4;MRPL41;MRPL43;MRPL46;MRPL47;MRPL49;MRPL51;MRPL52;MRPL55;MRPL9;MRPS11;MRPS12;MRPS14;MRPS15;MRPS16;MRPS17;MRPS18A;MRPS18C;MRPS2;MRPS21;MRPS22;MRPS23;MRPS24;MRPS25;MRPS30;MRPS33;MRPS34;MRPS35;MRPS5;MRPS6;MRPS7;NDUFA7;RPL12;RPL13;RPL14;RPL18;RPL19;RPL22L1;RPL24;RPL26L1;RPL27A;RPL28;RPL29;RPL30;RPL35;RPL36;RPL36A;RPL37;RPL38;RPL39;RPL39L;RPL8;RPLP0;RPLP1;RPLP2;RPS15;RPS16;RPS19;RPS2;RPS21;RPS24;RPS27L
GO:0030551	cyclic nucleotide binding	http://amigo.geneontology.org/amigo/term/GO:0030551	0.602029963122883	2.065753265001733	0	7.282199806917674e-5	35	./Project_1612860839_GSEA/GO_0030551.png	16	5142;5577;5138;5592;11069;10846;8654;9693;5573;11149;5576;64091;1261;5148;3756;5144	BVES;CNGA3;KCNH1;PDE10A;PDE2A;PDE4B;PDE4D;PDE5A;PDE6G;POPDC2;PRKAR1A;PRKAR2A;PRKAR2B;PRKG1;RAPGEF2;RAPGEF4
GO:0016502	nucleotide receptor activity	http://amigo.geneontology.org/amigo/term/GO:0016502	0.6770668123746072	2.0737522573420217	0	7.944217971182916e-5	22	./Project_1612860839_GSEA/GO_0016502.png	12	2857;9934;64805;5027;286530;27334;29909;53829;5028;5026;5023;5724	GPR171;GPR34;P2RX1;P2RX5;P2RX7;P2RY1;P2RY10;P2RY12;P2RY13;P2RY14;P2RY8;PTAFR
