geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
hsa04640	Hematopoietic cell lineage	http://www.kegg.jp/kegg-bin/show_pathway?hsa04640+948+3676+947+3554+3575+921+1436+920+912+917+925+1378+3815+1435+3111+916+2322+3113+914+911+3115+951+945+3570+3672+2814+3569+933+3568+3122+952+915+931+1438+3563+2208+913+3109+1441+3119+1440+3117+910+930+929+926+3553+3590+2209+7066+2811+1380+3559+3684+3127+924+3118+3108+3123+3581+3690	0.6838701110484648	2.7244024484453697	0	0	92	./Project_1612860843_GSEA/hsa04640.png	61	948;3676;947;3554;3575;921;1436;920;912;917;925;1378;3815;1435;3111;916;2322;3113;914;911;3115;951;945;3570;3672;2814;3569;933;3568;3122;952;915;931;1438;3563;2208;913;3109;1441;3119;1440;3117;910;930;929;926;3553;3590;2209;7066;2811;1380;3559;3684;3127;924;3118;3108;3123;3581;3690	CD14;CD19;CD1B;CD1C;CD1D;CD1E;CD2;CD22;CD33;CD34;CD36;CD37;CD38;CD3D;CD3E;CD3G;CD4;CD5;CD7;CD8A;CD8B;CR1;CR2;CSF1;CSF1R;CSF2RA;CSF3;CSF3R;FCER2;FCGR1A;FLT3;GP1BA;GP5;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;IL11RA;IL1B;IL1R1;IL2RA;IL3RA;IL5RA;IL6;IL6R;IL7R;IL9R;ITGA1;ITGA4;ITGAM;ITGB3;KIT;MS4A1;THPO
hsa05150	Staphylococcus aureus infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05150+6403+716+3683+715+719+3111+2357+2359+3075+3113+9103+3115+728+718+3122+2212+2213+713+714+3109+3586+3119+3117+712+2358+3689+2209+2215+2204+1675+720+3684+3127+5724+2214+3118+3108+3123+717+3112+727+10747+3383	0.705304316591162	2.5865422608050266	0	0	52	./Project_1612860843_GSEA/hsa05150.png	43	6403;716;3683;715;719;3111;2357;2359;3075;3113;9103;3115;728;718;3122;2212;2213;713;714;3109;3586;3119;3117;712;2358;3689;2209;2215;2204;1675;720;3684;3127;5724;2214;3118;3108;3123;717;3112;727;10747;3383	C1QA;C1QB;C1QC;C1R;C1S;C2;C3;C3AR1;C4A;C5;C5AR1;CFD;CFH;FCAR;FCGR1A;FCGR2A;FCGR2B;FCGR2C;FCGR3A;FCGR3B;FPR1;FPR2;FPR3;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;ICAM1;IL10;ITGAL;ITGAM;ITGB2;MASP2;PTAFR;SELP
hsa04514	Cell adhesion molecules (CAMs)	http://www.kegg.jp/kegg-bin/show_pathway?hsa04514+257194+58494+3676+57502+3680+5788+940+10666+1003+947+6403+57863+920+6693+4685+83700+3683+925+5175+959+54413+3111+6900+8516+29851+3113+1272+5010+201633+914+942+3115+8506+9369+6402+9378+6401+923+23114+80380+933+64101+3122+22871+3109+3119+6383+3117+5133+57689+5797+1493+23705+22854+926+8174+3689+4684+9379+3385+149461+6614+3684+3127+4897+4359+1462+29126+90952+57555+3118+3108+3123+214+3133+3685+941+3112	0.5706988074027489	2.37336869015249	0	0	135	./Project_1612860843_GSEA/hsa04514.png	78	257194;58494;3676;57502;3680;5788;940;10666;1003;947;6403;57863;920;6693;4685;83700;3683;925;5175;959;54413;3111;6900;8516;29851;3113;1272;5010;201633;914;942;3115;8506;9369;6402;9378;6401;923;23114;80380;933;64101;3122;22871;3109;3119;6383;3117;5133;57689;5797;1493;23705;22854;926;8174;3689;4684;9379;3385;149461;6614;3684;3127;4897;4359;1462;29126;90952;57555;3118;3108;3123;214;3133;3685;941;3112	ALCAM;CADM1;CADM3;CD2;CD22;CD226;CD274;CD28;CD34;CD4;CD40LG;CD6;CD80;CD86;CD8A;CD8B;CDH5;CLDN11;CLDN19;CNTN1;CNTN2;CNTNAP1;CTLA4;ESAM;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-E;ICAM3;ICOS;ITGA4;ITGA8;ITGA9;ITGAL;ITGAM;ITGAV;ITGB2;JAM2;JAM3;LRRC4;LRRC4C;MADCAM1;MPZ;NCAM1;NCAM2;NEGR1;NFASC;NLGN1;NLGN2;NLGN3;NLGN4X;NRCAM;NRXN1;NRXN2;NRXN3;NTNG1;PDCD1;PDCD1LG2;PECAM1;PTPRC;PTPRM;SDC2;SELE;SELL;SELP;SIGLEC1;SPN;TIGIT;VCAN
hsa04672	Intestinal immune network for IgA production	http://www.kegg.jp/kegg-bin/show_pathway?hsa04672+6387+3676+940+959+3111+29851+3113+942+3115+7852+3569+3122+23495+3109+3586+3119+10673+3117+8174+608+57379+3127+115650+3118+9020+3558+3108+3123+941+3112+3695+23308+3565+10803	0.6303485478384316	2.276926113990003	0	0	45	./Project_1612860843_GSEA/hsa04672.png	34	6387;3676;940;959;3111;29851;3113;942;3115;7852;3569;3122;23495;3109;3586;3119;10673;3117;8174;608;57379;3127;115650;3118;9020;3558;3108;3123;941;3112;3695;23308;3565;10803	AICDA;CCR9;CD28;CD40LG;CD80;CD86;CXCL12;CXCR4;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;ICOS;ICOSLG;IL10;IL2;IL4;IL6;ITGA4;ITGB7;MADCAM1;MAP3K14;TNFRSF13B;TNFRSF13C;TNFRSF17;TNFSF13B
hsa05321	Inflammatory bowel disease (IBD)	http://www.kegg.jp/kegg-bin/show_pathway?hsa05321+6775+7099+3111+6095+7043+3113+30009+6774+3595+8809+3115+3569+8807+3122+50943+50615+3109+3586+3119+3117+4087+3553+3594+4094+3127+3596+3118+4790+3558+3108+3123+3459+4772+7097+3593+3112	0.6047550476260538	2.265190105110364	0	0	63	./Project_1612860843_GSEA/hsa05321.png	36	6775;7099;3111;6095;7043;3113;30009;6774;3595;8809;3115;3569;8807;3122;50943;50615;3109;3586;3119;3117;4087;3553;3594;4094;3127;3596;3118;4790;3558;3108;3123;3459;4772;7097;3593;3112	FOXP3;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;IFNGR1;IL10;IL12B;IL12RB1;IL12RB2;IL13;IL18R1;IL18RAP;IL1B;IL2;IL21R;IL6;MAF;NFATC1;NFKB1;RORA;SMAD2;STAT3;STAT4;TBX21;TGFB3;TLR2;TLR4
hsa05332	Graft-versus-host disease	http://www.kegg.jp/kegg-bin/show_pathway?hsa05332+940+3111+3113+942+3115+5551+356+3824+3569+3122+3109+3119+3117+3553+3811+3127+3821+3118+3002+3558+3108+3123+3133+941+3112	0.6584085844967063	2.2568899878539295	0	0	37	./Project_1612860843_GSEA/hsa05332.png	25	940;3111;3113;942;3115;5551;356;3824;3569;3122;3109;3119;3117;3553;3811;3127;3821;3118;3002;3558;3108;3123;3133;941;3112	CD28;CD80;CD86;FASLG;GZMB;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-E;IL1B;IL2;IL6;KIR3DL1;KLRC1;KLRD1;PRF1
hsa04659	Th17 cell differentiation	http://www.kegg.jp/kegg-bin/show_pathway?hsa04659+3554+920+917+5532+7048+6777+3111+916+6095+919+3560+3716+3113+30009+4773+3572+6774+3115+3662+5602+3570+3569+5588+3122+915+7535+50943+4089+3717+50615+3109+3119+3117+4087+5533+3553+53342+6258+3718+5335+3594+3559+3127+5594+3118+4790+4775+1147+3558+3108+3123+3459+4772+4792+3091+3112+5599+9466+6776+27040+7046	0.5535343434830172	2.2566037992883468	0	0	105	./Project_1612860843_GSEA/hsa04659.png	61	3554;920;917;5532;7048;6777;3111;916;6095;919;3560;3716;3113;30009;4773;3572;6774;3115;3662;5602;3570;3569;5588;3122;915;7535;50943;4089;3717;50615;3109;3119;3117;4087;5533;3553;53342;6258;3718;5335;3594;3559;3127;5594;3118;4790;4775;1147;3558;3108;3123;3459;4772;4792;3091;3112;5599;9466;6776;27040;7046	CD247;CD3D;CD3E;CD3G;CD4;CHUK;FOXP3;HIF1A;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;IFNGR1;IL12RB1;IL17D;IL1B;IL1R1;IL2;IL21R;IL27RA;IL2RA;IL2RB;IL6;IL6R;IL6ST;IRF4;JAK1;JAK2;JAK3;LAT;MAPK1;MAPK10;MAPK8;NFATC1;NFATC2;NFATC3;NFKB1;NFKBIA;PLCG1;PPP3CB;PPP3CC;PRKCQ;RORA;RXRG;SMAD2;SMAD4;STAT3;STAT5A;STAT5B;TBX21;TGFBR1;TGFBR2;ZAP70
hsa05144	Malaria	http://www.kegg.jp/kegg-bin/show_pathway?hsa05144+948+3082+7057+6403+3683+7099+5175+1378+7060+959+3820+22914+7043+2995+4035+6401+3569+6347+3586+6383+1440+3043+3553+3689	0.628269831238159	2.207350467047694	0	0	45	./Project_1612860843_GSEA/hsa05144.png	24	948;3082;7057;6403;3683;7099;5175;1378;7060;959;3820;22914;7043;2995;4035;6401;3569;6347;3586;6383;1440;3043;3553;3689	CCL2;CD36;CD40LG;CR1;CSF3;GYPC;HBB;HGF;IL10;IL1B;IL6;ITGAL;ITGB2;KLRB1;KLRK1;LRP1;PECAM1;SDC2;SELE;SELP;TGFB3;THBS1;THBS4;TLR4
hsa05010	Alzheimer disease	http://www.kegg.jp/kegg-bin/show_pathway?hsa05010+4714+1347+4720+4696+805+440567+778+125965+163688+6389+1020+4715+637+10975+29796+27089+4709+4704+5595+487+8772+126328+374291+4695+4725+4718+1327+1345+4716+55851+4723+7388+54539+4729+1349+51107+4717+4713+4726+4706+9377+4701+4710+1340+1537+4722+1337+7384+5331+572+1351+823+4728+2597+1329	-0.38829837893479324	-2.1716406122351373	0	0	152	./Project_1612860843_GSEA/hsa05010.png	55	4714;1347;4720;4696;805;440567;778;125965;163688;6389;1020;4715;637;10975;29796;27089;4709;4704;5595;487;8772;126328;374291;4695;4725;4718;1327;1345;4716;55851;4723;7388;54539;4729;1349;51107;4717;4713;4726;4706;9377;4701;4710;1340;1537;4722;1337;7384;5331;572;1351;823;4728;2597;1329	APH1A;ATP2A1;BAD;BID;CACNA1F;CALM2;CALML6;CAPN1;CDK5;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6B2;COX6C;COX7A2;COX7B;COX8A;CYC1;FADD;GAPDH;MAPK3;NDUFA11;NDUFA2;NDUFA3;NDUFA7;NDUFA9;NDUFAB1;NDUFB10;NDUFB11;NDUFB3;NDUFB4;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;PLCB3;PSENEN;SDHA;UQCR10;UQCR11;UQCRC1;UQCRH;UQCRHL;UQCRQ
hsa00240	Pyrimidine metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00240+978+5440+55718+5436+548644+1723+6240+7378+22978+1854+377841+10201+87178+5435+5427+7372+51082+5426+5432+51728+5441+654364+6241+1635+30834+79077+5434+124583+56474+4831+23649+7298+4830+5438+5424+5425+4832+7371+7083+955+57804+54963+5439+1841+30833+5437	-0.4228698362381351	-2.2155112207180596	0	0	96	./Project_1612860843_GSEA/hsa00240.png	46	978;5440;55718;5436;548644;1723;6240;7378;22978;1854;377841;10201;87178;5435;5427;7372;51082;5426;5432;51728;5441;654364;6241;1635;30834;79077;5434;124583;56474;4831;23649;7298;4830;5438;5424;5425;4832;7371;7083;955;57804;54963;5439;1841;30833;5437	CANT1;CDA;CTPS2;DCTD;DCTPP1;DHODH;DTYMK;DUT;ENTPD6;ENTPD8;NME1;NME1-NME2;NME2;NME3;NME6;NT5C;NT5C2;PNPT1;POLA2;POLD1;POLD2;POLD4;POLE;POLE2;POLR1D;POLR2C;POLR2E;POLR2F;POLR2G;POLR2H;POLR2I;POLR2J;POLR2J3;POLR2K;POLR2L;POLR3E;POLR3K;RRM1;RRM2;TK1;TYMS;UCK2;UCKL1;UMPS;UPP1;ZNRD1
