geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
P00053	T cell activation	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00053	0.5605765458226571	2.180120897403814	0	0	75	./Project_1612860848_GSEA/P00053.png	43	3708;5788;940;5295;9402;3937;5294;917;5532;10000;3111;916;7454;919;3113;4773;942;5293;5588;3122;6655;915;7535;5289;8503;3109;10451;3117;5063;5533;5335;6654;5290;5594;3118;4790;4775;1147;4772;972;4792;941;5599	AKT3;CD247;CD28;CD3D;CD3E;CD3G;CD74;CD80;CD86;CHUK;GRAP2;HLA-DMB;HLA-DOA;HLA-DPA1;HLA-DQA1;HLA-DQA2;HLA-DRA;ITPR1;LCP2;MAPK1;MAPK8;NFATC1;NFATC2;NFATC3;NFKB1;NFKBIA;PAK3;PIK3C3;PIK3CA;PIK3CD;PIK3CG;PIK3R1;PIK3R3;PLCG1;PPP3CB;PPP3CC;PRKCQ;PTPRC;SOS1;SOS2;VAV3;WAS;ZAP70
P00019	Endothelin signaling pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00019	0.5369928953778604	2.072301874547741	0	4.799074877132119e-4	75	./Project_1612860848_GSEA/P00019.png	34	1910;3708;5577;5579;5295;5583;2977;23533;2774;5294;3709;10000;5592;5293;111;109;5588;23236;5581;9630;5289;5573;8503;5576;115;196883;5290;5286;107;1909;5594;5122;4846;90701	ADCY1;ADCY3;ADCY4;ADCY5;ADCY9;AKT3;EDNRA;EDNRB;GNA14;GNAL;GUCY1A2;ITPR1;ITPR2;MAPK1;NOS3;PCSK1;PIK3C2A;PIK3C3;PIK3CA;PIK3CD;PIK3CG;PIK3R1;PIK3R3;PIK3R5;PLCB1;PRKAR1A;PRKAR2A;PRKAR2B;PRKCB;PRKCE;PRKCH;PRKCQ;PRKG1;SEC11C
P00036	Interleukin signaling pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00036	0.5050805835842168	1.9896664678086604	0	0.002239568275994989	76	./Project_1612860848_GSEA/P00036.png	41	3587;6775;10000;6777;3560;2309;84174;3572;6774;3595;3570;3569;3568;6655;2004;3563;3579;6722;3590;6688;3718;6654;5290;3594;3559;5594;6196;4609;1147;4846;6197;8569;3577;6776;5170;2475;3565;121599;27330;6773;1027	AKT3;CDKN1B;CHUK;CXCR1;CXCR2;ELK3;FOXO3;IL10RA;IL11RA;IL12RB1;IL12RB2;IL2RA;IL2RB;IL3RA;IL4;IL5RA;IL6;IL6R;IL6ST;JAK3;MAPK1;MKNK1;MTOR;MYC;NOS3;PDPK1;PIK3CA;RPS6KA2;RPS6KA3;RPS6KA6;SLA2;SOS1;SOS2;SPI1;SPIC;SRF;STAT2;STAT3;STAT4;STAT5A;STAT5B
P00014	Cholesterol biosynthesis	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00014	-0.6779961975388363	-2.103234873025258	0	0.0026639483520217466	12	./Project_1612860848_GSEA/P00014.png	8	6713;9453;2222;23590;2224;10654;4598;4597	FDFT1;FDPS;GGPS1;MVD;MVK;PDSS1;PMVK;SQLE
P00013	Cell cycle	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00013	-0.6450585861178425	-2.1565506929108467	0	0.003425076452599389	16	./Project_1612860848_GSEA/P00013.png	13	29882;9134;10197;51550;5718;5717;898;10213;5713;5710;5719;6119;5709	ANAPC2;CCNE1;CCNE2;CINP;PSMD11;PSMD12;PSMD13;PSMD14;PSMD3;PSMD4;PSMD7;PSME3;RPA3
P00031	Inflammation mediated by chemokine and cytokine signaling pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00031	0.43576811711916374	1.8964618497890287	0	0.006334778837814398	196	./Project_1612860848_GSEA/P00031.png	105	5334;7373;3708;57580;1233;5579;7450;729230;1234;54331;5294;3709;1236;3683;10000;1230;10663;5728;2829;4628;2357;6351;2359;4773;1235;6774;409;5742;5293;7852;111;728;6352;4638;643;23236;1237;5581;2775;9630;6366;6355;1524;3579;3717;6347;5336;5999;9655;6367;6093;6003;5063;4629;59;241;2785;2788;5335;1293;6654;5290;10750;70;3454;6348;6356;246;5594;1232;4775;2770;408;1147;53904;4772;9560;30837;817;3577;4624;815;3695;108;5170;6357;5330;2786;55970;10803;4619;5566;2776;1292;91807;7409;5613;2185;51196;3458;3627;414062;4620;140469;6349	ACTA2;ACTC1;ADCY2;ADCY5;AKT3;ALOX15;ALOX5AP;ARRB1;ARRB2;C5AR1;CAMK2A;CAMK2D;CCL11;CCL13;CCL2;CCL21;CCL22;CCL3;CCL3L1;CCL3L3;CCL4;CCL4L2;CCL5;CCL8;CCR1;CCR2;CCR3;CCR4;CCR5;CCR6;CCR7;CCR8;CCR9;CHUK;COL14A1;COL6A2;COL6A3;CX3CR1;CXCL10;CXCR1;CXCR2;CXCR4;CXCR5;CXCR6;FPR1;FPR3;GNA14;GNAI1;GNAO1;GNAQ;GNG12;GNG2;GNG3;GNG4;GNG7;GRAP;IFNAR1;IFNG;ITGAL;ITGB7;ITPR1;ITPR2;JAK2;MAPK1;MYH1;MYH10;MYH11;MYH2;MYH6;MYLK;MYLK3;MYO3A;MYO3B;NFATC1;NFATC2;NFATC3;PAK3;PDPK1;PIK3CA;PIK3CD;PIK3CG;PLCB1;PLCB2;PLCE1;PLCG1;PLCG2;PLCL1;PREX1;PRKACA;PRKCB;PRKCE;PRKX;PTEN;PTGS1;PTK2B;RGS13;RGS4;ROCK1;SOCS5;SOCS7;SOS1;STAT3;VAV1;VWF;XCR1
P00024	Glycolysis	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00024	-0.6668912713559253	-2.1797814330828946	0	0.006850152905198778	16	./Project_1612860848_GSEA/P00024.png	10	3098;3099;2026;2023;5230;5211;2821;7167;2597;226	ALDOA;ENO1;ENO2;GAPDH;GPI;HK1;HK2;PFKL;PGK1;TPI1
P00047	PDGF signaling pathway	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00047	0.45795647791602856	1.9043127298740903	0	0.00767851980341139	123	./Project_1612860848_GSEA/P00047.png	56	2078;2313;3708;5295;9402;6775;55843;23533;5156;5294;3709;6777;2551;85004;3716;2113;6774;2549;9252;5157;5602;5293;64333;51199;6655;5159;5289;4216;3717;79658;8503;5336;10451;10156;1998;6722;3718;5335;9846;6654;5290;10750;4983;5594;6196;4609;10746;1147;26750;6197;8569;5599;395;6776;1997;2117	ARHGAP10;ARHGAP15;ARHGAP6;ARHGAP9;CHUK;ELF1;ELF2;ERG;ETS1;ETV3;FLI1;GAB1;GAB2;GABPA;GRAP;GRAP2;ITPR1;ITPR2;JAK1;JAK2;JAK3;MAP3K2;MAP3K4;MAPK1;MAPK10;MAPK8;MKNK1;MYC;NIN;OPHN1;PDGFRA;PDGFRB;PDGFRL;PIK3C3;PIK3CA;PIK3CD;PIK3CG;PIK3R1;PIK3R3;PIK3R5;PLCG1;PLCG2;RASA4;RERG;RPS6KA2;RPS6KA3;RPS6KA5;RPS6KC1;SOS1;SOS2;SRF;STAT3;STAT4;STAT5A;STAT5B;VAV3
P02775	Salvage pyrimidine ribonucleotides	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02775	-0.6457464918474903	-1.9787225793016516	0	0.007991845056065238	12	./Project_1612860848_GSEA/P02775.png	9	134637;4833;978;7378;654364;4831;4832;7371;54963	ADAT2;CDA;NME1-NME2;NME2;NME3;NME4;UCK2;UCKL1;UPP1
P02744	Fructose galactose metabolism	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02744	-0.6718476377104621	-1.988075602745471	0.003225806441207076	0.009133537206931703	11	./Project_1612860848_GSEA/P02744.png	9	80201;2592;2584;2585;3098;3099;230;2582;226	ALDOA;ALDOC;GALE;GALK1;GALK2;GALT;HK1;HK2;HKDC1
