geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
WP2328	Allograft Rejection	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2328&label[]=ABCB1&label[]=AGTR1&label[]=BHMT2&label[]=C1QA&label[]=C1QB&label[]=C1QC&label[]=C2&label[]=C3&label[]=C4A&label[]=C5&label[]=C6&label[]=C7&label[]=CCL19&label[]=CCL21&label[]=CD28&label[]=CD40LG&label[]=CD80&label[]=CD86&label[]=CTLA4&label[]=CXCL12&label[]=CXCL13&label[]=CXCL9&label[]=CXCR5&label[]=FASLG&label[]=FOXP3&label[]=GABPA&label[]=GZMB&label[]=HLA-DMA&label[]=HLA-DMB&label[]=HLA-DOA&label[]=HLA-DOB&label[]=HLA-DPA1&label[]=HLA-DPB1&label[]=HLA-DQA1&label[]=HLA-DQA2&label[]=HLA-DQB1&label[]=HLA-DRA&label[]=HLA-DRB1&label[]=HLA-DRB5&label[]=HLA-E&label[]=IL10&label[]=IL12B&label[]=IL13&label[]=IL1B&label[]=IL2&label[]=IL2RA&label[]=LRRK2&label[]=PDGFRA&label[]=PRF1&label[]=VIM&colors=%23709EC5,%236A9AC2,%234782B4,%238DB2D0,%2389AFCF,%2389AFCF,%23ADC7DD,%237EA8CB,%239BBCD6,%23B3CBE0,%23B0C9DF,%234A84B5,%237EA8CB,%2386ADCD,%23548BB9,%236899C2,%23B0C9DF,%2376A2C7,%238EB3D1,%234A84B5,%239DBDD7,%23A0BFD8,%2380A9CB,%237DA7CA,%2384ACCD,%236A9AC2,%23A7C3DB,%23A9C4DC,%238AB0CF,%236B9BC3,%23B1CADF,%23719FC5,%2377A3C8,%238BB1D0,%23A4C1DA,%238AB0CF,%2380A9CB,%23A9C4DC,%239EBED8,%23ABC6DD,%238AB0CF,%23ADC7DD,%23A4C1DA,%2394B7D3,%23A9C4DC,%239EBED8,%235A8FBC,%236194BF,%237BA6C9,%2399BAD5	0.587762934865493	2.326595159511039	0	0	87	./Project_1612860852_GSEA/WP2328.png	50	23743;730;6387;940;120892;5156;959;185;2551;3111;5243;3113;942;3115;5551;356;6363;718;3122;643;50943;6366;713;714;3109;3586;3119;3117;712;1493;3553;7431;720;10563;3559;3127;4283;3596;3118;3002;3558;3108;3123;3133;717;3593;941;729;3112;727	ABCB1;AGTR1;BHMT2;C1QA;C1QB;C1QC;C2;C3;C4A;C5;C6;C7;CCL19;CCL21;CD28;CD40LG;CD80;CD86;CTLA4;CXCL12;CXCL13;CXCL9;CXCR5;FASLG;FOXP3;GABPA;GZMB;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-E;IL10;IL12B;IL13;IL1B;IL2;IL2RA;LRRK2;PDGFRA;PRF1;VIM
WP24	Peptide GPCRs	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP24&label[]=AGTR1&label[]=AGTR2&label[]=ATP8A1&label[]=AVPR1A&label[]=AVPR1B&label[]=AVPR2&label[]=BDKRB1&label[]=BDKRB2&label[]=BRS3&label[]=C3AR1&label[]=C5AR1&label[]=CCKAR&label[]=CCKBR&label[]=CCR1&label[]=CCR2&label[]=CCR3&label[]=CCR4&label[]=CCR5&label[]=CCR6&label[]=CCR7&label[]=CCR8&label[]=CCR9&label[]=CX3CR1&label[]=CXCR1&label[]=CXCR2&label[]=CXCR4&label[]=CXCR5&label[]=CXCR6&label[]=EDNRA&label[]=EDNRB&label[]=FPR1&label[]=FPR2&label[]=FPR3&label[]=GALR1&label[]=GHSR&label[]=GNRHR&label[]=HCRTR1&label[]=HCRTR2&label[]=LHCGR&label[]=MC3R&label[]=MC4R&label[]=NMBR&label[]=NPY1R&label[]=NPY2R&label[]=NPY5R&label[]=NTSR2&label[]=OPRD1&label[]=OPRL1&label[]=OPRM1&label[]=SSTR2&label[]=SSTR3&label[]=SSTR4&label[]=TACR1&label[]=TSHR&colors=%236697C0,%235E92BE,%239EBED8,%236093BE,%23B1CADF,%23BDD2E4,%23C9DAE9,%239DBDD7,%23AEC8DE,%236798C1,%2378A4C8,%23CCDCEA,%23C6D8E7,%236496C0,%23568CBA,%23A1C0D9,%235088B8,%235A8FBC,%23709EC5,%236194BF,%237EA8CB,%23BED3E5,%2383ABCC,%23B1CADF,%2383ABCC,%2377A3C8,%237DA7CA,%236798C1,%23A0BFD8,%234782B4,%236A9AC2,%2391B5D2,%236D9CC3,%23ADC7DD,%23A3C0D9,%23B6CDE1,%23C6D8E7,%23C1D5E6,%23C6D8E7,%23CADBE9,%2393B6D3,%23B4CCE0,%23BDD2E4,%23B1CADF,%2384ACCD,%239DBDD7,%2391B5D2,%238EB3D1,%23A9C4DC,%23ADC7DD,%2397B9D5,%23B1CADF,%236798C1,%236D9CC3	0.5735892952840665	2.2470514101633694	0	0	73	./Project_1612860852_GSEA/WP24.png	54	1910;1233;729230;1234;186;552;1236;1230;185;10663;6869;719;2357;2359;7253;1235;7852;728;643;1237;1524;3579;4889;4987;2358;4985;4160;6753;624;23620;10396;1909;1232;2693;4988;2587;6752;680;553;6754;3577;4887;4829;2798;4886;554;10803;3062;887;3973;3061;623;4159;886	AGTR1;AGTR2;ATP8A1;AVPR1A;AVPR1B;AVPR2;BDKRB1;BDKRB2;BRS3;C3AR1;C5AR1;CCKAR;CCKBR;CCR1;CCR2;CCR3;CCR4;CCR5;CCR6;CCR7;CCR8;CCR9;CX3CR1;CXCR1;CXCR2;CXCR4;CXCR5;CXCR6;EDNRA;EDNRB;FPR1;FPR2;FPR3;GALR1;GHSR;GNRHR;HCRTR1;HCRTR2;LHCGR;MC3R;MC4R;NMBR;NPY1R;NPY2R;NPY5R;NTSR2;OPRD1;OPRL1;OPRM1;SSTR2;SSTR3;SSTR4;TACR1;TSHR
WP3929	Chemokine signaling pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP3929&label[]=ADCY1&label[]=ADCY3&label[]=ADCY4&label[]=ADCY5&label[]=ADCY9&label[]=AKT3&label[]=ARRB1&label[]=ARRB2&label[]=CCL11&label[]=CCL17&label[]=CCL19&label[]=CCL21&label[]=CCL22&label[]=CCL3&label[]=CCL4&label[]=CCL5&label[]=CCR1&label[]=CCR2&label[]=CCR3&label[]=CCR4&label[]=CCR6&label[]=CCR7&label[]=CCR8&label[]=CHUK&label[]=CRK&label[]=CX3CR1&label[]=CXCL12&label[]=CXCL13&label[]=CXCL9&label[]=CXCR2&label[]=CXCR4&label[]=CXCR5&label[]=CXCR6&label[]=DOCK2&label[]=ELMO1&label[]=FGR&label[]=FOXO3&label[]=GNAI1&label[]=GNB4&label[]=GNG11&label[]=GNG2&label[]=GNG3&label[]=GNG7&label[]=GNGT2&label[]=HCK&label[]=ITK&label[]=JAK2&label[]=JAK3&label[]=MAPK1&label[]=NCF1&label[]=NFKB1&label[]=PIK3CA&label[]=PIK3CD&label[]=PIK3CG&label[]=PIK3R1&label[]=PIK3R3&label[]=PIK3R5&label[]=PLCB1&label[]=PREX1&label[]=PRKCB&label[]=RAP1A&label[]=RASGRP2&label[]=ROCK1&label[]=ROCK2&label[]=SHC4&label[]=SOS1&label[]=SOS2&label[]=STAT3&label[]=STAT5B&label[]=TIAM1&label[]=VAV3&label[]=WAS&label[]=XCR1&colors=%239BBCD6,%237AA5C9,%2394B7D3,%2378A4C8,%2390B4D2,%236496C0,%23A4C1DA,%23719FC5,%239DBDD7,%2396B8D4,%237DA7CA,%2383ABCC,%2389AFCF,%239BBCD6,%236B9BC3,%237AA5C9,%236496C0,%23578DBB,%23A3C0D9,%235088B8,%23709EC5,%236194BF,%2380A9CB,%23A6C2DA,%238AB0CF,%2384ACCD,%234782B4,%239BBCD6,%239EBED8,%2384ACCD,%2377A3C8,%237EA8CB,%236798C1,%23568CBA,%23709EC5,%2377A3C8,%236D9CC3,%23A4C1DA,%23588EBB,%236E9DC4,%235E92BE,%2393B6D3,%2396B8D4,%237EA8CB,%2378A4C8,%235D91BD,%2384ACCD,%2396B8D4,%23A1C0D9,%237DA7CA,%23A3C0D9,%2399BAD5,%2376A2C7,%236093BE,%23548BB9,%2386ADCD,%235E92BE,%237EA8CB,%234D86B6,%23538AB9,%23A6C2DA,%236B9BC3,%238AB0CF,%2396B8D4,%237DA7CA,%2397B9D5,%237EA8CB,%23719FC5,%236798C1,%23709EC5,%2387AECE,%236A9AC2,%236899C2	0.5058128524500347	2.1593120128524044	0	0	163	./Project_1612860852_GSEA/WP3929.png	73	6387;57580;1233;5579;5295;1794;729230;59345;3702;23533;54331;5294;1236;10000;1230;6777;10663;2829;7454;10235;6351;2309;2791;7074;9844;1235;6774;409;5293;2268;7852;111;3055;109;6352;6363;653361;399694;643;2793;6655;23236;1237;6366;1524;3579;3717;8503;10451;6367;6093;1398;115;2785;196883;6361;2788;9475;3718;6654;5290;10563;6348;107;6356;4283;5594;1232;4790;2770;408;5906;1147	ADCY1;ADCY3;ADCY4;ADCY5;ADCY9;AKT3;ARRB1;ARRB2;CCL11;CCL17;CCL19;CCL21;CCL22;CCL3;CCL4;CCL5;CCR1;CCR2;CCR3;CCR4;CCR6;CCR7;CCR8;CHUK;CRK;CX3CR1;CXCL12;CXCL13;CXCL9;CXCR2;CXCR4;CXCR5;CXCR6;DOCK2;ELMO1;FGR;FOXO3;GNAI1;GNB4;GNG11;GNG2;GNG3;GNG7;GNGT2;HCK;ITK;JAK2;JAK3;MAPK1;NCF1;NFKB1;PIK3CA;PIK3CD;PIK3CG;PIK3R1;PIK3R3;PIK3R5;PLCB1;PREX1;PRKCB;RAP1A;RASGRP2;ROCK1;ROCK2;SHC4;SOS1;SOS2;STAT3;STAT5B;TIAM1;VAV3;WAS;XCR1
WP69	T-Cell antigen Receptor (TCR)  Signaling Pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP69&label[]=ATF2&label[]=CBL&label[]=CBLB&label[]=CCR5&label[]=CD247&label[]=CD28&label[]=CD3D&label[]=CD3E&label[]=CD3G&label[]=CD4&label[]=CD83&label[]=CD8A&label[]=CHUK&label[]=CREB1&label[]=CRK&label[]=CRKL&label[]=FYN&label[]=GAB2&label[]=GRAP2&label[]=GRB2&label[]=ICOS&label[]=IL1B&label[]=IL6&label[]=IRF4&label[]=ITK&label[]=ITPR1&label[]=LAT&label[]=LCK&label[]=LCP2&label[]=MALT1&label[]=MAP3K14&label[]=MAP3K7&label[]=MAP3K8&label[]=MAP4K1&label[]=MAPK1&label[]=MAPK8&label[]=NFATC1&label[]=NFATC2&label[]=NFKB1&label[]=NFKBIA&label[]=OPRM1&label[]=PDPK1&label[]=PIK3R1&label[]=PLCG1&label[]=PRKCQ&label[]=PSTPIP1&label[]=PTPN11&label[]=REL&label[]=SH2B3&label[]=SOS1&label[]=TNFRSF9&label[]=VAV3&label[]=VIM&label[]=WAS&label[]=ZAP70&colors=%23A3C0D9,%23A3C0D9,%239ABBD6,%23588EBB,%236899C2,%234D86B6,%237DA7CA,%236697C0,%235E92BE,%235A8FBC,%23709EC5,%236093BE,%23A4C1DA,%23B3CBE0,%2389AFCF,%23B3CBE0,%235D91BD,%2396B8D4,%235189B8,%23BAD0E3,%236B9BC3,%2390B4D2,%2378A4C8,%2373A0C6,%23588EBB,%234782B4,%23B3CBE0,%23B7CEE2,%23578DBB,%237AA5C9,%23A4C1DA,%2378A4C8,%2391B5D2,%236A9AC2,%23A0BFD8,%23B0C9DF,%23A9C4DC,%236B9BC3,%23A1C0D9,%23AAC5DC,%23A9C4DC,%23B9CFE2,%235189B8,%2394B7D3,%237AA5C9,%2396B8D4,%23A1C0D9,%2391B5D2,%235189B8,%2396B8D4,%2393B6D3,%2384ACCD,%2394B7D3,%236697C0,%237DA7CA	0.5413941818376281	2.155027537268419	0	0	88	./Project_1612860852_GSEA/WP69.png	55	3708;940;5295;9402;10019;3937;1234;3702;920;2534;917;925;916;7454;919;11184;29851;4773;9308;3662;6885;3569;5588;10892;915;7535;10451;1398;3553;1326;5966;3604;5335;7431;9846;6654;9051;868;5594;4790;5781;1386;867;9020;1147;4988;4772;4792;5599;27040;1399;1385;3932;5170;2885	ATF2;CBL;CBLB;CCR5;CD247;CD28;CD3D;CD3E;CD3G;CD4;CD83;CD8A;CHUK;CREB1;CRK;CRKL;FYN;GAB2;GRAP2;GRB2;ICOS;IL1B;IL6;IRF4;ITK;ITPR1;LAT;LCK;LCP2;MALT1;MAP3K14;MAP3K7;MAP3K8;MAP4K1;MAPK1;MAPK8;NFATC1;NFATC2;NFKB1;NFKBIA;OPRM1;PDPK1;PIK3R1;PLCG1;PRKCQ;PSTPIP1;PTPN11;REL;SH2B3;SOS1;TNFRSF9;VAV3;VIM;WAS;ZAP70
WP4494	Selective expression of chemokine receptors during T-cell polarization	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP4494&label[]=CCL3&label[]=CCL4&label[]=CCR1&label[]=CCR2&label[]=CCR3&label[]=CCR4&label[]=CCR5&label[]=CCR7&label[]=CD28&label[]=CD4&label[]=CD40LG&label[]=CXCR4&label[]=IFNGR1&label[]=IL12B&label[]=IL12RB1&label[]=IL12RB2&label[]=IL18R1&label[]=IL2&label[]=TGFB3&colors=%2397B9D5,%236496C0,%235D91BD,%234E87B7,%239DBDD7,%234782B4,%23538AB9,%235A8FBC,%234782B4,%23568CBA,%235E92BE,%23719FC5,%23A6C2DA,%23A7C3DB,%2396B8D4,%236B9BC3,%236D9CC3,%23A1C0D9,%236496C0	0.662991065099408	2.154070415642346	0	0	29	./Project_1612860852_GSEA/WP4494.png	19	1233;940;729230;1234;920;1236;1230;959;6351;7043;3595;8809;7852;3594;6348;1232;3558;3459;3593	CCL3;CCL4;CCR1;CCR2;CCR3;CCR4;CCR5;CCR7;CD28;CD4;CD40LG;CXCR4;IFNGR1;IL12B;IL12RB1;IL12RB2;IL18R1;IL2;TGFB3
WP4538	Regulatory circuits of the STAT3 signaling pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP4538&label[]=AGTR1&label[]=AGTR2&label[]=CNTFR&label[]=CREBBP&label[]=CSF2RA&label[]=CSF2RB&label[]=CSF3R&label[]=DUSP2&label[]=F2R&label[]=F2RL2&label[]=F2RL3&label[]=GHR&label[]=IFNAR1&label[]=IFNGR1&label[]=IL10RA&label[]=IL11RA&label[]=IL12RB2&label[]=IL21R&label[]=IL27RA&label[]=IL2RA&label[]=IL2RB&label[]=IL3RA&label[]=IL5RA&label[]=IL6R&label[]=IL6ST&label[]=IL7R&label[]=IL9R&label[]=JAK1&label[]=JAK2&label[]=JAK3&label[]=LIFR&label[]=MAPK1&label[]=MAPK10&label[]=MAPK4&label[]=MAPK8&label[]=PDGFRA&label[]=PDGFRB&label[]=PRKCB&label[]=PTPRC&label[]=PTPRD&label[]=PTPRT&label[]=SETD7&label[]=SOCS3&label[]=STAT3&colors=%2387AECE,%2380A9CB,%23A0BFD8,%23A9C4DC,%239BBCD6,%2383ABCC,%23A1C0D9,%23C4D7E7,%238BB1D0,%23B4CCE0,%23BED3E5,%234782B4,%23B0C9DF,%23BBD1E3,%2376A2C7,%23AAC5DC,%2390B4D2,%23A0BFD8,%23C3D6E6,%23B1CADF,%238BB1D0,%239DBDD7,%2399BAD5,%2394B7D3,%238DB2D0,%237BA6C9,%23BAD0E3,%238DB2D0,%239EBED8,%23ABC6DD,%2378A4C8,%23B6CDE1,%2393B6D3,%23B6CDE1,%23C1D5E6,%2380A9CB,%239ABBD6,%2377A3C8,%2374A1C6,%2397B9D5,%23A1C0D9,%2390B4D2,%23A0BFD8,%238EB3D1	0.5466973166032755	2.148028083136461	0	0	76	./Project_1612860852_GSEA/WP4538.png	44	2690;5788;3587;5579;3977;3575;5156;186;1439;185;3560;2149;3716;3572;6774;80854;3595;5602;3570;5789;3568;5159;1438;3563;3717;50615;9021;1271;1441;11122;1387;3590;3718;3454;3559;2151;5594;5596;3581;3459;9002;5599;9466;1844	AGTR1;AGTR2;CNTFR;CREBBP;CSF2RA;CSF2RB;CSF3R;DUSP2;F2R;F2RL2;F2RL3;GHR;IFNAR1;IFNGR1;IL10RA;IL11RA;IL12RB2;IL21R;IL27RA;IL2RA;IL2RB;IL3RA;IL5RA;IL6R;IL6ST;IL7R;IL9R;JAK1;JAK2;JAK3;LIFR;MAPK1;MAPK10;MAPK4;MAPK8;PDGFRA;PDGFRB;PRKCB;PTPRC;PTPRD;PTPRT;SETD7;SOCS3;STAT3
WP466	DNA Replication	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP466&label[]=CDC45&label[]=CDC6&label[]=CDT1&label[]=MCM10&label[]=MCM2&label[]=MCM3&label[]=MCM4&label[]=MCM7&label[]=PCNA&label[]=POLA2&label[]=POLD1&label[]=POLD2&label[]=POLD4&label[]=POLE&label[]=POLE2&label[]=RFC2&label[]=RFC4&label[]=RFC5&label[]=RPA3&label[]=UBC&colors=%23FFAA44,%23FFB254,%23FF8D04,%23FFB45A,%23FFAF4E,%23FFC886,%23FFC580,%23FFAC48,%23FFB358,%23FFB050,%23FF9F2C,%23FF9F2C,%23FF981C,%23FFC57E,%23FFC580,%23FFB358,%23FFAA44,%23FFCC8E,%23FF9C24,%23FFC988	-0.6461709123052353	-2.716178413380379	0	0	36	./Project_1612860852_GSEA/WP466.png	20	5985;7316;4172;4173;5427;5426;55388;5111;5982;990;23649;4171;4176;5984;8318;5424;5425;6119;57804;81620	CDC45;CDC6;CDT1;MCM10;MCM2;MCM3;MCM4;MCM7;PCNA;POLA2;POLD1;POLD2;POLD4;POLE;POLE2;RFC2;RFC4;RFC5;RPA3;UBC
WP4324	Mitochondrial complex I assembly model OXPHOS system	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP4324&label[]=ACAD9&label[]=FOXRED1&label[]=NDUFA1&label[]=NDUFA10&label[]=NDUFA12&label[]=NDUFA13&label[]=NDUFA2&label[]=NDUFA3&label[]=NDUFA7&label[]=NDUFA8&label[]=NDUFAB1&label[]=NDUFAF3&label[]=NDUFB10&label[]=NDUFB11&label[]=NDUFB3&label[]=NDUFB4&label[]=NDUFB7&label[]=NDUFB8&label[]=NDUFB9&label[]=NDUFC1&label[]=NDUFC2&label[]=NDUFS2&label[]=NDUFS3&label[]=NDUFS5&label[]=NDUFS6&label[]=NDUFV1&label[]=NDUFV2&label[]=TMEM186&colors=%23FFBB68,%23FFA840,%23FFCC8E,%23FFCC8E,%23FFBB68,%23FFC074,%23FFA436,%23FFB45A,%23FF9514,%23FFC57E,%23FF9516,%23FFB254,%23FF9F2A,%23FF9C24,%23FFA942,%23FF900A,%23FF981C,%23FFB862,%23FFAE4C,%23FF981C,%23FFA130,%23FFB65E,%23FF8D04,%23FFA334,%23FF9618,%23FF9C24,%23FF9B22,%23FF9A20	-0.6293860554021945	-2.8309231483730772	0	0	44	./Project_1612860852_GSEA/WP4324.png	28	4705;4694;4702;51079;28976;55967;4714;4720;4696;25915;4715;4709;55572;4695;4725;4718;4716;4723;54539;4729;25880;4717;4713;4726;4706;4701;4710;4722	ACAD9;FOXRED1;NDUFA1;NDUFA10;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA7;NDUFA8;NDUFAB1;NDUFAF3;NDUFB10;NDUFB11;NDUFB3;NDUFB4;NDUFB7;NDUFB8;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFV1;NDUFV2;TMEM186
WP183	Proteasome Degradation	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP183&label[]=H2AFX&label[]=H2AFZ&label[]=HIST1H2AB&label[]=HLA-A&label[]=PSMA1&label[]=PSMA2&label[]=PSMA3&label[]=PSMA4&label[]=PSMA5&label[]=PSMA6&label[]=PSMA7&label[]=PSMB1&label[]=PSMB10&label[]=PSMB2&label[]=PSMB3&label[]=PSMB4&label[]=PSMB5&label[]=PSMB6&label[]=PSMB7&label[]=PSMB8&label[]=PSMC1&label[]=PSMC2&label[]=PSMC3&label[]=PSMC4&label[]=PSMC5&label[]=PSMC6&label[]=PSMD1&label[]=PSMD11&label[]=PSMD12&label[]=PSMD13&label[]=PSMD2&label[]=PSMD3&label[]=PSMD4&label[]=PSMD7&label[]=PSMD8&label[]=PSMD9&label[]=PSME1&label[]=PSME2&label[]=PSME3&label[]=RPN1&label[]=UBA1&label[]=UBC&label[]=UCHL3&colors=%23FF8C02,%23FFA130,%23FFDDB4,%23FFDCB2,%23FFB964,%23FFB256,%23FFC886,%23FFB760,%23FFAC48,%23FFD29C,%23FFB358,%23FFDDB4,%23FFBD6E,%23FFB152,%23FF9F2A,%23FFA73C,%23FFC57E,%23FFDAAE,%23FFC682,%23FFDCB2,%23FFCD90,%23FFD8A8,%23FFBB6A,%23FFB358,%23FFDCB2,%23FFBC6C,%23FFD8A8,%23FFC682,%23FFCF96,%23FFA942,%23FFCC8E,%23FFA436,%23FFAC48,%23FFBA66,%23FFBF72,%23FFC580,%23FFC37A,%23FFB45A,%23FFDEB6,%23FFAF4E,%23FFBD6E,%23FFCF94,%23FFC278	-0.601680430337393	-2.8635785045833533	0	0	62	./Project_1612860852_GSEA/WP183.png	43	10197;5689;8335;5696;3105;5705;5694;5707;5701;5687;5718;7316;5700;5708;5684;5717;5695;5715;5693;5720;7347;5714;5699;7317;5706;5702;5713;5682;5685;5721;5688;5704;5683;5690;6184;5710;5686;5719;5692;5709;3015;5691;3014	H2AFX;H2AFZ;HIST1H2AB;HLA-A;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD2;PSMD3;PSMD4;PSMD7;PSMD8;PSMD9;PSME1;PSME2;PSME3;RPN1;UBA1;UBC;UCHL3
WP4752	Base Excision Repair	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP4752&label[]=APEX2&label[]=FEN1&label[]=LIG1&label[]=MPG&label[]=MUTYH&label[]=NEIL3&label[]=NTHL1&label[]=PARP2&label[]=PCNA&label[]=PNKP&label[]=POLB&label[]=POLD1&label[]=POLD2&label[]=POLD4&label[]=POLE&label[]=POLE2&label[]=POLL&label[]=SMUG1&label[]=UNG&label[]=XRCC1&colors=%23FFD29C,%23FFA83E,%23FFA83E,%23FF981C,%23FFAA44,%23FFC784,%23FF981C,%23FFD29C,%23FFBC6C,%23FF8C02,%23FFB254,%23FFAA44,%23FFAA44,%23FFA538,%23FFCC8E,%23FFCC8E,%23FFBB6A,%23FFA334,%23FFB050,%23FFCC8E	-0.7261604304036425	-2.9827325681046766	0	0	31	./Project_1612860852_GSEA/WP4752.png	20	27301;10038;5427;7515;5426;55247;5111;27343;5423;7374;5424;5425;4595;3978;2237;57804;23583;4350;4913;11284	APEX2;FEN1;LIG1;MPG;MUTYH;NEIL3;NTHL1;PARP2;PCNA;PNKP;POLB;POLD1;POLD2;POLD4;POLE;POLE2;POLL;SMUG1;UNG;XRCC1
