geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
GO:0099177	regulation of trans-synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0099177	0.4696973871848138	2.3246599809224864	0	0	405	./Project_1604389093_GSEA/GO_0099177.png	198	57502;5334;64084;4130;51247;152330;4355;107;3745;1742;5532;1949;26045;23208;6547;27253;9378;5577;5999;22829;2534;66000;64101;55288;8029;23467;2911;5413;22871;2917;54476;23621;5566;135;5581;6532;85358;5923;56853;1141;5621;9590;2259;50944;9515;23025;5649;7143;9699;4208;6860;5217;5270;54899;3274;9746;8831;729956;2894;4137;801;774;2901;9145;57555;9581;10769;6543;5802;773;11170;57689;18;23228;5579;6844;254263;23413;6285;54434;1759;783;23542;4885;57338;816;11188;9370;10814;6855;120892;1630;4915;4204;1268;3717;869;590;2047;5786;84446;477;63908;2900;9254;5728;84502;1395;1000;2914;320;79772;2898;3356;776;1524;25;116;10590;6853;116443;9001;23154;5594;1959;5335;9066;3908;23236;6616;23237;2890;85445;27091;10142;54413;6622;266743;154;22986;8938;57406;9211;440275;9162;10369;4803;1136;5864;9294;351;4914;5028;9693;3815;388336;29;8526;2149;793;6900;9101;22930;409;4763;84687;6770;51738;2903;815;64854;22849;27020;1813;57616;8973;8499;952;2918;22854;1607;140730;8224;2916;25897;2899;2185;6774;1816;23394;9456;1385;27092;10059;4889;57497;23316;11346	ABAT;ABHD6;ABL1;ABR;ADCY1;ADCYAP1;ADIPOQ;ADNP;ADORA2A;ADRB2;AKAP12;AKAP9;APBA1;APP;ARC;ARRB2;ATP1A2;BACE1;BAIAP3;BCHE;BRSK1;CACNA1A;CACNA1B;CACNA1D;CACNA2D2;CACNB2;CACNG2;CACNG4;CACNG5;CALB1;CALM1;CAMK2A;CAMK2B;CBLN1;CD38;CDH2;CELF4;CHRNA3;CHRNA6;CHRNB2;CLSTN2;CLSTN3;CNIH2;CNR1;CNTN2;CNTN4;CNTNAP4;CPEB3;CPLX2;CREB1;CRHR2;CUBN;CUX2;CX3CR1;DCC;DGKB;DGKE;DGKI;DLG4;DNM1;DNM1L;DRD2;DRD5;EFNB3;EGR2;EIF2AK4;EPHB1;F2R;FAM107A;FGF14;FYN;GHRL;GRIA1;GRID1;GRIK2;GRIK3;GRIK4;GRIK5;GRIN2A;GRIN3A;GRM1;GRM4;GRM6;GRM7;GRM8;HAP1;HOMER1;HRH2;HTR2A;JAK2;JPH3;JPH4;KCNB1;KIT;LAMA2;LGI1;LRFN2;LRRC4;LRRC4C;LRRK2;LRRTM2;MAP1A;MAPK1;MAPK8IP2;MAPT;MCTP1;MECP2;MEF2C;MPP2;NAPB;NCDN;NCS1;NF1;NGF;NISCH;NLGN1;NLGN2;NLGN3;NLGN4X;NLGN4Y;NPAS4;NPTN;NPTX2;NPTXR;NPY5R;NRXN1;NTNG1;NTRK1;NTRK2;P2RY1;PAIP2;PCDH17;PFN2;PLCB1;PLCG1;PLCL1;PLCL2;PLK2;PPFIA2;PPP1R9B;PPP3CB;PREPL;PRKACA;PRKAR2B;PRKCB;PRKCE;PRNP;PTEN;PTK2B;PTPRA;PTPRS;PXK;RAB3A;RAB3GAP1;RAPGEF2;RASGRF1;RELN;RGS4;RHOT1;RIMS2;RIMS4;RNF19A;RNF216;S100B;S1PR2;SCGN;SEPT5;SERPINE2;SHANK1;SHANK3;SHISA6;SHISA7;SLC6A4;SLC8A2;SLC8A3;SNAP25;SNCA;SORCS3;SSH1;STAR;STAT3;STXBP5L;SYN1;SYN3;SYNGAP1;SYNGR1;SYNPO;SYP;SYT11;SYT4;SYT7;TMEM108;TNR;TSHZ3;UNC13A;USP46;USP8;VAMP2
GO:0035249	synaptic transmission, glutamatergic	http://amigo.geneontology.org/amigo/term/GO:0035249	0.5378394820075886	2.2670852606414993	0	0	89	./Project_1604389093_GSEA/GO_0035249.png	49	9378;8029;2911;22871;2917;135;85358;50944;23025;5649;7143;4208;5270;9746;2894;2901;2891;57555;1006;254263;23542;120892;1268;477;63908;2900;1000;2914;2898;3356;116;6509;149111;27091;54413;57030;9162;10369;4914;22930;4763;1813;57616;2918;2916;2899;2185;9456;27092	ADCYAP1;ADORA2A;ATP1A2;CACNG2;CACNG4;CACNG5;CDH2;CDH8;CLSTN3;CNIH2;CNIH3;CNR1;CUBN;DGKI;DRD2;GRIA2;GRID1;GRIK2;GRIK3;GRIK4;GRIK5;GRM1;GRM4;GRM6;GRM7;GRM8;HOMER1;HTR2A;LRRK2;MAPK8IP2;MEF2C;NAPB;NF1;NLGN1;NLGN2;NLGN3;NRXN1;NTRK1;PTK2B;RAB3GAP1;RELN;SERPINE2;SHANK1;SHANK3;SLC17A7;SLC1A4;TNR;TSHZ3;UNC13A
GO:0030534	adult behavior	http://amigo.geneontology.org/amigo/term/GO:0030534	0.5017173084474831	2.2647316783849636	0	0	132	./Project_1604389093_GSEA/GO_0030534.png	62	285671;5048;57502;221935;1949;5090;7345;27253;9378;1393;8029;57731;23544;2743;85358;53616;1141;50944;2257;238;7111;5538;124925;9369;18;2566;583;6387;10752;80243;4204;9379;477;3952;5728;3356;2741;114781;26050;1621;2055;4097;585;54413;6622;680;8013;1136;22876;351;1497;28996;4985;26058;114798;6900;409;7248;51738;64854;1813;9607	ABAT;ADAM22;ALK;APP;ARRB2;ATP1A2;BBS2;BBS4;BRS3;BTBD9;CARTPT;CHL1;CHRNA3;CHRNB2;CLN8;CNTN2;CRHBP;CTNS;CUBN;CXCL12;DBH;DRD2;EFNB3;FGF12;GABRG2;GHRL;GIGYF2;GLRA1;GLRB;HIPK2;HTR2A;INPP5F;LEP;MAFG;MECP2;NLGN3;NLGN4X;NR4A3;NRXN1;NRXN2;NRXN3;OPRD1;PAFAH1B1;PBX3;PCDH17;PPT1;PREX2;PTEN;RNF180;SDK1;SEZ6;SEZ6L;SHANK1;SHANK3;SLITRK1;SLITRK5;SNCA;SPTBN4;TMOD1;TSC1;UCHL1;USP46
GO:0007215	glutamate receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0007215	0.5345194609170264	2.2630916188031773	0	0	87	./Project_1604389093_GSEA/GO_0007215.png	50	3745;1742;7074;2534;1393;2911;22871;2917;2892;85358;5923;5621;50944;23025;5649;4208;729956;2894;2901;2891;57555;54550;8851;254263;23542;80315;8787;2900;2914;2893;2898;116443;149111;23236;23237;2890;27091;54413;154;10369;351;388336;1612;2903;2918;2916;2899;2185;9456;27092	ADRB2;APP;ARC;CACNG2;CACNG4;CACNG5;CDK5R1;CNIH2;CNIH3;CPEB4;CRHBP;DAPK1;DLG4;FYN;GRIA1;GRIA2;GRIA3;GRIA4;GRID1;GRIK2;GRIK3;GRIK4;GRIK5;GRIN2A;GRIN3A;GRM1;GRM4;GRM6;GRM7;GRM8;HOMER1;KCNB1;MAPK8IP2;MEF2C;NECAB2;NLGN1;NLGN2;NLGN3;PLCB1;PRNP;PTK2B;RASGRF1;RELN;RGS9;SHANK1;SHANK3;SHISA6;SHISA7;TIAM1;UNC13A
GO:0033108	mitochondrial respiratory chain complex assembly	http://amigo.geneontology.org/amigo/term/GO:0033108	-0.5173931511856872	-2.477404025920577	0	0	68	./Project_1604389093_GSEA/GO_0033108.png	40	4702;4700;4704;51079;126328;4695;6834;4696;51241;4718;4717;374291;55572;29796;28976;4715;644096;617;5018;4701;4713;4694;4726;25915;90639;54539;10063;4723;4725;4706;4728;4710;4720;4705;9997;4709;4729;4722;4716;6901	ACAD9;BCS1L;COX16;COX17;COX19;FOXRED1;NDUFA1;NDUFA10;NDUFA11;NDUFA13;NDUFA2;NDUFA3;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFAF3;NDUFB10;NDUFB11;NDUFB3;NDUFB4;NDUFB7;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;OXA1L;SCO2;SDHAF1;SURF1;TAZ;UQCR10
GO:0006414	translational elongation	http://amigo.geneontology.org/amigo/term/GO:0006414	-0.5021644962760021	-2.7118067456326367	0	0	123	./Project_1604389093_GSEA/GO_0006414.png	63	65080;54676;55052;9567;80325;63931;64979;124995;51258;1802;1937;143244;56945;51264;84545;51263;57129;5018;219927;64960;90480;51069;60488;29088;116540;11222;60678;1984;54948;64968;51116;64432;7818;51021;28998;64951;51642;1936;51073;10573;6182;118487;64975;65003;65005;79590;54998;10884;64969;6181;128308;55168;6176;51253;7284;51373;6183;63875;65993;64928;6150;90850;122704	ABTB1;AURKAIP1;CHCHD1;DAP3;DPH2;EEF1D;EEF1G;EEFSEC;EIF5A;EIF5AL1;GADD45GIP1;GTPBP1;GTPBP2;MRPL10;MRPL11;MRPL12;MRPL13;MRPL14;MRPL15;MRPL16;MRPL17;MRPL2;MRPL20;MRPL21;MRPL23;MRPL24;MRPL27;MRPL28;MRPL3;MRPL30;MRPL36;MRPL37;MRPL4;MRPL41;MRPL43;MRPL44;MRPL47;MRPL48;MRPL51;MRPL52;MRPL53;MRPL55;MRPL9;MRPS12;MRPS14;MRPS15;MRPS16;MRPS17;MRPS18A;MRPS2;MRPS22;MRPS24;MRPS25;MRPS30;MRPS34;MRPS35;MRPS5;MRPS6;OXA1L;RPLP1;RPLP2;TUFM;ZNF598
GO:0010257	NADH dehydrogenase complex assembly	http://amigo.geneontology.org/amigo/term/GO:0010257	-0.6037567422555585	-2.7163116822880338	0	0	49	./Project_1604389093_GSEA/GO_0010257.png	36	4707;4711;4708;4702;4700;4704;51079;126328;4695;4696;4718;4717;374291;55572;28976;4715;617;5018;4701;4713;4694;4726;25915;54539;4723;4725;4706;4728;4710;4720;4705;4709;4729;4722;4716;6901	ACAD9;BCS1L;FOXRED1;NDUFA1;NDUFA10;NDUFA11;NDUFA13;NDUFA2;NDUFA3;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFAF3;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB7;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;OXA1L;TAZ
GO:0140053	mitochondrial gene expression	http://amigo.geneontology.org/amigo/term/GO:0140053	-0.5268258320883504	-2.8813814500913835	0	0	142	./Project_1604389093_GSEA/GO_0140053.png	79	64981;55173;84881;92259;64978;6832;219402;64983;124454;3028;65080;2617;5442;55052;84769;63931;64979;124995;51258;92170;51067;26995;56945;51264;84545;51263;57129;5018;4701;219927;64960;90480;4528;55699;285367;51069;64216;60488;29088;6472;116540;80222;11222;54948;64968;51116;64432;7818;51021;28998;64951;51642;51073;10573;6182;118487;64975;65003;65005;79590;54998;55157;400916;10884;64969;128308;55168;51253;80324;7284;51373;6183;63875;65993;64928;6150;92399;122704;9238	AURKAIP1;CHCHD1;CHCHD10;DAP3;DARS2;EARS2;GADD45GIP1;GARS;HSD17B10;IARS2;MPV17L2;MRPL10;MRPL11;MRPL12;MRPL13;MRPL14;MRPL15;MRPL16;MRPL17;MRPL2;MRPL20;MRPL21;MRPL23;MRPL24;MRPL27;MRPL28;MRPL3;MRPL30;MRPL32;MRPL34;MRPL36;MRPL37;MRPL38;MRPL4;MRPL41;MRPL43;MRPL44;MRPL47;MRPL48;MRPL51;MRPL52;MRPL53;MRPL55;MRPL9;MRPS10;MRPS12;MRPS14;MRPS15;MRPS16;MRPS17;MRPS18A;MRPS2;MRPS22;MRPS24;MRPS25;MRPS30;MRPS34;MRPS35;MRPS36;MRPS5;MRPS6;MRRF;MTG1;MTIF2;MTIF3;NDUFA7;OXA1L;POLRMT;PUS1;RPUSD3;RPUSD4;SHMT2;SUPV3L1;TARS2;TBRG4;TFB2M;TRUB2;TUFM;YARS2
GO:0050890	cognition	http://amigo.geneontology.org/amigo/term/GO:0050890	0.45531955474056585	2.202510539688036	0	1.6065028071448435e-4	268	./Project_1604389093_GSEA/GO_0050890.png	126	5048;57502;29767;4130;51247;93986;107;1742;5532;6547;9378;5577;22829;2534;5153;1393;152789;6532;85358;9867;55084;5923;1141;8867;5621;50944;5649;7143;4208;57468;6860;80823;65009;3274;8831;729956;4137;5538;7991;57477;9369;109;8516;2334;10769;6543;11170;23259;151556;6285;23542;10752;123016;6833;7436;4885;57338;7067;4915;4204;1268;2760;590;9379;84446;477;5728;84502;7881;10396;3356;1524;6509;114781;54112;1621;5594;2055;1959;23236;6616;23237;2890;5803;585;54413;266743;57030;22986;440275;9162;4593;4803;351;1497;6198;3064;4914;10882;3815;3776;6310;793;6900;4763;2903;84630;22849;27020;1813;342371;8554;7832;1816;23394;2558;1385;2764;25836;2740;23316;11346;7432;11255;7122;5764	ABCC8;ADCY1;ADCY3;ADNP;AFF2;APP;ARC;ATP1A2;ATP8A1;ATXN1;ATXN1L;BBS4;BCHE;BHLHB9;BRSK1;BTBD9;BTG2;C1QL1;CALB1;CHL1;CHRNB2;CLDN5;CLN8;CNR1;CNTN2;CPEB3;CREB1;CRHBP;CTNS;CUX2;CX3CR1;DBH;DDHD2;DGKI;DLG4;DRD2;DRD5;EGR2;EIF2AK4;FAM107A;FOXP2;FYN;GABRA5;GLP1R;GM2A;GMFB;GPR155;GPR88;GRIA1;GRIN2A;HRH2;HRH3;HTR2A;HTT;ITGA8;JAKMIP1;JPH3;JPH4;KCNAB1;KCNK2;KIT;MAP1A;MAPK1;MAPK8IP2;MAPT;MECP2;MEF2C;MUSK;NDRG4;NF1;NGF;NIPBL;NLGN3;NLGN4X;NLGN4Y;NPAS4;NPTN;NPTX2;NRXN1;NRXN2;NRXN3;NTRK1;NTRK2;PAFAH1B1;PAIP2;PDE1B;PIAS1;PJA2;PLCB1;PLK2;PPP3CB;PPT1;PRKAR2B;PRNP;PTEN;PTN;PTPRZ1;RASGRF1;RELN;RPS6KB1;S100B;SHANK1;SHANK3;SHISA7;SHROOM4;SLC12A5;SLC17A7;SLC1A4;SLC6A4;SLC8A2;SLC8A3;SNAP25;SOBP;SORCS3;SYNGAP1;SYNJ1;SYNPO;SYT4;THRA;TMOD2;TNR;TTBK1;TTC8;TUSC3;VIP;VLDLR
GO:0050905	neuromuscular process	http://amigo.geneontology.org/amigo/term/GO:0050905	0.49882534352141983	2.162052089054187	0	2.2950040102069194e-4	100	./Project_1604389093_GSEA/GO_0050905.png	46	5048;4628;441027;8925;51761;7345;23077;9378;3736;23621;135;2743;50944;2257;7143;57555;104;1200;57338;4204;5660;2760;2643;5728;84502;64478;64072;2741;25;8514;54112;116443;2055;1496;8506;8013;351;23287;3756;26058;57680;29;111;2903;5179;1813	ABL1;ABR;ADARB1;ADCY5;ADORA2A;AGTPBP1;APP;ATP8A2;BACE1;CDH23;CHD8;CLN8;CNTNAP1;CSMD1;CTNNA2;DRD2;FGF12;GCH1;GIGYF2;GLRA1;GLRB;GM2A;GPR88;GRIN2A;GRIN3A;HERC1;JPH3;JPH4;KCNA1;KCNAB2;KCNH1;MECP2;MYCBP2;MYH10;NLGN2;NR4A3;NRXN1;PAFAH1B1;PENK;PSAP;PTEN;SHANK1;TMEM150C;TNR;TPP1;UCHL1
