geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
hsa05032	Morphine addiction	http://www.kegg.jp/kegg-bin/show_pathway?hsa05032+54331+2775+107+5153+108+8622+5138+5566+5136+27115+774+109+2791+773+5142+5579+2566+5140+2778+2788+2786+2868+5567+2770+3763+10681+5139+59345+3760+2565+55879+113+5137+10846+140679+2560+2554+2562+111+409+3762+200959+115+2558+2793+2570+2784+2569+4988+196883+5144	0.5319618135888099	2.2582579988043685	0	0	89	./Project_1604390584_GSEA/hsa05032.png	51	54331;2775;107;5153;108;8622;5138;5566;5136;27115;774;109;2791;773;5142;5579;2566;5140;2778;2788;2786;2868;5567;2770;3763;10681;5139;59345;3760;2565;55879;113;5137;10846;140679;2560;2554;2562;111;409;3762;200959;115;2558;2793;2570;2784;2569;4988;196883;5144	ADCY1;ADCY2;ADCY3;ADCY4;ADCY5;ADCY7;ADCY9;ARRB2;CACNA1A;CACNA1B;GABRA1;GABRA5;GABRB1;GABRB3;GABRG1;GABRG2;GABRQ;GABRR1;GABRR2;GABRR3;GNAI1;GNAO1;GNAS;GNB3;GNB4;GNB5;GNG11;GNG2;GNG4;GNG7;GNGT2;GRK4;KCNJ3;KCNJ5;KCNJ6;OPRM1;PDE10A;PDE1A;PDE1B;PDE1C;PDE2A;PDE3A;PDE3B;PDE4B;PDE4D;PDE7B;PDE8B;PRKACA;PRKACB;PRKCB;SLC32A1
hsa03008	Ribosome biogenesis in eukaryotes	http://www.kegg.jp/kegg-bin/show_pathway?hsa03008+65083+4931+9790+57455+55916+29889+2091+55341+1736+25996+10557+29107+27341+26354+1460+55651+55272+10436+10248+55505+51602+84128+10813+55226+54433+28987+10607+92856+54913+3692	-0.4600490030275244	-2.250810560804042	0	0	70	./Project_1604390584_GSEA/hsa03008.png	30	65083;4931;9790;57455;55916;29889;2091;55341;1736;25996;10557;29107;27341;26354;1460;55651;55272;10436;10248;55505;51602;84128;10813;55226;54433;28987;10607;92856;54913;3692	BMS1;CSNK2B;DKC1;EIF6;EMG1;FBL;GAR1;GNL2;GNL3;IMP3;IMP4;LSG1;NAT10;NHP2;NOB1;NOL6;NOP10;NOP58;NVL;NXT1;NXT2;POP7;REXO1;REXO2;RPP25;RPP38;RRP7A;TBL3;UTP14A;WDR75
hsa00190	Oxidative phosphorylation	http://www.kegg.jp/kegg-bin/show_pathway?hsa00190+4702+4700+4704+51079+7386+126328+6390+4695+4696+10975+4718+4717+1350+374291+29796+525+533+64077+7385+1355+4715+1351+125965+6391+1337+4701+4713+4694+4726+1345+54539+27089+10063+4723+4725+4706+527+4728+4710+4720+7388+1327+440567+4705+4709+5464+1537+4729+4722+6389+4716+27068+1340+10312+4697+1329+1349+7384+9377	-0.44108341138552226	-2.2747279008555465	0	0	104	./Project_1604390584_GSEA/hsa00190.png	59	4702;4700;4704;51079;7386;126328;6390;4695;4696;10975;4718;4717;1350;374291;29796;525;533;64077;7385;1355;4715;1351;125965;6391;1337;4701;4713;4694;4726;1345;54539;27089;10063;4723;4725;4706;527;4728;4710;4720;7388;1327;440567;4705;4709;5464;1537;4729;4722;6389;4716;27068;1340;10312;4697;1329;1349;7384;9377	ATP6V0B;ATP6V0C;ATP6V1B1;COX15;COX17;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6B2;COX6C;COX7B;COX7C;COX8A;CYC1;LHPP;NDUFA1;NDUFA10;NDUFA11;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFB10;NDUFB11;NDUFB3;NDUFB4;NDUFB7;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;PPA1;PPA2;SDHA;SDHB;SDHC;TCIRG1;UQCR10;UQCR11;UQCRC1;UQCRC2;UQCRFS1;UQCRH;UQCRHL;UQCRQ
hsa00051	Fructose and mannose metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00051+57016+6652+197258+29925+2203+7167+29926+5211+80201+3098+3099+2762+226+5373+7264	-0.5766758664014658	-2.291912060988868	0	0	31	./Project_1604390584_GSEA/hsa00051.png	15	57016;6652;197258;29925;2203;7167;29926;5211;80201;3098;3099;2762;226;5373;7264	AKR1B10;ALDOA;FBP1;FUK;GMDS;GMPPA;GMPPB;HK1;HK2;HKDC1;PFKL;PMM2;SORD;TPI1;TSTA3
hsa00240	Pyrimidine metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00240+22978+5433+54107+4830+978+1890+54963+7372+5426+4832+5438+51728+5427+10714+10201+5441+7378+51727+654364+4907+56474+5425+51082+7298+1723+5439+5424+23649+955+124583+4860+79077+30834+6241+56655+4831+377841+30833+7083+7371+1841+5437+57804	-0.46342784239637336	-2.3073334801181042	0	0	96	./Project_1604390584_GSEA/hsa00240.png	43	22978;5433;54107;4830;978;1890;54963;7372;5426;4832;5438;51728;5427;10714;10201;5441;7378;51727;654364;4907;56474;5425;51082;7298;1723;5439;5424;23649;955;124583;4860;79077;30834;6241;56655;4831;377841;30833;7083;7371;1841;5437;57804	CANT1;CDA;CMPK1;CTPS2;DCTPP1;DHODH;DTYMK;ENTPD6;ENTPD8;NME1;NME1-NME2;NME2;NME3;NME6;NT5C;NT5C2;NT5E;PNP;POLA2;POLD1;POLD2;POLD3;POLD4;POLE;POLE2;POLE3;POLE4;POLR1D;POLR2D;POLR2H;POLR2I;POLR2J;POLR2L;POLR3K;RRM2;TK1;TYMP;TYMS;UCK2;UCKL1;UMPS;UPP1;ZNRD1
hsa00983	Drug metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00983+54577+8824+2938+1576+54657+54659+3614+2990+4830+978+54658+7364+1890+54963+7372+54576+4832+10201+119391+7378+51727+654364+9446+3251+8833+3615+54575+4259+54600+4257+7498+3704+54578+6241+4831+4258+7083+7371+2950	-0.5120095482003182	-2.5096415398612777	0	0	75	./Project_1604390584_GSEA/hsa00983.png	39	54577;8824;2938;1576;54657;54659;3614;2990;4830;978;54658;7364;1890;54963;7372;54576;4832;10201;119391;7378;51727;654364;9446;3251;8833;3615;54575;4259;54600;4257;7498;3704;54578;6241;4831;4258;7083;7371;2950	CDA;CES2;CMPK1;CYP3A4;GMPS;GSTA1;GSTO1;GSTO2;GSTP1;GUSB;HPRT1;IMPDH1;IMPDH2;ITPA;MGST1;MGST2;MGST3;NME1;NME1-NME2;NME2;NME3;NME6;RRM2;TK1;TYMP;UCK2;UCKL1;UGT1A1;UGT1A10;UGT1A3;UGT1A4;UGT1A6;UGT1A7;UGT1A8;UGT1A9;UGT2B7;UMPS;UPP1;XDH
hsa03410	Base excision repair	http://www.kegg.jp/kegg-bin/show_pathway?hsa03410+7374+5111+27343+3978+54107+4595+5423+5426+2237+5427+55247+143+10714+5425+10039+27301+5424+23583+4913+56655+4350+57804	-0.645648663497343	-2.586946026524154	0	0	33	./Project_1604390584_GSEA/hsa03410.png	22	7374;5111;27343;3978;54107;4595;5423;5426;2237;5427;55247;143;10714;5425;10039;27301;5424;23583;4913;56655;4350;57804	APEX2;FEN1;LIG1;MPG;MUTYH;NEIL3;NTHL1;PARP3;PARP4;PCNA;POLB;POLD1;POLD2;POLD3;POLD4;POLE;POLE2;POLE3;POLE4;POLL;SMUG1;UNG
hsa03050	Proteasome	http://www.kegg.jp/kegg-bin/show_pathway?hsa03050+5682+10213+5704+23198+5707+5706+10197+5714+5685+5687+5709+5700+5690+5695+5683+5684+5691+5702+51371+5688+5698+5713+5692+5719+5686+5720+5721+11047+5710+5696+5699	-0.6302377315002423	-2.710802593303697	0	0	44	./Project_1604390584_GSEA/hsa03050.png	31	5682;10213;5704;23198;5707;5706;10197;5714;5685;5687;5709;5700;5690;5695;5683;5684;5691;5702;51371;5688;5698;5713;5692;5719;5686;5720;5721;11047;5710;5696;5699	ADRM1;POMP;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB10;PSMB2;PSMB3;PSMB4;PSMB7;PSMB8;PSMB9;PSMC1;PSMC3;PSMC4;PSMC6;PSMD1;PSMD13;PSMD14;PSMD3;PSMD4;PSMD7;PSMD8;PSME1;PSME2;PSME3;PSME4
hsa03010	Ribosome	http://www.kegg.jp/kegg-bin/show_pathway?hsa03010+54460+23521+64981+55173+6230+6171+6155+4736+6201+6202+6206+6135+6208+64983+6143+6166+6169+9349+7311+6204+6235+6168+6203+6165+6218+55052+6224+6164+6205+63931+6193+64979+124995+6222+6147+6207+6191+6156+6217+6210+51264+3921+51263+6152+140801+219927+64960+6134+51069+6175+6142+6188+2197+6161+29088+11224+6136+6160+51065+11222+54948+64968+200916+51116+6229+51021+28998+6141+6137+6227+25873+6209+6173+9045+51073+6170+10573+6182+6132+6167+65003+6159+65005+79590+64969+6223+6181+6157+6187+6158+55168+6176+51373+6183+63875+64928+6150	-0.647054831490364	-3.5452401974330816	0	0	131	./Project_1604390584_GSEA/hsa03010.png	97	54460;23521;64981;55173;6230;6171;6155;4736;6201;6202;6206;6135;6208;64983;6143;6166;6169;9349;7311;6204;6235;6168;6203;6165;6218;55052;6224;6164;6205;63931;6193;64979;124995;6222;6147;6207;6191;6156;6217;6210;51264;3921;51263;6152;140801;219927;64960;6134;51069;6175;6142;6188;2197;6161;29088;11224;6136;6160;51065;11222;54948;64968;200916;51116;6229;51021;28998;6141;6137;6227;25873;6209;6173;9045;51073;6170;10573;6182;6132;6167;65003;6159;65005;79590;64969;6223;6181;6157;6187;6158;55168;6176;51373;6183;63875;64928;6150	FAU;MRPL10;MRPL11;MRPL12;MRPL13;MRPL14;MRPL15;MRPL16;MRPL17;MRPL2;MRPL20;MRPL21;MRPL23;MRPL24;MRPL27;MRPL28;MRPL3;MRPL30;MRPL32;MRPL34;MRPL36;MRPL4;MRPL9;MRPS10;MRPS12;MRPS14;MRPS15;MRPS16;MRPS17;MRPS18A;MRPS2;MRPS21;MRPS5;MRPS6;RPL10;RPL10A;RPL10L;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL18;RPL18A;RPL19;RPL22L1;RPL23;RPL23A;RPL24;RPL27;RPL27A;RPL28;RPL29;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL36AL;RPL37;RPL37A;RPL38;RPL39;RPL41;RPL8;RPLP0;RPLP1;RPLP2;RPS10;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS24;RPS25;RPS27L;RPS29;RPS3;RPS4X;RPS5;RPS7;RPS8;RPS9;RPSA;UBA52
hsa03030	DNA replication	http://www.kegg.jp/kegg-bin/show_pathway?hsa03030+4174+5111+1763+4173+3978+5982+54107+4172+246243+4171+5426+2237+5427+10714+6742+5425+5984+5424+23649+6119+4176+10535+56655+57804	-0.5302632191538786	-2.2153631524054105	0	4.0314083358529635e-4	36	./Project_1604390584_GSEA/hsa03030.png	24	4174;5111;1763;4173;3978;5982;54107;4172;246243;4171;5426;2237;5427;10714;6742;5425;5984;5424;23649;6119;4176;10535;56655;57804	DNA2;FEN1;LIG1;MCM2;MCM3;MCM4;MCM5;MCM7;PCNA;POLA2;POLD1;POLD2;POLD3;POLD4;POLE;POLE2;POLE3;POLE4;RFC2;RFC4;RNASEH1;RNASEH2A;RPA3;SSBP1
