geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
WP24	Peptide GPCRs	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP24&label[]=AGTR1&label[]=AGTR2&label[]=ATP8A1&label[]=AVPR1A&label[]=AVPR1B&label[]=AVPR2&label[]=BRS3&label[]=C3AR1&label[]=C5AR1&label[]=CCKAR&label[]=CCKBR&label[]=CCR1&label[]=CCR2&label[]=CCR3&label[]=CCR4&label[]=CCR5&label[]=CCR7&label[]=CCR8&label[]=CX3CR1&label[]=CXCR1&label[]=CXCR2&label[]=CXCR5&label[]=CXCR6&label[]=EDNRA&label[]=EDNRB&label[]=FPR1&label[]=FPR2&label[]=FPR3&label[]=GALR1&label[]=GHSR&label[]=GRPR&label[]=HCRTR1&label[]=HCRTR2&label[]=LHCGR&label[]=MC3R&label[]=MC4R&label[]=NMBR&label[]=NPY1R&label[]=NPY2R&label[]=NPY5R&label[]=NTSR2&label[]=OPRD1&label[]=OPRL1&label[]=OPRM1&label[]=SSTR2&label[]=SSTR3&label[]=SSTR4&label[]=TACR1&label[]=TSHR&colors=%234782B4,%239EBED8,%238AB0CF,%23A0BFD8,%2378A4C8,%23AEC8DE,%2399BAD5,%2396B8D4,%2394B7D3,%236D9CC3,%238EB3D1,%2390B4D2,%239EBED8,%23BAD0E3,%23AAC5DC,%239BBCD6,%23A4C1DA,%23A4C1DA,%238BB1D0,%23C9DAE9,%23B6CDE1,%23C6D8E7,%23A3C0D9,%23C6D8E7,%236D9CC3,%23A7C3DB,%23BDD2E4,%23A0BFD8,%23ADC7DD,%23B7CEE2,%23C7D9E8,%23AAC5DC,%23C6D8E7,%23BDD2E4,%23A1C0D9,%2394B7D3,%23BDD2E4,%23B3CBE0,%23BDD2E4,%23B3CBE0,%23AEC8DE,%23A1C0D9,%239BBCD6,%23BAD0E3,%235E92BE,%236093BE,%23A9C4DC,%235E92BE,%239ABBD6	0.5401472019339735	2.197742466599518	0	0	73	./Project_1604390600_GSEA/WP24.png	49	185;6869;6752;6753;886;1910;553;10396;1524;887;1230;4160;728;719;680;7253;1234;4987;186;729230;2359;552;4985;4159;10663;1237;1236;2357;6754;1233;3061;2587;23620;554;4886;4889;3579;2693;1232;4988;3973;2358;4829;4887;643;3062;1909;2925;3577	AGTR1;AGTR2;ATP8A1;AVPR1A;AVPR1B;AVPR2;BRS3;C3AR1;C5AR1;CCKAR;CCKBR;CCR1;CCR2;CCR3;CCR4;CCR5;CCR7;CCR8;CX3CR1;CXCR1;CXCR2;CXCR5;CXCR6;EDNRA;EDNRB;FPR1;FPR2;FPR3;GALR1;GHSR;GRPR;HCRTR1;HCRTR2;LHCGR;MC3R;MC4R;NMBR;NPY1R;NPY2R;NPY5R;NTSR2;OPRD1;OPRL1;OPRM1;SSTR2;SSTR3;SSTR4;TACR1;TSHR
WP4022	Pyrimidine metabolism	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP4022&label[]=CDA&label[]=CMPK1&label[]=CTPS2&label[]=DCTPP1&label[]=DHODH&label[]=DTYMK&label[]=NME1&label[]=NME1-NME2&label[]=NME2&label[]=NME3&label[]=NME6&label[]=NT5C&label[]=POLA2&label[]=POLD1&label[]=POLD2&label[]=POLD3&label[]=POLD4&label[]=POLE&label[]=POLE2&label[]=POLE3&label[]=POLE4&label[]=POLR1D&label[]=POLR2D&label[]=POLR2H&label[]=POLR2I&label[]=POLR2J&label[]=POLR2L&label[]=POLR3K&label[]=RRM2&label[]=TK1&label[]=TYMP&label[]=TYMS&label[]=UCK2&label[]=UCKL1&label[]=UMPS&label[]=UPP1&label[]=ZNRD1&colors=%23FFD098,%23FFC580,%23FFC278,%23FFB256,%23FFBC6C,%23FF9F2A,%23FFD19A,%23FFC580,%23FFAB46,%23FFCC8E,%23FFC682,%23FFA232,%23FFB862,%23FFBA66,%23FFC278,%23FFC784,%23FF8C02,%23FFCE92,%23FFC988,%23FFD29C,%23FFAC48,%23FFC278,%23FFD39E,%23FF8E06,%23FFCC8E,%23FFBA66,%23FFC682,%23FFCA8A,%23FFAD4A,%23FF9F2A,%23FFCF94,%23FFBE70,%23FF9F2A,%23FFCE92,%23FFCE92,%23FFC580,%23FFB050	-0.4573990833876431	-2.333459832341653	0	0	83	./Project_1604390600_GSEA/WP4022.png	37	5433;54107;4830;978;1890;54963;7372;5426;4832;5438;51728;5427;10714;10201;5441;7378;51727;654364;56474;5425;51082;7298;1723;5439;5424;23649;79077;30834;6241;56655;4831;30833;7083;7371;1841;5437;57804	CDA;CMPK1;CTPS2;DCTPP1;DHODH;DTYMK;NME1;NME1-NME2;NME2;NME3;NME6;NT5C;POLA2;POLD1;POLD2;POLD3;POLD4;POLE;POLE2;POLE3;POLE4;POLR1D;POLR2D;POLR2H;POLR2I;POLR2J;POLR2L;POLR3K;RRM2;TK1;TYMP;TYMS;UCK2;UCKL1;UMPS;UPP1;ZNRD1
WP623	Oxidative phosphorylation	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP623&label[]=NDUFA10&label[]=NDUFA11&label[]=NDUFA2&label[]=NDUFA3&label[]=NDUFA4&label[]=NDUFA6&label[]=NDUFA7&label[]=NDUFA8&label[]=NDUFA9&label[]=NDUFAB1&label[]=NDUFB1&label[]=NDUFB10&label[]=NDUFB2&label[]=NDUFB4&label[]=NDUFB5&label[]=NDUFB7&label[]=NDUFB9&label[]=NDUFC1&label[]=NDUFC2&label[]=NDUFS2&label[]=NDUFS3&label[]=NDUFS5&label[]=NDUFS6&label[]=NDUFS7&label[]=NDUFS8&label[]=NDUFV1&label[]=NDUFV2&colors=%23FFA840,%23FFD8A8,%23FFD29C,%23FFD19A,%23FF8D04,%23FFDBB0,%23FFBC6C,%23FFDCB2,%23FFD9AC,%23FFB256,%23FFE3C2,%23FF9F2A,%23FFE1BC,%23FFAF4E,%23FFE2C0,%23FFBB6A,%23FFC176,%23FFCC8E,%23FFCE92,%23FFAD4A,%23FF9F2C,%23FFB358,%23FFB862,%23FFCC8E,%23FFAF4E,%23FFB358,%23FFA02E	-0.5656580192823574	-2.3394974067484977	0	0	37	./Project_1604390600_GSEA/WP623.png	27	4707;4711;4708;4702;4700;4704;126328;4695;4696;4718;4717;374291;4715;4701;4713;4726;4723;4725;4706;4728;4710;4720;4705;4729;4722;4716;4697	NDUFA10;NDUFA11;NDUFA2;NDUFA3;NDUFA4;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFB1;NDUFB10;NDUFB2;NDUFB4;NDUFB5;NDUFB7;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2
WP1946	Cori Cycle	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1946&label[]=ALDOA&label[]=G6PD&label[]=GAPDH&label[]=GPI&label[]=GPT&label[]=HK1&label[]=LDHA&label[]=PGK1&label[]=SLC2A1&label[]=TALDO1&label[]=TPI1&colors=%23FF8C02,%23FFC278,%23FFA334,%23FFC47C,%23FFC176,%23FF981C,%23FFAC48,%23FFBF72,%23FFA83E,%23FF9D26,%23FFAE4C	-0.7288950716066247	-2.400349293882538	0	0	17	./Project_1604390600_GSEA/WP1946.png	11	2821;2539;2875;5230;7167;3939;6513;2597;6888;3098;226	ALDOA;G6PD;GAPDH;GPI;GPT;HK1;LDHA;PGK1;SLC2A1;TALDO1;TPI1
WP4290	Metabolic reprogramming in colon cancer	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP4290&label[]=ENO1&label[]=FH&label[]=G6PD&label[]=GAPDH&label[]=GART&label[]=GLUD1&label[]=GOT2&label[]=GPI&label[]=IDH2&label[]=LDHA&label[]=MDH2&label[]=PAICS&label[]=PDHA1&label[]=PFKL&label[]=PGK1&label[]=PYCR1&label[]=PYCR2&label[]=RPIA&label[]=SHMT2&label[]=SLC16A3&label[]=SLC1A5&label[]=SLC2A1&label[]=SUCLG2&label[]=TALDO1&label[]=TKT&colors=%23FFC176,%23FFBE70,%23FFC682,%23FFA840,%23FFCF96,%23FFCF96,%23FFD9AC,%23FFC784,%23FFD4A0,%23FFB254,%23FFB55C,%23FFD8A8,%23FFCD90,%23FFAE4C,%23FFC47C,%23FFAE4C,%23FFB050,%23FFB358,%23FFC580,%23FFA232,%23FF8C02,%23FFAD4A,%23FFA73C,%23FFA334,%23FFAA44	-0.5762744025806511	-2.475389729458281	0	0	40	./Project_1604390600_GSEA/WP4290.png	25	2806;10606;3418;2746;2618;5160;2821;2539;6472;5230;2023;2271;4191;22934;3939;29920;5211;5831;6513;7086;2597;8801;6888;9123;6510	ENO1;FH;G6PD;GAPDH;GART;GLUD1;GOT2;GPI;IDH2;LDHA;MDH2;PAICS;PDHA1;PFKL;PGK1;PYCR1;PYCR2;RPIA;SHMT2;SLC16A3;SLC1A5;SLC2A1;SUCLG2;TALDO1;TKT
WP4324	Mitochondrial complex I assembly model OXPHOS system	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP4324&label[]=ACAD9&label[]=FOXRED1&label[]=NDUFA1&label[]=NDUFA10&label[]=NDUFA13&label[]=NDUFA2&label[]=NDUFA3&label[]=NDUFA6&label[]=NDUFA7&label[]=NDUFA8&label[]=NDUFAB1&label[]=NDUFAF3&label[]=NDUFB1&label[]=NDUFB10&label[]=NDUFB11&label[]=NDUFB2&label[]=NDUFB3&label[]=NDUFB4&label[]=NDUFB5&label[]=NDUFB7&label[]=NDUFB9&label[]=NDUFC1&label[]=NDUFC2&label[]=NDUFS2&label[]=NDUFS3&label[]=NDUFS5&label[]=NDUFS6&label[]=NDUFV1&label[]=NDUFV2&label[]=TMEM186&colors=%23FFBB68,%23FFC278,%23FFAD4A,%23FF9A20,%23FFD29C,%23FFCA8A,%23FFC988,%23FFD5A2,%23FFB152,%23FFD6A4,%23FFA63A,%23FFAB46,%23FFDFB8,%23FF8D04,%23FFA840,%23FFDBB0,%23FF971A,%23FFA130,%23FFDDB4,%23FFB152,%23FFB65E,%23FFC47C,%23FFC580,%23FF9F2A,%23FF8F08,%23FFA73C,%23FFAB46,%23FFA73C,%23FF900A,%23FFB050	-0.568282371456977	-2.4901233294939047	0	0	44	./Project_1604390600_GSEA/WP4324.png	30	4707;4711;4708;4702;4700;51079;4695;4696;4718;4717;55572;28976;4715;4701;4713;25880;4694;4726;25915;54539;4723;4725;4706;4710;4720;4705;4709;4729;4722;4716	ACAD9;FOXRED1;NDUFA1;NDUFA10;NDUFA13;NDUFA2;NDUFA3;NDUFA6;NDUFA7;NDUFA8;NDUFAB1;NDUFAF3;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB7;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFV1;NDUFV2;TMEM186
WP4752	Base Excision Repair	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP4752&label[]=APEX2&label[]=FEN1&label[]=LIG1&label[]=MPG&label[]=MUTYH&label[]=NEIL3&label[]=NTHL1&label[]=PCNA&label[]=PNKP&label[]=POLB&label[]=POLD1&label[]=POLD2&label[]=POLD3&label[]=POLD4&label[]=POLE&label[]=POLE2&label[]=POLE3&label[]=POLE4&label[]=POLL&label[]=SMUG1&label[]=UNG&colors=%23FFBA66,%23FFCD90,%23FFD9AC,%23FFA63A,%23FFD29C,%23FFC988,%23FFB254,%23FFDEB6,%23FFA538,%23FFD098,%23FFBA66,%23FFC278,%23FFC784,%23FF8C02,%23FFCE92,%23FFC988,%23FFD29C,%23FFAC48,%23FFDBB0,%23FFB256,%23FFE2BE	-0.6538594058294548	-2.5449876086118	0	0	31	./Project_1604390600_GSEA/WP4752.png	21	7374;5111;27343;3978;54107;4595;5423;5426;2237;5427;55247;10714;5425;27301;5424;23583;4913;56655;4350;11284;57804	APEX2;FEN1;LIG1;MPG;MUTYH;NEIL3;NTHL1;PCNA;PNKP;POLB;POLD1;POLD2;POLD3;POLD4;POLE;POLE2;POLE3;POLE4;POLL;SMUG1;UNG
WP111	Electron Transport Chain (OXPHOS system in mitochondria)	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP111&label[]=COX15&label[]=COX17&label[]=COX4I1&label[]=COX5A&label[]=COX5B&label[]=COX6A1&label[]=COX6B1&label[]=COX6C&label[]=COX7A2&label[]=COX7B&label[]=COX7C&label[]=COX8A&label[]=NDUFA1&label[]=NDUFA10&label[]=NDUFA2&label[]=NDUFA3&label[]=NDUFA4&label[]=NDUFA6&label[]=NDUFA7&label[]=NDUFA8&label[]=NDUFA9&label[]=NDUFAB1&label[]=NDUFB1&label[]=NDUFB10&label[]=NDUFB2&label[]=NDUFB3&label[]=NDUFB4&label[]=NDUFB5&label[]=NDUFB7&label[]=NDUFB9&label[]=NDUFC1&label[]=NDUFC2&label[]=NDUFS2&label[]=NDUFS3&label[]=NDUFS5&label[]=NDUFS6&label[]=NDUFS7&label[]=NDUFS8&label[]=NDUFV1&label[]=NDUFV2&label[]=SDHA&label[]=SDHB&label[]=SDHC&label[]=SLC25A5&label[]=SLC25A6&label[]=SURF1&label[]=UQCR10&label[]=UQCR11&label[]=UQCRC1&label[]=UQCRC2&label[]=UQCRFS1&label[]=UQCRH&label[]=UQCRQ&colors=%23FFCA8A,%23FFB862,%23FFB050,%23FF8D04,%23FF9412,%23FFC074,%23FF9B22,%23FFBB6A,%23FFE1BC,%23FF9310,%23FFCF94,%23FFC37A,%23FFBD6E,%23FFAD4A,%23FFD4A0,%23FFD4A0,%23FF9412,%23FFDDB4,%23FFC074,%23FFDEB6,%23FFDBB0,%23FFB760,%23FFE5C6,%23FFA436,%23FFE2C0,%23FFAB46,%23FFB358,%23FFE3C2,%23FFBF72,%23FFC57E,%23FFCF94,%23FFD098,%23FFB254,%23FFA538,%23FFB862,%23FFBB6A,%23FFCF94,%23FFB358,%23FFB862,%23FFA63A,%23FFA538,%23FFD9AC,%23FFC176,%23FFCF96,%23FFE3C2,%23FFD4A0,%23FFCB8C,%23FFD39E,%23FF8D04,%23FFCA8A,%23FFDAAE,%23FFB152,%23FFB964	-0.5383603840214594	-2.586660768873649	0	0	73	./Project_1604390600_GSEA/WP111.png	53	4707;4711;293;4708;1347;4702;4700;4704;7386;6390;4695;6834;4696;10975;4718;292;4717;1350;374291;29796;7385;1355;4715;1351;6391;1337;4701;4713;4694;4726;1345;27089;10063;4723;4725;4706;4728;4710;4720;7388;1327;4705;4709;4729;4722;6389;4716;1340;4697;1329;1349;7384;9377	COX15;COX17;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6C;COX7A2;COX7B;COX7C;COX8A;NDUFA1;NDUFA10;NDUFA2;NDUFA3;NDUFA4;NDUFA6;NDUFA7;NDUFA8;NDUFA9;NDUFAB1;NDUFB1;NDUFB10;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB7;NDUFB9;NDUFC1;NDUFC2;NDUFS2;NDUFS3;NDUFS5;NDUFS6;NDUFS7;NDUFS8;NDUFV1;NDUFV2;SDHA;SDHB;SDHC;SLC25A5;SLC25A6;SURF1;UQCR10;UQCR11;UQCRC1;UQCRC2;UQCRFS1;UQCRH;UQCRQ
WP183	Proteasome Degradation	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP183&label[]=H2AFX&label[]=H2AFZ&label[]=HIST1H2AB&label[]=HLA-A&label[]=HLA-B&label[]=HLA-C&label[]=HLA-F&label[]=PSMA1&label[]=PSMA2&label[]=PSMA3&label[]=PSMA4&label[]=PSMA5&label[]=PSMA6&label[]=PSMA7&label[]=PSMB10&label[]=PSMB2&label[]=PSMB3&label[]=PSMB4&label[]=PSMB7&label[]=PSMB8&label[]=PSMB9&label[]=PSMC1&label[]=PSMC3&label[]=PSMC4&label[]=PSMC6&label[]=PSMD1&label[]=PSMD13&label[]=PSMD3&label[]=PSMD4&label[]=PSMD7&label[]=PSMD8&label[]=PSMD9&label[]=PSME1&label[]=PSME2&label[]=PSME3&label[]=RPN1&label[]=RPN2&label[]=UBA1&label[]=UBA7&label[]=UBB&label[]=UBC&label[]=UCHL3&colors=%23FF8F08,%23FFBB6A,%23FFD5A2,%23FFDCB2,%23FFCB8C,%23FFCF96,%23FFBE70,%23FFE1BC,%23FFC57E,%23FFC37A,%23FFD098,%23FFAA44,%23FFCF94,%23FFB862,%23FF8D04,%23FFC682,%23FFBE70,%23FFB254,%23FFC580,%23FF9F2A,%23FFB760,%23FFC988,%23FFBD6E,%23FFE1BC,%23FFDEB6,%23FFDFB8,%23FFAA44,%23FFCA8A,%23FFA02E,%23FFB256,%23FFD6A4,%23FFC988,%23FFA63A,%23FFA538,%23FFDBB0,%23FFA942,%23FFD6A4,%23FFBD6E,%23FFC176,%23FFD7A6,%23FFDBB0,%23FFBC6C	-0.5773383313127591	-2.6733655425499485	0	0	62	./Project_1604390600_GSEA/WP183.png	42	5682;5704;5707;5706;3105;7316;10197;7314;5714;6185;8335;5685;3107;5687;3106;5709;5700;5715;5690;5695;5683;5684;7318;3134;5691;5702;7317;7347;3015;5688;5698;5713;5692;5719;5686;6184;5720;5721;5710;5696;3014;5699	H2AFX;H2AFZ;HIST1H2AB;HLA-A;HLA-B;HLA-C;HLA-F;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMB10;PSMB2;PSMB3;PSMB4;PSMB7;PSMB8;PSMB9;PSMC1;PSMC3;PSMC4;PSMC6;PSMD1;PSMD13;PSMD3;PSMD4;PSMD7;PSMD8;PSMD9;PSME1;PSME2;PSME3;RPN1;RPN2;UBA1;UBA7;UBB;UBC;UCHL3
WP477	Cytoplasmic Ribosomal Proteins	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP477&label[]=FAU&label[]=RPL10&label[]=RPL10A&label[]=RPL11&label[]=RPL12&label[]=RPL13&label[]=RPL14&label[]=RPL18&label[]=RPL18A&label[]=RPL19&label[]=RPL23&label[]=RPL23A&label[]=RPL24&label[]=RPL27&label[]=RPL27A&label[]=RPL28&label[]=RPL29&label[]=RPL30&label[]=RPL31&label[]=RPL32&label[]=RPL34&label[]=RPL35&label[]=RPL35A&label[]=RPL36&label[]=RPL36A&label[]=RPL37&label[]=RPL37A&label[]=RPL38&label[]=RPL39&label[]=RPL41&label[]=RPL8&label[]=RPLP0&label[]=RPLP1&label[]=RPLP2&label[]=RPS10&label[]=RPS11&label[]=RPS12&label[]=RPS13&label[]=RPS14&label[]=RPS15&label[]=RPS15A&label[]=RPS16&label[]=RPS17&label[]=RPS18&label[]=RPS19&label[]=RPS2&label[]=RPS20&label[]=RPS21&label[]=RPS24&label[]=RPS25&label[]=RPS29&label[]=RPS3&label[]=RPS4X&label[]=RPS5&label[]=RPS6KA1&label[]=RPS6KB2&label[]=RPS7&label[]=RPS8&label[]=RPS9&label[]=RPSA&label[]=UBA52&colors=%23FFB760,%23FFBB68,%23FFD7A6,%23FFD4A0,%23FFB45A,%23FFAB46,%23FFA83E,%23FFAB46,%23FFB964,%23FFD39E,%23FFCF96,%23FFC784,%23FFBF72,%23FFD7A6,%23FF9E28,%23FF991E,%23FFA232,%23FFC47C,%23FFB358,%23FFB65E,%23FFCA8A,%23FFB45A,%23FFCD90,%23FFA942,%23FFA942,%23FFA436,%23FFCE92,%23FFD098,%23FFA73C,%23FFD8A8,%23FFA538,%23FFB964,%23FF9516,%23FF9F2A,%23FFCE92,%23FFCA8A,%23FFD5A2,%23FFC682,%23FFD4A0,%23FFA942,%23FFC278,%23FFC37A,%23FFCD90,%23FFC784,%23FF9F2A,%23FF991E,%23FFCB8C,%23FFAA44,%23FFB050,%23FFD8AA,%23FFCE92,%23FFB862,%23FFC580,%23FFC988,%23FF910C,%23FF8D04,%23FFD7A6,%23FFD7A6,%23FFCD90,%23FFC278,%23FFCF94	-0.5901121751569257	-2.974116653429647	0	0	88	./Project_1604390600_GSEA/WP477.png	61	6230;6171;6155;4736;6201;6202;6206;6135;6208;6143;6169;9349;7311;6204;6235;6168;6203;6165;6218;6224;6164;6205;6193;6222;6147;6207;6191;6156;6217;6210;3921;6152;6134;6175;6142;6188;2197;6161;11224;6136;6160;6229;6141;6137;6227;25873;6209;6173;9045;6170;6132;6167;6159;6223;6181;6157;6187;6158;6176;6195;6199	FAU;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL14;RPL18;RPL18A;RPL19;RPL23;RPL23A;RPL24;RPL27;RPL27A;RPL28;RPL29;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL39;RPL41;RPL8;RPLP0;RPLP1;RPLP2;RPS10;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS24;RPS25;RPS29;RPS3;RPS4X;RPS5;RPS6KA1;RPS6KB2;RPS7;RPS8;RPS9;RPSA;UBA52
