userId	geneSymbol	geneName	entrezgene	score	gLink
A1BG	A1BG	alpha-1-B glycoprotein	1	0.36767861197417	https://www.ncbi.nlm.nih.gov/gene/?term=1
A1CF	A1CF	APOBEC1 complementation factor	29974	0.15358044985005	https://www.ncbi.nlm.nih.gov/gene/?term=29974
A2M	A2M	alpha-2-macroglobulin	2	0.56553225882015	https://www.ncbi.nlm.nih.gov/gene/?term=2
A2ML1	A2ML1	alpha-2-macroglobulin like 1	144568	-0.073685284614103	https://www.ncbi.nlm.nih.gov/gene/?term=144568
A4GALT	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	53947	-0.12061227566675	https://www.ncbi.nlm.nih.gov/gene/?term=53947
A4GNT	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	51146	-0.049588720467539	https://www.ncbi.nlm.nih.gov/gene/?term=51146
AAA1	AAA1	aortic aneurysm, familial abdominal 1	100329167	-0.0026230504916128	https://www.ncbi.nlm.nih.gov/gene/?term=100329167
AAAS	AAAS	aladin WD repeat nucleoporin	8086	-0.14822556321351	https://www.ncbi.nlm.nih.gov/gene/?term=8086
AACS	AACS	acetoacetyl-CoA synthetase	65985	-6.4305888766518e-4	https://www.ncbi.nlm.nih.gov/gene/?term=65985
AADAC	AADAC	arylacetamide deacetylase	13	-0.28423090556702	https://www.ncbi.nlm.nih.gov/gene/?term=13
AADACL2	AADACL2	arylacetamide deacetylase like 2	344752	-2.0368775423982e-4	https://www.ncbi.nlm.nih.gov/gene/?term=344752
AADACL3	AADACL3	arylacetamide deacetylase like 3	126767	0.08638326447997	https://www.ncbi.nlm.nih.gov/gene/?term=126767
AADACL4	AADACL4	arylacetamide deacetylase like 4	343066	0.22677433604196	https://www.ncbi.nlm.nih.gov/gene/?term=343066
AADAT	AADAT	aminoadipate aminotransferase	51166	0.50955957307541	https://www.ncbi.nlm.nih.gov/gene/?term=51166
AAGAB	AAGAB	alpha and gamma adaptin binding protein	79719	-0.16258936953185	https://www.ncbi.nlm.nih.gov/gene/?term=79719
AAK1	AAK1	AP2 associated kinase 1	22848	0.63439489280805	https://www.ncbi.nlm.nih.gov/gene/?term=22848
AAMP	AAMP	angio associated migratory cell protein	14	-0.49943990742442	https://www.ncbi.nlm.nih.gov/gene/?term=14
AANAT	AANAT	aralkylamine N-acetyltransferase	15	0.055544425057768	https://www.ncbi.nlm.nih.gov/gene/?term=15
AARS	AARS	alanyl-tRNA synthetase	16	0.11355637223279	https://www.ncbi.nlm.nih.gov/gene/?term=16
AARS2	AARS2	alanyl-tRNA synthetase 2, mitochondrial	57505	-0.0087707912491291	https://www.ncbi.nlm.nih.gov/gene/?term=57505
AARSD1	AARSD1	alanyl-tRNA synthetase domain containing 1	80755	-0.070102294477291	https://www.ncbi.nlm.nih.gov/gene/?term=80755
AASDH	AASDH	aminoadipate-semialdehyde dehydrogenase	132949	0.48674907292168	https://www.ncbi.nlm.nih.gov/gene/?term=132949
AASDHPPT	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	60496	0.57812634337932	https://www.ncbi.nlm.nih.gov/gene/?term=60496
AASS	AASS	aminoadipate-semialdehyde synthase	10157	0.3881931687181	https://www.ncbi.nlm.nih.gov/gene/?term=10157
AATF	AATF	apoptosis antagonizing transcription factor	26574	-0.41565607491465	https://www.ncbi.nlm.nih.gov/gene/?term=26574
AATK	AATK	apoptosis associated tyrosine kinase	9625	0.19820796658101	https://www.ncbi.nlm.nih.gov/gene/?term=9625
ABAT	ABAT	4-aminobutyrate aminotransferase	18	0.55732717295041	https://www.ncbi.nlm.nih.gov/gene/?term=18
ABCA1	ABCA1	ATP binding cassette subfamily A member 1	19	0.53910317634176	https://www.ncbi.nlm.nih.gov/gene/?term=19
ABCA10	ABCA10	ATP binding cassette subfamily A member 10	10349	0.3363293439896	https://www.ncbi.nlm.nih.gov/gene/?term=10349
ABCA11P	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	79963	0.52094084822678	https://www.ncbi.nlm.nih.gov/gene/?term=79963
ABCA12	ABCA12	ATP binding cassette subfamily A member 12	26154	-0.10025569087548	https://www.ncbi.nlm.nih.gov/gene/?term=26154
ABCA13	ABCA13	ATP binding cassette subfamily A member 13	154664	-0.13920775965996	https://www.ncbi.nlm.nih.gov/gene/?term=154664
ABCA17P	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	650655	-0.1023823805196	https://www.ncbi.nlm.nih.gov/gene/?term=650655
ABCA2	ABCA2	ATP binding cassette subfamily A member 2	20	0.32218518447349	https://www.ncbi.nlm.nih.gov/gene/?term=20
ABCA3	ABCA3	ATP binding cassette subfamily A member 3	21	0.3263681925563	https://www.ncbi.nlm.nih.gov/gene/?term=21
ABCA4	ABCA4	ATP binding cassette subfamily A member 4	24	0.02610803883417	https://www.ncbi.nlm.nih.gov/gene/?term=24
ABCA5	ABCA5	ATP binding cassette subfamily A member 5	23461	0.34459821729844	https://www.ncbi.nlm.nih.gov/gene/?term=23461
ABCA6	ABCA6	ATP binding cassette subfamily A member 6	23460	0.58075799271531	https://www.ncbi.nlm.nih.gov/gene/?term=23460
ABCA7	ABCA7	ATP binding cassette subfamily A member 7	10347	-0.24812198449266	https://www.ncbi.nlm.nih.gov/gene/?term=10347
ABCA8	ABCA8	ATP binding cassette subfamily A member 8	10351	0.65628098304753	https://www.ncbi.nlm.nih.gov/gene/?term=10351
ABCA9	ABCA9	ATP binding cassette subfamily A member 9	10350	0.66565735975637	https://www.ncbi.nlm.nih.gov/gene/?term=10350
ABCB1	ABCB1	ATP binding cassette subfamily B member 1	5243	0.59528900456018	https://www.ncbi.nlm.nih.gov/gene/?term=5243
ABCB10	ABCB10	ATP binding cassette subfamily B member 10	23456	0.3005128116946	https://www.ncbi.nlm.nih.gov/gene/?term=23456
ABCB11	ABCB11	ATP binding cassette subfamily B member 11	8647	-0.2204304447855	https://www.ncbi.nlm.nih.gov/gene/?term=8647
ABCB4	ABCB4	ATP binding cassette subfamily B member 4	5244	0.5493992928484	https://www.ncbi.nlm.nih.gov/gene/?term=5244
ABCB5	ABCB5	ATP binding cassette subfamily B member 5	340273	0.43142890706414	https://www.ncbi.nlm.nih.gov/gene/?term=340273
ABCB6	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	10058	-0.29474880021551	https://www.ncbi.nlm.nih.gov/gene/?term=10058
ABCB7	ABCB7	ATP binding cassette subfamily B member 7	22	-6.2149568034726e-4	https://www.ncbi.nlm.nih.gov/gene/?term=22
ABCB8	ABCB8	ATP binding cassette subfamily B member 8	11194	-0.21124019161958	https://www.ncbi.nlm.nih.gov/gene/?term=11194
ABCB9	ABCB9	ATP binding cassette subfamily B member 9	23457	-0.17765374619794	https://www.ncbi.nlm.nih.gov/gene/?term=23457
ABCC1	ABCC1	ATP binding cassette subfamily C member 1	4363	-0.32406768865203	https://www.ncbi.nlm.nih.gov/gene/?term=4363
ABCC10	ABCC10	ATP binding cassette subfamily C member 10	89845	-0.12191121399997	https://www.ncbi.nlm.nih.gov/gene/?term=89845
ABCC11	ABCC11	ATP binding cassette subfamily C member 11	85320	-0.19776438365232	https://www.ncbi.nlm.nih.gov/gene/?term=85320
ABCC12	ABCC12	ATP binding cassette subfamily C member 12	94160	0.0083218288460882	https://www.ncbi.nlm.nih.gov/gene/?term=94160
ABCC13	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	150000	-0.21236170332025	https://www.ncbi.nlm.nih.gov/gene/?term=150000
ABCC2	ABCC2	ATP binding cassette subfamily C member 2	1244	0.12967496823404	https://www.ncbi.nlm.nih.gov/gene/?term=1244
ABCC3	ABCC3	ATP binding cassette subfamily C member 3	8714	-0.53222906502689	https://www.ncbi.nlm.nih.gov/gene/?term=8714
